	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.868 ± 0.031927	0.782 ± 0.035076	0.15713 ± 0.023817	0.749 ± 0.044012	0.564 ± 0.070152	0.5346 ± 0.093185	0.587 ± 0.068832	0.575 ± 0.069284	0.779 ± 0.032930	0.808 ± 0.041090	0.865 ± 0.032994	0.842 ± 0.034773	0.700 ± 0.053672	0.864 ± 0.030303
precision_recall_auc	0.884 ± 0.027507	0.792 ± 0.060677	0.14618 ± 0.018020	0.754 ± 0.089711	0.584 ± 0.121353	0.4755 ± 0.072207	0.628 ± 0.103435	0.605 ± 0.111720	0.783 ± 0.059910	0.845 ± 0.064241	0.881 ± 0.028620	0.870 ± 0.028600	0.689 ± 0.120584	0.895 ± 0.048152
roc_auc	0.888 ± 0.024326	0.813 ± 0.050539	0.14581 ± 0.020723	0.782 ± 0.069558	0.626 ± 0.101079	0.4733 ± 0.078754	0.673 ± 0.100473	0.648 ± 0.097931	0.800 ± 0.051465	0.873 ± 0.080498	0.885 ± 0.025099	0.876 ± 0.029183	0.717 ± 0.099553	0.909 ± 0.060606
