	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.902 ± 0.029591	0.832 ± 0.040390	0.12440 ± 0.011383	0.813 ± 0.045895	0.664 ± 0.080780	0.4021 ± 0.028330	0.671 ± 0.081603	0.667 ± 0.080871	0.842 ± 0.042526	0.829 ± 0.050897	0.899 ± 0.032189	0.906 ± 0.020706	0.800 ± 0.059720	0.864 ± 0.042855
precision_recall_auc	0.910 ± 0.022269	0.846 ± 0.023412	0.12127 ± 0.009430	0.830 ± 0.025897	0.693 ± 0.046824	0.3995 ± 0.027388	0.703 ± 0.051354	0.698 ± 0.048574	0.852 ± 0.026147	0.851 ± 0.042223	0.908 ± 0.023433	0.909 ± 0.017861	0.811 ± 0.038845	0.882 ± 0.038331
roc_auc	0.908 ± 0.031520	0.834 ± 0.032261	0.12269 ± 0.010423	0.815 ± 0.037155	0.667 ± 0.064522	0.3982 ± 0.024169	0.676 ± 0.066756	0.672 ± 0.065315	0.839 ± 0.031828	0.837 ± 0.044196	0.906 ± 0.031836	0.910 ± 0.018107	0.794 ± 0.045737	0.873 ± 0.035855
