	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.858, 0.938]	[0.843, 0.889]	[0.09051, 0.13473]	[0.824, 0.875]	[0.687, 0.778]	[0.3067, 0.4347]	[0.708, 0.846]	[0.698, 0.811]	[0.833, 0.846]	[0.875, 1.000]	[0.853, 0.936]	[0.841, 0.924]	[0.778, 0.778]	[0.909, 1.000]
precision_recall_auc	[0.888, 0.940]	[0.677, 0.889]	[0.10335, 0.13696]	[0.571, 0.875]	[0.354, 0.778]	[0.3427, 0.4334]	[0.467, 0.846]	[0.406, 0.811]	[0.667, 0.846]	[0.800, 1.000]	[0.884, 0.938]	[0.851, 0.942]	[0.444, 0.778]	[0.909, 1.000]
roc_auc	[0.877, 0.942]	[0.705, 0.889]	[0.09955, 0.13732]	[0.621, 0.875]	[0.409, 0.778]	[0.3186, 0.4309]	[0.508, 0.846]	[0.456, 0.811]	[0.690, 0.846]	[0.818, 1.000]	[0.874, 0.941]	[0.846, 0.934]	[0.500, 0.778]	[0.909, 1.000]
