	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.888, 0.934]	[0.821, 0.889]	[0.08823, 0.14272]	[0.800, 0.875]	[0.641, 0.778]	[0.3045, 0.4337]	[0.650, 0.846]	[0.646, 0.811]	[0.815, 0.846]	[0.824, 1.000]	[0.886, 0.932]	[0.856, 0.922]	[0.722, 0.778]	[0.864, 1.000]
precision_recall_auc	[0.870, 0.946]	[0.694, 0.866]	[0.09860, 0.15302]	[0.560, 0.848]	[0.389, 0.732]	[0.3128, 0.5131]	[0.453, 0.773]	[0.441, 0.753]	[0.667, 0.840]	[0.733, 1.000]	[0.867, 0.945]	[0.833, 0.939]	[0.389, 0.778]	[0.818, 1.000]
roc_auc	[0.885, 0.942]	[0.694, 0.833]	[0.10132, 0.14967]	[0.560, 0.800]	[0.389, 0.667]	[0.3156, 0.4980]	[0.566, 0.786]	[0.475, 0.724]	[0.667, 0.786]	[0.857, 1.000]	[0.882, 0.941]	[0.848, 0.939]	[0.389, 0.667]	[0.909, 1.000]
