	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.886 ± 0.025557	0.829 ± 0.043225	0.13223 ± 0.015461	0.810 ± 0.047008	0.657 ± 0.086449	0.4220 ± 0.037969	0.667 ± 0.092877	0.662 ± 0.089431	0.834 ± 0.034207	0.833 ± 0.065598	0.882 ± 0.026719	0.889 ± 0.027315	0.789 ± 0.043823	0.868 ± 0.058486
precision_recall_auc	0.918 ± 0.034753	0.834 ± 0.054032	0.11781 ± 0.018148	0.814 ± 0.064206	0.669 ± 0.108065	0.3808 ± 0.042087	0.685 ± 0.109608	0.677 ± 0.108675	0.831 ± 0.048020	0.854 ± 0.066370	0.916 ± 0.035791	0.917 ± 0.034585	0.778 ± 0.069290	0.891 ± 0.048862
roc_auc	0.921 ± 0.023082	0.840 ± 0.042967	0.11673 ± 0.016167	0.822 ± 0.046947	0.681 ± 0.085934	0.3786 ± 0.039023	0.695 ± 0.092830	0.688 ± 0.089062	0.841 ± 0.035233	0.854 ± 0.066172	0.919 ± 0.023669	0.921 ± 0.027099	0.794 ± 0.045737	0.886 ± 0.057695
