	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.883 ± 0.025200	0.843 ± 0.030676	0.13466 ± 0.010779	0.828 ± 0.035495	0.685 ± 0.061352	0.4499 ± 0.033889	0.684 ± 0.057213	0.685 ± 0.059182	0.870 ± 0.039435	0.814 ± 0.031415	0.879 ± 0.027054	0.883 ± 0.018530	0.844 ± 0.057378	0.841 ± 0.032141
precision_recall_auc	0.885 ± 0.022141	0.839 ± 0.020404	0.13197 ± 0.008465	0.823 ± 0.021420	0.678 ± 0.040809	0.4666 ± 0.039467	0.679 ± 0.042109	0.678 ± 0.041248	0.858 ± 0.021096	0.820 ± 0.034960	0.881 ± 0.023306	0.884 ± 0.019063	0.828 ± 0.031536	0.850 ± 0.037421
roc_auc	0.884 ± 0.024971	0.835 ± 0.022081	0.13419 ± 0.010972	0.818 ± 0.025956	0.670 ± 0.044161	0.4709 ± 0.054126	0.674 ± 0.041828	0.672 ± 0.042865	0.848 ± 0.025262	0.825 ± 0.026353	0.880 ± 0.026227	0.877 ± 0.024719	0.811 ± 0.038845	0.859 ± 0.025802
