	Dose	PF3D7_0402400.2o2_48	PF3D7_1240400.iso1.exon2.amp1_1013	PF3D7_0424800.2o2_2002	PF3D7_1229000.iso1.exon1.amp2_2206	PF3D7_0818500.e2_851	PF3D7_0223300 (renamed)_2205	PF3D7_0935600.1o2_3662	PF3D7_0712000.iso1.exon1.amp1_145	PF3D7_1149200.e2s1_2474	PF3D7_0730900.e2s1_4490	PF3D7_1479400.iso1.exon2.amp1_140	PF3D7_0832300.2o2_3619	PF3D7_0525800.e1s1_2193	PFE1590w_2119	PF3D7_1347300.iso1.exon2.amp1_2070	PF3D7_1248300.1o1_1976	PF3D7_0718700.1o1_1050	PF3D7_0223300.iso1.exon2.amp1_3611	PF3D7_1300200.iso1.exon1.amp1_3602	PF3D7_1324300.e3_2147	PF3D7_0410800.iso1.exon1.amp2_1340	PF3D7_0912200.1o1_2676	PF3D7_1135300.1o1_2354	PF13_0197_176	PF3D7_1202300.e34s1_2180	PF3D7_0936600.2o2_2012	PF3D7_1202300.e10s1_885	PF3D7_0200600.iso1.exon1.amp1_2442	PF3D7_1001800.2o2_1977	PF3D7_1373000.iso1.exon2.amp1_1568	PF3D7_0731200.2o2_4270	PF3D7_0400400.iso1.exon1.amp1_1294	PF3D7_1301600.iso1.exon4.amp2_1680	PF3D7_0600300.iso1.exon1.amp1_1286	PF3D7_1365700.1o3_3008	PF3D7_0712800.iso1.exon1.amp1_3904	PF3D7_1150300.iso1.exon1.amp1_2740	PF3D7_1467000.1o1_2718	PF3D7_0713900.e1s3_1278	PF3D7_1436100.iso1.exon1.amp2_seg1_4042	PF3D7_1415500.iso1.exon2.amp1_2259	PF3D7_0704700.iso1.exon1.amp2_seg2_1442	PF3D7_1370300.1o2_3612	PF3D7_1474600.4o5_1047	PF3D7_1411100.iso1.exon2.amp1_4379	PF3D7_1373400.iso1.exon2.amp1_2732	PF3D7_1450400.iso1.exon1.amp2_1326	PF3D7_1400800.iso1.exon1.amp1_3878	PF3D7_1200100.iso1.exon1.amp1_505	PF3D7_0101000.iso1.exon1.amp1_2157	PF3D7_1478100.2o2_4908	PF3D7_1459600.iso1.exon2.amp1_2130	PF3D7_1147800.1.e2s2_1154	PF3D7_1358600.iso1.exon1.amp2_2507	PF3D7_1358600.iso1.exon1.amp2_2507.1	PF3D7_1443800.1o1_3332	PF3D7_1348400.iso1.exon2.amp1_1215	PF3D7_1348400.iso1.exon2.amp1_1215.1	PF3D7_0101900.iso1.exon1.amp1_123	PF3D7_1001300.2o2_1681	PF3D7_0301800.2o2_4915	PF3D7_0823500.1o1_1393	PF3D7_1401700.1o1_2648	PF3D7_1358600.iso1.exon1.amp1_1754	PF3D7_1318000.1o1_1002	PF3D7_0108300.s2_2791	PF3D7_0728600.iso1.exon3.amp1_2396	PF3D7_0800200.e1s3_2882	PF3D7_1202300.e33s1_584	PF3D7_0500100.iso1.exon2.amp1_1299	PF3D7_1201400.iso1.exon1.amp2_2193	PF3D7_0800300.e2s1_4780	PF3D7_1016600.2o2_1688	PF3D7_1460100.1o1_4266	PF3D7_0726400.e4s1_619	PF3D7_0220000.e2s1_2785	PF3D7_1121600.iso1.exon2.amp1_2679	PF3D7_0827700.1o1_786	PF3D7_0412400.iso1.exon1.amp1_3330	PF3D7_1149800.iso1.exon2.amp1_981	PF3D7_1202300.e3s1_1897	PF3D7_1147800.iso2.exon2.amp1_4258	PF3D7_1476600.e2_172	PF3D7_0703900.iso1.exon1.amp4_2544	PF3D7_1401600.e3s1_1875	PF3D7_1470100.e1s3_3204	PF3D7_1348400.iso1.exon3.amp1_3375	PF3D7_1468400.1o1_2724	PF3D7_0921200.2o6_4038	PF3D7_1123000.iso1.exon1.amp1_3137	PF3D7_1409400.1o1_3272	PF3D7_1433100.iso1.exon2.amp1_450	PF3D7_1209300.e1s1_592	PF3D7_0315400.1o1_3943	PF3D7_0900500.iso1.exon1.amp1_4464	PF3D7_0719500.1o2_3982	PF3D7_1433400.e1_4423	PF3D7_1300300.e1s2_816	PF3D7_0719900.iso1.exon1.amp2_527	PF3D7_0206900.1.e1_4416	PF3D7_1202300.e29s1_1852	PF3D7_0301700.e1s1_3787	PF3D7_1333300.1o1_44.1	PF3D7_1333300.1o1_44	PF3D7_1468100.e2s2_1156	PF3D7_1351300.2o2_1038	PF3D7_0725100.e2s1_4117	PF3D7_1253200.2o2_1321	PF3D7_1025400.12o13_376	PF3D7_1025400.2o3_1100	PF3D7_0405900.e4s1_1223	PF3D7_1023100.e1s6_1457	PF3D7_0425100.2o2_3932	PF3D7_1208800.e1s1_2209	PF3D7_0202500.1o1_2941	PF3D7_1208200.e3s3_4840	PF3D7_1136200.5o5_4981	PF3D7_1228600.e1s1_598	PF3D7_1252800.2o2_1074	PF3D7_1419400.e3s1_4118	PF3D7_1419400.e1s2_1898	PF3D7_1358500.1o1_755	PF3D7_1001700.2o2_4910	PF3D7_1445600.e4_4738	PF3D7_1476100.1o1_1649	PF3D7_0703500.e2s3_4496	PF3D7_0611000.2o3_1027	PF3D7_1475400.e3s4_1159	PF3D7_0711700.e2s1_898	PF3D7_1464500.iso1.exon1.amp1_seg2_2304	PF3D7_0501000.e2s1_563	PF3D7_1300100.iso1.exon1.amp1_499	PF3D7_1102800.iso1.exon1.amp1_671	PF3D7_1021700.e1s3_3848	PF3D7_0714300.iso1.exon5.amp2_3065	PF3D7_1349700.2o2_3937	PF3D7_1008100.s4_830	PF3D7_1201200.2o2_45	PF3D7_0800200.e2s1_1226	PF3D7_0726100.2o2_2403	PF3D7_0600500.iso1.exon2.amp1_130	PF3D7_1133200.e1s2_486	PF3D7_1213500.1o2_1099	PF3D7_1233400.2o4_89	PF3D7_1101200.iso1.exon1.amp1_3319	PF3D7_0223100.iso1.exon2.amp1_989	PF3D7_0704700.iso1.exon1.amp2_seg1_1140	PF3D7_0420000.s4_190	PF3D7_0703700.e1s1_4460	PF3D7_1459600.iso1.exon1.amp1_3337	PF3D7_0906200.1o1_3357	PF3D7_0207000.1o2_2324	PF3D7_1447800.e1s2_2899	PF3D7_1008100.s3_1478	PF3D7_0930300.s2_4726	PF3D7_1464500.iso1.exon1.amp2_1073	PF3D7_1436100.iso1.exon1.amp1_813	PF3D7_0731700.2o2_4903	PF3D7_0601100.2o2_688	PFC0210c_2763	PF3D7_0614900.2o3_5017	PF3D7_1016500.e2s1_4172	PFB0300c_4064	PF3D7_0630600.2o2_4033	PF3D7_1240900.iso1.exon3.amp1_1880	PF3D7_1036400.1o2_1668	PF3D7_0804500.e3_3113	PF3D7_1448300.s1_3431	PF3D7_0206900.1.1o2_50	TimePointOrder	PF3D7_0207000.2o2_2000	PF3D7_1475400.e2s2_1145	PF3D7_1128500.1o1_4665	PF3D7_1233400.1o4_737	PF3D7_0911300.e1s1_3426	PF3D7_0911300.e1s2_3750	PF3D7_1447800.e1s1_3223	PF3D7_1418100.s3_5039	PF3D7_0324900.iso1.exon1.amp1_2456	PF3D7_1301500.2o2_4588	PF3D7_0600400.iso1.exon1.amp1_3033	PF3D7_1215900.1o1_1409	PF3D7_1206900.4o4_2705	PF3D7_1142100.e1s1_2891	PF3D7_1137300.1o1_1747	PF3D7_0712300.iso1.exon1.amp1_3615	PF3D7_0532500.2o2_997	PF3D7_0422100 (renamed)_2667	PF3D7_0207000.e1_2796
UpperQuantile [d]	0.23436186664304245	-0.48503256112611404	-0.48766521559578335	-0.48487863884331284	-0.4848350207451597	-0.48495270194260987	-0.48701485146457935	-0.4847949197777449	-0.4849261350532218	-0.48504954974065617	-0.484998701393753	-0.4857425709937061	-0.4859791753226421	-0.4847618610203539	-0.48484622084017215	-0.4850197352983425	-0.48654286173625094	-0.4848261905620468	-0.4869732846473591	-0.4869914425955939	-0.484840679991538	-0.48486989099889655	-0.485128210644608	-0.48491940000177414	-0.48489406971839066	-0.4859675823522064	-0.4849816700067219	-0.48512985349773663	-0.4863748481758724	-0.4849292549852572	-0.48473814096724777	-0.48481275228041	-0.48692420313688745	-0.48571836478416963	-0.48656512078890435	-0.485088444263042	-0.48654582535049185	-0.4864572157624847	-0.4866468992209201	-0.48467504513579573	-0.4865540937337508	-0.48674370904964137	-0.4849606110271132	-0.48592786762048	-0.4855251962756586	-0.4854163557639469	-0.48638719719590395	-0.48545294347196943	-0.48487933868778244	-0.48493107271315217	-0.48562122759605697	-0.484828488793288	-0.48471603943035946	-0.4863760500629819	-0.48487590321050733	-0.48487590321050733	-0.48472881360800313	-0.484756801867989	-0.484756801867989	-0.4848627562188498	-0.48478979725451476	-0.48471814668802815	-0.4866129112613782	-0.4848149550732789	-0.4847622275138824	-0.4856422659327724	-0.48475044582507587	-0.4848735207564778	-0.48485996151270805	-0.4847780807534937	-0.48494305524140524	-0.48480552432808544	-0.4846453056292246	-0.48473200710229614	-0.4847434751800701	-0.4849240207375952	-0.48475241488859067	-0.4848032728005349	-0.4856095402513475	-0.48475213730131106	-0.48546339106737046	-0.48481086722735023	-0.48527683860329707	-0.485415012226163	-0.484821043106042	-0.4857109772316327	-0.4847071822653414	-0.484856108219034	-0.4848350221213038	-0.4847501415063593	-0.4847071610671052	-0.48478645914297214	-0.4847355229436723	-0.4846317788096782	-0.48466855048640956	-0.48482214064943063	-0.48469854080149855	-0.48482065138897035	-0.485779751053673	-0.4852403206133855	-0.48470077893929275	-0.4847394001267583	-0.4847309806641267	-0.48469535439302724	-0.48469535439302724	-0.48470683236013734	-0.4846924221629596	-0.48530753646633984	-0.48484077878852483	-0.4847473597267281	-0.48474261065028346	-0.48525500603889715	-0.48473852936674544	-0.4846562703539181	-0.48467306229570484	-0.484771659450299	-0.48466515378248776	-0.4852807304143931	-0.4847015018553078	-0.4847621832318111	-0.48591341846664715	-0.4846854977030113	-0.4858852902358164	-0.48472416221676584	-0.48463147871616785	-0.48480622324664224	-0.484628296151535	-0.4847946095776461	-0.4852139153146352	-0.4846376367023465	-0.48464987215474775	-0.4846788398125297	-0.484731122106581	-0.48513244503676056	-0.48463574954902877	-0.4855845060866869	-0.4847622391833968	-0.4847061112296983	-0.48465981722762885	-0.484659527021867	-0.48461158350347555	-0.48547307670305395	-0.48460997246385995	-0.4847167376312851	-0.48493375721460663	-0.4848166166716985	-0.48495831156707503	-0.4853432802631624	-0.48459420740441284	-0.4845846933679203	-0.4846120717359286	-0.4845867206699429	-0.4846037068502447	-0.4845994752002001	-0.48458818454913277	-0.4845881102045112	-0.48459228100309104	-0.4846095916163655	-0.4845975402727887	-0.484626646906293	-0.4843234578957948	-0.4845811094688217	-0.48457901881630905	-0.4843823816440834	-0.4845030106888163	-0.48443866893249377	-0.4844543504325356	-0.48449546711894054	-0.4845058107537251	-0.4845822576237875	-0.48457426324387265	-0.4845603971484008	-0.484514479889387	-0.4845287876265503	-0.4844913178641417	-0.4844994663436435	-0.4845292591867957	-0.4844653328297278	-0.4844816691302932	-0.48450501417294856	-0.4845037585586761	-0.48454258594860733	-0.4845336166806511	-0.48448444626772613	-0.4845299456776171	-0.48449172718743505	-0.4843043944982819	-0.48437745076952765	-0.4845495786183571	-0.48449606505010434
LowerQuantile [d]	-1.0143000428531486	-0.4799038393929008	-0.48399874047344515	-0.4812586450048464	-0.4812939718995435	-0.48151594105317685	-0.4835918869773307	-0.48138530479588093	-0.4815269556953111	-0.48168446002257936	-0.48165277735899537	-0.4824651513816012	-0.48270180148141495	-0.4815340069303945	-0.48165062425622496	-0.48183064670914055	-0.48337106717831346	-0.48168397615827885	-0.48385052443990895	-0.48387460886094547	-0.48172499765127763	-0.48185448652624707	-0.48217859211499103	-0.48199808912448316	-0.4820228845637562	-0.48309895052846774	-0.48216441698061785	-0.4823925330812353	-0.4836413429595493	-0.482199165185785	-0.48201174895709253	-0.4820891124378168	-0.48420809905332407	-0.48301009574840414	-0.4838720456007606	-0.4824119771940597	-0.4839039385553796	-0.4838235610299605	-0.4840148491812427	-0.4820518266746664	-0.48393611476707754	-0.4841544297789371	-0.4823802470239653	-0.48340498940565346	-0.4830136011080156	-0.48291653723222183	-0.48393752619433095	-0.4830253633753564	-0.48245283276271644	-0.4825316108702479	-0.48322541137629493	-0.4824665126646811	-0.48237979091043737	-0.48403991655153533	-0.482543257216272	-0.482543257216272	-0.4824006932075935	-0.4824362033608386	-0.4824362033608386	-0.4825529411317776	-0.4824959544054154	-0.48242542934144717	-0.48432127130667113	-0.48253463513826667	-0.48249635007031055	-0.48338419631158647	-0.4824938704244647	-0.48262367254959515	-0.482665442545158	-0.48258982673827266	-0.4827571095045612	-0.4826292394668228	-0.4824742484494222	-0.48258696809003154	-0.48261383910868016	-0.48279653384419496	-0.48263599083008246	-0.48270227456704407	-0.48351224661169645	-0.482669835599007	-0.4834416259895785	-0.48281185224003786	-0.4832873064801908	-0.4834273325532339	-0.4828473699681489	-0.4837480181273447	-0.48275611857605905	-0.48292065065009837	-0.4829068653059789	-0.48283376445275117	-0.48279938494904484	-0.48290011755175277	-0.48285121166663525	-0.4827711249323371	-0.4828148706749539	-0.48297579494833986	-0.4828599810405073	-0.48299250345160094	-0.48395731226882244	-0.48342113077206217	-0.48289495855347275	-0.482996943085534	-0.48298896429566074	-0.4829637663802572	-0.4829637663802574	-0.48297820643625056	-0.48296496252926013	-0.48358115752664876	-0.4831147528289682	-0.4830219294640168	-0.4830523299599907	-0.48361272316428827	-0.48310565190359545	-0.4830281812590338	-0.48304961077862085	-0.4831518912395004	-0.48305680547543095	-0.4836929458943158	-0.4831253325652155	-0.4832052477676486	-0.4843599800354047	-0.4831345433362916	-0.4843831953760337	-0.48322936527219496	-0.48318917477166123	-0.4833753821872152	-0.4832039735211314	-0.4833898002524787	-0.4838131175486189	-0.48324476201386546	-0.48327034240277567	-0.4833009288228822	-0.4833604459821962	-0.4837652449765184	-0.48328211163334633	-0.484232609633223	-0.48344267610020475	-0.48340218977248994	-0.48343846905939747	-0.4834408007258949	-0.48340122310958344	-0.4842927331366027	-0.4834382202377485	-0.4835584986501412	-0.4837801573133528	-0.48369640961707494	-0.4838539512166177	-0.48424425780783287	-0.4835073518043197	-0.4835413369819943	-0.4835783199217726	-0.4835533110322764	-0.4836161198244723	-0.48362496822902956	-0.48366987989584287	-0.483709026680608	-0.4837467258209879	-0.4837894901718788	-0.48378501857466183	-0.4838474515615343	-0.4850917471702445	-0.4838814847219479	-0.48396051135824514	-0.4849532162293497	-0.48498585445206555	-0.4848752497006086	-0.48468046186621283	-0.48464831330890235	-0.4846089663175732	-0.48454566161565304	-0.48457426324387265	-0.4839428985866112	-0.48435767629109583	-0.48390193806438897	-0.4840074648366529	-0.4842806309433102	-0.48389362197646246	-0.4845718583305155	-0.48437695454151275	-0.48426837386358856	-0.48436602122474126	-0.4840069954844034	-0.4840587797214223	-0.4841916627610089	-0.48421814007136	-0.4843683721168237	-0.4843787746336511	-0.48440606940643527	-0.4837701621907796	-0.48446082405951363
consensus [d]	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265	-0.48457426324387265
UQ - consensus [d]	0.7189361298869151	-0.00045829788224138746	-0.003090952351910703	-0.00030437559944018755	-0.00026075750128706776	-0.0003784386987372157	-0.0024405882207066965	-0.00022065653387226547	-0.00035187180934914686	-0.0004752864967835224	-0.00042443814988035733	-0.0011683077498334526	-0.0014049120787694713	-0.00018759777648125198	-0.0002719575962994991	-0.00044547205446987537	-0.001968598492378293	-0.0002519273181741388	-0.0023990214034864676	-0.0024171793517212548	-0.0002664167476653656	-0.00029562775502389727	-0.0005539474007353329	-0.00034513675790148746	-0.00031980647451801403	-0.0013933191083337348	-0.0004074067628492273	-0.0005555902538639801	-0.0018005849319997491	-0.00035499174138453604	-0.00016387772337511652	-0.0002384890365373371	-0.0023499398930147963	-0.0011441015402969823	-0.001990857545031699	-0.0005141810191693352	-0.0019715621066191957	-0.0018829525186120355	-0.0020726359770474323	-0.00010078189192308518	-0.001979830489878154	-0.0021694458057687216	-0.0003863477832405371	-0.0013536043766073647	-0.0009509330317859499	-0.0008420925200742779	-0.0018129339520313037	-0.0008786802280967843	-0.0003050754439097858	-0.0003568094692795176	-0.0010469643521843208	-0.00025422554941534337	-0.00014177618648680834	-0.0018017868191092523	-0.0003016399666346814	-0.0003016399666346814	-0.00015455036413047907	-0.00018253862411632404	-0.00018253862411632404	-0.0002884929749771281	-0.00021553401064211553	-0.00014388344415550147	-0.002038648017505529	-0.00024069182940622547	-0.00018796427000977722	-0.0010680026888997274	-0.0001761825812032214	-0.00029925751260517774	-0.0002856982688353993	-0.0002038175096210626	-0.0003687919975325915	-0.00023126108421278602	-7.104238535193819e-05	-0.00015774385842348693	-0.00016921193619745534	-0.0003497574937225689	-0.00017815164471801648	-0.00022900955666227407	-0.0010352770074748552	-0.00017787405743840967	-0.000889127823497815	-0.00023660398347757905	-0.0007025753594244177	-0.0008407489822903624	-0.0002467798621693662	-0.0011367139877600518	-0.0001329190214687248	-0.00028184497516137164	-0.00026075887743115533	-0.00017587826248666172	-0.0001328978232325584	-0.00021219589909948766	-0.00016125969979963184	-5.751556580557704e-05	-9.428724253690568e-05	-0.00024787740555798354	-0.00012427755762589587	-0.0002463881450976979	-0.001205487809800343	-0.0006660573695128624	-0.0001265156954201041	-0.00016513688288566364	-0.00015671742025402668	-0.00012109114915459518	-0.00012109114915459518	-0.00013256911626469137	-0.00011815891908695253	-0.0007332732224671901	-0.0002665155446521794	-0.00017309648285546153	-0.00016834740641080703	-0.0006807427950245026	-0.00016426612287279152	-8.200711004546779e-05	-9.879905183218796e-05	-0.00019739620642633682	-9.08905386151071e-05	-0.000706467170520475	-0.00012723861143515425	-0.00018791998793843412	-0.0013391552227745018	-0.00011123445913863161	-0.0013110269919437423	-0.0001498989728931921	-5.7215472295202296e-05	-0.0002319600027695934	-5.403290766237134e-05	-0.0002203463337734357	-0.000639652070762553	-6.337345847384768e-05	-7.560891087510235e-05	-0.00010457656865703324	-0.00015685886270833116	-0.0005581817928879129	-6.148630515612208e-05	-0.0010102428428142574	-0.00018797593952413205	-0.0001318479858256616	-8.55539837562036e-05	-8.526377799433771e-05	-3.7320259602902084e-05	-0.0008988134591813024	-3.570921998730103e-05	-0.000142474387412439	-0.0003594939707339817	-0.00024235342782585878	-0.00038404832320237947	-0.000769017019289775	-1.9944160540186218e-05	-1.0430124047666745e-05	-3.780849205592407e-05	-1.2457426070255906e-05	-2.9443606372026032e-05	-2.5211956327431118e-05	-1.3921305260122807e-05	-1.384696063855273e-05	-1.801775921839166e-05	-3.532837249287102e-05	-2.3277028916024456e-05	-5.238366242032999e-05	0.0002508053480778649	-6.8462249490641724e-06	-4.755572436399014e-06	0.00019188159978922315	7.125255505635586e-05	0.00013559431137888378	0.0001199128113370529	7.87961249321123e-05	6.84524901475303e-05	-7.994379914832983e-06	0.0	1.3866095471826156e-05	5.978335448564298e-05	4.547561732237693e-05	8.294537973096983e-05	7.479690022915708e-05	4.500405707696942e-05	0.00010893041414483662	9.259411357942504e-05	6.924907092409338e-05	7.050468519653741e-05	3.167729526531993e-05	4.064656322155802e-05	8.981697614651729e-05	4.431756625555838e-05	8.253605643759876e-05	0.00026986874559076224	0.00019681247434499838	2.4684625515525305e-05	7.81981937683085e-05
LQ - consensus [d]	-0.5297257796092759	0.004670423850971828	0.0005755227704274946	0.0033156182390262634	0.003280291344329167	0.0030583221906957947	0.0009823762665419622	0.003188958447991719	0.0030473075485615286	0.0028898032212932856	0.002921485884877284	0.0021091118622714733	0.0018724617624577	0.0030402563134781513	0.002923638987647692	0.002743616534732096	0.0012031960655591867	0.002890287085593801	0.0007237388039637027	0.000699654382927184	0.0028492655925950183	0.002719776717625577	0.0023956711288816157	0.002576174119389485	0.002551378680116456	0.0014753127154049084	0.0024098462632548	0.002181730162637341	0.0009329202843233464	0.0023750980580876657	0.0025625142867801154	0.0024851508060558247	0.00036616419054857907	0.0015641674954685048	0.0007022176431120686	0.002162286049812945	0.0006703246884930403	0.0007507022139121577	0.0005594140626299371	0.0025224365692062545	0.0006381484767951084	0.0004198334649355706	0.0021940162199073354	0.001169273838219187	0.0015606621358570383	0.0016577260116508175	0.0006367370495417024	0.0015488998685162514	0.0021214304811562057	0.002042652373624776	0.0013488518675777161	0.0021077505791915474	0.0021944723334352823	0.0005343466923373175	0.002031006027600646	0.002031006027600646	0.00217357003627916	0.0021380598830340602	0.0021380598830340602	0.0020213221120950475	0.0020783088384572768	0.0021488339024254843	0.0002529919372015188	0.002039628105605984	0.002077913173562096	0.0011900669322861823	0.0020803928194079724	0.0019505906942774986	0.001908820698714675	0.0019844365055999846	0.0018171537393114612	0.001945023777049859	0.0021000147944504333	0.0019872951538411066	0.0019604241351924845	0.0017777293996776855	0.0019382724137901874	0.0018719886768285843	0.0010620166321761992	0.0019044276448656472	0.0011326372542941332	0.001762411003834785	0.0012869567636818458	0.0011469306906387589	0.0017268932757237287	0.0008262451165279572	0.0018181446678136037	0.0016536125937742785	0.001667397937893722	0.0017404987911214809	0.0017748782948278086	0.0016741456921198772	0.0017230515772374	0.001803138311535557	0.0017593925689187717	0.0015984682955327845	0.001714282203365336	0.0015817597922717086	0.0006169509750502122	0.0011531324718104807	0.0016793046903998965	0.0015773201583386687	0.0015852989482119106	0.0016104968636154737	0.0016104968636152517	0.0015960568076220927	0.001609300714612516	0.0009931057172238855	0.0014595104149044413	0.0015523337798558634	0.0015219332838819488	0.0009615400795843776	0.0014686113402772039	0.001546081984838854	0.0015246524652517968	0.0014223720043722299	0.001517457768441699	0.000881317349556876	0.0014489306786571454	0.0013690154762240336	0.0002142832084679469	0.0014397199075810718	0.00019106786783895657	0.0013448979716776943	0.0013850884722114154	0.0011988810566574415	0.0013702897227412247	0.0011844629913939642	0.0007611456952537621	0.0013295012300071907	0.0013039208410969838	0.001273334420990424	0.0012138172616764642	0.0008090182673542445	0.0012921516105263153	0.0003416536106496393	0.0011315871436679004	0.0011720734713827063	0.0011357941844751807	0.0011334625179777458	0.001173040134289205	0.000281530107269945	0.0011360430061241322	0.0010157645937314275	0.0007941059305198728	0.0008778536267977088	0.0007203120272549768	0.00033000543603978194	0.0010669114395529533	0.001032926261878342	0.000995943322100068	0.00102095221159626	0.0009581434194003702	0.0009492950148430879	0.0009043833480297803	0.0008652365632646486	0.0008275374228847721	0.0007847730719938717	0.0007892446692108201	0.0007268116823383464	-0.0005174839263718534	0.0006927785219247307	0.0006137518856275115	-0.0003789529854770768	-0.0004115912081928963	-0.00030098645673592994	-0.00010619862234018118	-7.405006502969602e-05	-3.4703073700570464e-05	2.8601628219604436e-05	0.0	0.0006313646572614351	0.0002165869527768205	0.0006723251794836793	0.0005667984072197374	0.00029363230056245193	0.0006806412674101869	2.4049133571235615e-06	0.0001973087023598996	0.00030588938028408563	0.0002082420191313883	0.0005672677594692477	0.000515483522450344	0.0003826004828637597	0.0003561231725126568	0.00020589112704894053	0.0001954886102215614	0.00016819383743738037	0.0008041010530930315	0.000113439184359021
