	Dose	PF3D7_0402400.2o2_48	PF3D7_0935600.1o2_3662	PF3D7_0424800.2o2_2002	PF3D7_0818500.e2_851	PF3D7_0718700.1o1_1050	PF3D7_1459600.iso1.exon2.amp1_2130	PF3D7_1419400.e1s2_1898	PF3D7_1016600.2o2_1688	PF3D7_0525800.e1s1_2193	PF3D7_0223300 (renamed)_2205	PF3D7_1240400.iso1.exon2.amp1_1013	PF3D7_0713900.e1s3_1278	PF3D7_1318000.1o1_1002	PF3D7_1351300.2o2_1038	PF3D7_0108300.s2_2791	PF3D7_1208800.e1s1_2209	PF3D7_1478100.2o2_4908	PF3D7_0410800.iso1.exon1.amp2_1340	PF3D7_1474600.4o5_1047	PF3D7_1209300.e1s1_592	PF3D7_1001800.2o2_1977	PF3D7_0711700.e2s1_898	PF3D7_1233400.1o4_737	PF3D7_1202300.e10s1_885	PF3D7_1149200.e2s1_2474	PF3D7_0936600.2o2_2012	PF3D7_1301500.2o2_4588	PF3D7_1370300.1o2_3612	PF3D7_0832300.2o2_3619	PF3D7_1248300.1o1_1976	PF3D7_1202300.e34s1_2180	PF3D7_1401700.1o1_2648	PF3D7_0600400.iso1.exon1.amp1_3033	PF3D7_0823500.1o1_1393	PF3D7_0911300.e1s2_3750	PF3D7_1252800.2o2_1074	PF3D7_1467000.1o1_2718	PF3D7_1443800.1o1_3332	PF3D7_1135300.1o1_2354	PF3D7_0800200.e1s3_2882	PF3D7_1001300.2o2_1681	PF3D7_0912200.1o1_2676	PF3D7_1008100.s4_830	PF3D7_1202300.e29s1_1852	PF3D7_0704700.iso1.exon1.amp2_seg2_1442	PF3D7_0207000.1o2_2324	PF3D7_1324300.e3_2147	PF3D7_1240900.iso1.exon3.amp1_1880	PF3D7_0315400.1o1_3943	PFE1590w_2119	PF3D7_0712000.iso1.exon1.amp1_145	PF3D7_0906200.1o1_3357	PF3D7_0206900.1.e1_4416	PF3D7_1468100.e2s2_1156	PF3D7_0719500.1o2_3982	PF3D7_1147800.1.e2s2_1154	PF3D7_0827700.1o1_786	PF3D7_0730900.e2s1_4490	PF3D7_1229000.iso1.exon1.amp2_2206	PF3D7_0731200.2o2_4270	PF3D7_0800300.e2s1_4780	PF3D7_0425100.2o2_3932	PF3D7_1347300.iso1.exon2.amp1_2070	PF3D7_0200600.iso1.exon1.amp1_2442	PF3D7_1447800.e1s2_2899	PF3D7_0921200.2o6_4038	PFC0210c_2763	PF3D7_0405900.e4s1_1223	PF3D7_1460100.1o1_4266	PF3D7_1409400.1o1_3272	PF3D7_0726100.2o2_2403	PF3D7_1475400.e3s4_1159	PF3D7_1025400.12o13_376	PF3D7_1300300.e1s2_816	PF3D7_1464500.iso1.exon1.amp1_seg2_2304	PF3D7_1121600.iso1.exon2.amp1_2679	PF3D7_1208200.e3s3_4840	PF3D7_1468400.1o1_2724	PF13_0197_176	PF3D7_0400400.iso1.exon1.amp1_1294	PF3D7_1333300.1o1_44	PF3D7_1333300.1o1_44.1	PF3D7_1133200.e1s2_486	PF3D7_1025400.2o3_1100	PF3D7_0712300.iso1.exon1.amp1_3615	PF3D7_1101200.iso1.exon1.amp1_3319	PF3D7_0223300.iso1.exon2.amp1_3611	PF3D7_1348400.iso1.exon2.amp1_1215	PF3D7_1348400.iso1.exon2.amp1_1215.1	PF3D7_1021700.e1s3_3848	PF3D7_1436100.iso1.exon1.amp2_seg1_4042	PF3D7_0223100.iso1.exon2.amp1_989	PF3D7_1358500.1o1_755	PF3D7_1450400.iso1.exon1.amp2_1326	PF3D7_1433400.e1_4423	PF3D7_1202300.e33s1_584	PF3D7_1479400.iso1.exon2.amp1_140	PF3D7_0324900.iso1.exon1.amp1_2456	PF3D7_0220000.e2s1_2785	PF3D7_1358600.iso1.exon1.amp1_1754	PF3D7_1358600.iso1.exon1.amp2_2507	PF3D7_1358600.iso1.exon1.amp2_2507.1	PF3D7_1200100.iso1.exon1.amp1_505	PF3D7_1142100.e1s1_2891	PF3D7_1253200.2o2_1321	PF3D7_0911300.e1s1_3426	PF3D7_0728600.iso1.exon3.amp1_2396	PF3D7_0207000.2o2_2000	PF3D7_1301600.iso1.exon4.amp2_1680	PF3D7_1419400.e3s1_4118	PF3D7_0630600.2o2_4033	PF3D7_1202300.e3s1_1897	PF3D7_0611000.2o3_1027	PF3D7_1102800.iso1.exon1.amp1_671	PF3D7_1401600.e3s1_1875	PF3D7_1213500.1o2_1099	PF3D7_1150300.iso1.exon1.amp1_2740	PF3D7_1365700.1o3_3008	PF3D7_1400800.iso1.exon1.amp1_3878	PF3D7_1300100.iso1.exon1.amp1_499	PF3D7_0301700.e1s1_3787	PF3D7_1476100.1o1_1649	PF3D7_1373400.iso1.exon2.amp1_2732	PF3D7_0726400.e4s1_619	PF3D7_1300200.iso1.exon1.amp1_3602	PFB0300c_4064	PF3D7_1001700.2o2_4910	PF3D7_0420000.s4_190	PF3D7_1476600.e2_172	PF3D7_1201400.iso1.exon1.amp2_2193	PF3D7_0601100.2o2_688	PF3D7_0600300.iso1.exon1.amp1_1286	PF3D7_0501000.e2s1_563	PF3D7_0101900.iso1.exon1.amp1_123	PF3D7_1445600.e4_4738	PF3D7_0500100.iso1.exon2.amp1_1299	PF3D7_1464500.iso1.exon1.amp2_1073	PF3D7_0412400.iso1.exon1.amp1_3330	PF3D7_1036400.1o2_1668	PF3D7_0301800.2o2_4915	PF3D7_1123000.iso1.exon1.amp1_3137	PF3D7_1128500.1o1_4665	PF3D7_1433100.iso1.exon2.amp1_450	PF3D7_1411100.iso1.exon2.amp1_4379	PF3D7_1215900.1o1_1409	PF3D7_1228600.e1s1_598	PF3D7_0712800.iso1.exon1.amp1_3904	PF3D7_0422100 (renamed)_2667	PF3D7_1373000.iso1.exon2.amp1_1568	PF3D7_1415500.iso1.exon2.amp1_2259	PF3D7_1008100.s3_1478	PF3D7_1470100.e1s3_3204	PF3D7_1206900.4o4_2705	PF3D7_0703900.iso1.exon1.amp4_2544	PF3D7_1137300.1o1_1747	PF3D7_0703700.e1s1_4460	PF3D7_1349700.2o2_3937	PF3D7_0206900.1.1o2_50	PF3D7_1448300.s1_3431	PF3D7_0804500.e3_3113	PF3D7_1475400.e2s2_1145	PF3D7_0930300.s2_4726	PF3D7_1136200.5o5_4981	PF3D7_0703500.e2s3_4496	PF3D7_0704700.iso1.exon1.amp2_seg1_1140	PF3D7_0725100.e2s1_4117	PF3D7_1201200.2o2_45	PF3D7_1447800.e1s1_3223	PF3D7_0207000.e1_2796	PF3D7_0202500.1o1_2941	PF3D7_1233400.2o4_89	PF3D7_0800200.e2s1_1226	PF3D7_0900500.iso1.exon1.amp1_4464	PF3D7_0600500.iso1.exon2.amp1_130	PF3D7_1459600.iso1.exon1.amp1_3337	PF3D7_0714300.iso1.exon5.amp2_3065	PF3D7_0614900.2o3_5017	PF3D7_1023100.e1s6_1457	PF3D7_1436100.iso1.exon1.amp1_813	PF3D7_1418100.s3_5039	PF3D7_0532500.2o2_997	PF3D7_1348400.iso1.exon3.amp1_3375	PF3D7_1016500.e2s1_4172	PF3D7_0719900.iso1.exon1.amp2_527	PF3D7_1147800.iso2.exon2.amp1_4258	PF3D7_1149800.iso1.exon2.amp1_981	TimePointOrder	PF3D7_0101000.iso1.exon1.amp1_2157	PF3D7_0731700.2o2_4903
UpperQuantile [d]	0.7071525851072726	-0.3628576018675327	-0.35779758540356293	-0.35423524959151276	-0.34933581781975853	-0.3545208641973144	-0.34296551471597597	-0.3427796934007911	-0.34687321626079265	-0.3520801931823663	-0.351676538454069	-0.35057718719087905	-0.3491773527037734	-0.34786752508361213	-0.3514148127085039	-0.34308774687972576	-0.3422777215164539	-0.35074923121903856	-0.34993013441172394	-0.3507897344013369	-0.3427337907002155	-0.35038429243959035	-0.3467473446717775	-0.3423370116928325	-0.34937644528278483	-0.3496772184495117	-0.3497725459042602	-0.34184898920518336	-0.35003142555162975	-0.34908795126213227	-0.34913338016221424	-0.3487489333606308	-0.349089710298637	-0.3448406211490238	-0.3490739336437569	-0.3483954192131457	-0.345757815596841	-0.34871945175661	-0.34500481721149256	-0.3491542024430709	-0.3485115804694349	-0.3477905859009375	-0.3488082659572178	-0.3475161014738224	-0.34822369280694854	-0.34826093964389	-0.3426025078376119	-0.34794025989532756	-0.3422519095990921	-0.3474449751857625	-0.34731438889570665	-0.3474135876824628	-0.34427377056353475	-0.3410983437337015	-0.3474480622058861	-0.34650671878675526	-0.34677971478192243	-0.3473471168387041	-0.3468416381093937	-0.34707381324324443	-0.3416104612917484	-0.34693916319062296	-0.3463072654101285	-0.3470589843813382	-0.3470886035066179	-0.3467686742519147	-0.3463834949237722	-0.3412314264298898	-0.34672644930745883	-0.3465145968493291	-0.34642595344800287	-0.3414374829211246	-0.3466792334530751	-0.34192730547950295	-0.346516764818336	-0.3456930525694132	-0.34627191928672574	-0.34620115103226323	-0.34539383256029743	-0.34590492686137275	-0.34599636346113266	-0.3420695804064757	-0.3420695804064757	-0.3438670365065716	-0.34596014219093246	-0.3352390471658026	-0.335172934231039	-0.34588238348827116	-0.345756920434707	-0.345756920434707	-0.345518899536111	-0.34567790665734255	-0.33551241979306434	-0.34576139879645557	-0.34549223439392096	-0.34549715884792215	-0.341620666992861	-0.3453307224839066	-0.3412216945624991	-0.3431111308284795	-0.3412554562655452	-0.3449229451161219	-0.3449229451161219	-0.34484663680275746	-0.3414584283613397	-0.3409063535861927	-0.3378518847114314	-0.34472980832355865	-0.34176226254677516	-0.34458049039522703	-0.34453820382834555	-0.341401419538714	-0.34440627681319347	-0.3445756359028156	-0.3439192744803428	-0.3441476354340808	-0.34422021622779997	-0.34432575842840263	-0.34384198205898275	-0.34412140276845804	-0.33676311963892636	-0.3440869888664153	-0.34407647694204496	-0.3440356267124922	-0.343493554405586	-0.34415711901803525	-0.33976616849391167	-0.3438839974829356	-0.3410266185631375	-0.343626748625246	-0.33769120228149513	-0.33878069637984964	-0.3436141392641683	-0.34317233618685894	-0.3431939784610657	-0.34308227832957966	-0.34333882414625466	-0.33908440962386766	-0.34319071648586585	-0.3414195428454473	-0.3420899045406481	-0.3430063310172238	-0.3409622779327699	-0.3428398480691574	-0.34301788971726865	-0.3409577877435513	-0.3423784911840053	-0.3429699819959178	-0.340856325632968	-0.3427240738584215	-0.34253091584366163	-0.3414775327520343	-0.34183860851897974	-0.33894292794061437	-0.34229323750340346	-0.34186879483839594	-0.341977377098144	-0.3389085913887062	-0.34075316604288686	-0.3403298171498452	-0.3399021705991308	-0.34186360801560756	-0.34091459852880773	-0.33923503061585913	-0.3416643264029843	-0.33935252915605574	-0.33941889591433305	-0.3407849968799944	-0.3404862808732446	-0.34068338533285086	-0.3416137478569611	-0.33985800883103845	-0.34144079939009697	-0.3397560763538056	-0.34140051591445736	-0.33985224663965974	-0.3398659144311631	-0.33995279718180704	-0.3411480400309543	-0.3400362231978076	-0.3409282720056082	-0.34022768897263245	-0.3408643590160196	-0.3404917971351972	-0.34028531616793467	-0.3407696867658621	-0.34068129305721145	-0.3405907456754048	-0.3403625494645816	-0.34045714628414053
LowerQuantile [d]	-1.2088267829932933	-0.33655565480297295	-0.33795639364443986	-0.3376638473628358	-0.33326188320071776	-0.3389684376611213	-0.32891818535676165	-0.32941818573209725	-0.3336072918501307	-0.33930099080078724	-0.3390564264934249	-0.33855683044402807	-0.33718851225275337	-0.3362572046978935	-0.33997777479271163	-0.33173716453803764	-0.33106861315583624	-0.3397047167771619	-0.33894286508293525	-0.33982084024992315	-0.3318114064694512	-0.3395192304753353	-0.336233162862128	-0.33209785652784035	-0.3392250950264725	-0.3395365897405922	-0.33964559831614266	-0.33182968684343267	-0.3400814532951393	-0.3393925064328126	-0.3395157947102011	-0.33925213017588995	-0.33967511846489157	-0.33550973689896735	-0.3397743685622796	-0.3391348561337382	-0.3365535704869434	-0.33957844742487464	-0.33586528010288963	-0.3400637433500266	-0.3394685483299983	-0.33892394126028963	-0.3399780427544088	-0.3387192452360988	-0.3395921369208307	-0.33979499171742594	-0.33415094956383584	-0.339535695892901	-0.3340003245200083	-0.3393713977298294	-0.33926706301727794	-0.33939867799438705	-0.3362800498604163	-0.3331819683421777	-0.3397552026905895	-0.33881395084958926	-0.33909305128601946	-0.339889540253233	-0.339395690785001	-0.3398529398858543	-0.3344043713195024	-0.33973709884004744	-0.33913358266334137	-0.3399181783468354	-0.3400556003189733	-0.33978043803231545	-0.33952447366849114	-0.33441777168391973	-0.33991696158408047	-0.3399214934753145	-0.33998159972626535	-0.33503969060131433	-0.3402988051650861	-0.3355824451416813	-0.34018034786219226	-0.3394758079278194	-0.3400610414328792	-0.3401128611336327	-0.339352006011954	-0.3399552844665056	-0.3400599194900398	-0.3361448846942002	-0.3361448846942002	-0.33795205570771686	-0.3400673564045148	-0.34112630136406213	-0.34105603269848533	-0.3401331416539905	-0.340033274865847	-0.340033274865847	-0.33986275119253395	-0.3402074435263539	-0.34098222467203215	-0.3403054468472739	-0.3400525746607828	-0.3401121310895765	-0.33623915133404325	-0.34006110727418737	-0.33601408963283863	-0.3380451278109086	-0.33644605100212344	-0.3402121691006606	-0.3402121691006606	-0.34015626177969827	-0.33682470131723763	-0.336300781948616	-0.34238667715230303	-0.3402646407293185	-0.33731230790754624	-0.3401758102044396	-0.34014156040895976	-0.33712416229374753	-0.34015207250183654	-0.3403383539760699	-0.33968482654559723	-0.33997144577155053	-0.340047473540679	-0.34027535854983637	-0.33981040717154026	-0.3401210750736899	-0.3407440390889441	-0.3401119891947393	-0.3402232102362639	-0.3402212070051802	-0.3396972027589203	-0.3403742880480649	-0.3435388806501817	-0.3401486525639255	-0.3374116582440077	-0.3401919561964444	-0.34101252494868173	-0.34205197329115095	-0.3403930140881667	-0.34005925113575336	-0.3401034289571978	-0.3400009898239124	-0.34034593836486227	-0.34203725015154557	-0.3402809004788909	-0.338588307271224	-0.3393570896451523	-0.3403362090867927	-0.3383045674970716	-0.3401923811035372	-0.3403727784627523	-0.3383497356068863	-0.3397913187878964	-0.3404159942025587	-0.3383322700205044	-0.34028545724290926	-0.34031361171586105	-0.33943140015144263	-0.3399629988833662	-0.3408031758741231	-0.34043390457763695	-0.34001605161154397	-0.3401284879691204	-0.3407424252882111	-0.3390105638733774	-0.3420352547906253	-0.34141576979725036	-0.3403557117541721	-0.33943920216685863	-0.34067658449512805	-0.34026004828696615	-0.34067176416589595	-0.3406924244800301	-0.3395776374453441	-0.3416889970521187	-0.33949034776621995	-0.34042439310844613	-0.3408936732920199	-0.3404974630527276	-0.3406496953397701	-0.3405158374295519	-0.3406164088436458	-0.34062648615413704	-0.340652520096771	-0.34046006313895855	-0.34062336020958595	-0.34047004684010895	-0.3405986160423982	-0.3405139197017698	-0.3408096065478939	-0.34059136899581793	-0.34051314412947914	-0.3405566255150117	-0.3405907456754048	-0.3405785843347909	-0.34053562166530876
consensus [d]	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048	-0.3405907456754048
UQ - consensus [d]	1.0477433307826773	-0.02226685619212787	-0.01720683972815812	-0.013644503916107942	-0.008745072144353716	-0.013930118521909562	-0.0023747690405711563	-0.0021889477253863032	-0.006282470585387834	-0.011489447506961459	-0.011085792778664172	-0.009986441515474231	-0.008586607028368609	-0.007276779408207312	-0.010824067033099072	-0.0024970012043209477	-0.0016869758410490987	-0.010158485543633744	-0.00933938873631912	-0.010198988725932057	-0.0021430450248106636	-0.009793546764185534	-0.006156598996372664	-0.0017462660174276667	-0.008785699607380015	-0.009086472774106902	-0.009181800228855397	-0.0012582435297785466	-0.009440679876224933	-0.008497205586727452	-0.00854263448680942	-0.00815818768522597	-0.008498964623232186	-0.004249875473618991	-0.008483187968352068	-0.0078046735377408916	-0.005167069921436174	-0.008128706081205195	-0.004414071536087749	-0.008563456767666067	-0.007920834794030107	-0.007199840225532661	-0.008217520281812996	-0.006925355798417576	-0.007632947131543721	-0.007670193968485173	-0.002011762162207109	-0.007349514219922748	-0.0016611639236872588	-0.00685422951035769	-0.006723643220301834	-0.006822842007057961	-0.0036830248881299377	-0.0005075980582966988	-0.006857316530481272	-0.005915973111350448	-0.006188969106517617	-0.006756371163299302	-0.006250892433988908	-0.006483067567839618	-0.0010197156163435639	-0.006348417515218141	-0.005716519734723702	-0.006468238705933382	-0.006497857831213094	-0.006177928576509895	-0.005792749248367368	-0.0006406807544849791	-0.006135703632054013	-0.005923851173924299	-0.00583520777259805	-0.0008467372457197642	-0.006088487777670293	-0.0013365598040981364	-0.0059260191429311715	-0.005102306894008368	-0.005681173611320922	-0.005610405356858417	-0.004803086884892616	-0.005314181185967937	-0.005405617785727845	-0.0014788347310709105	-0.0014788347310709105	-0.0032762908311667616	-0.005369396515527647	0.00535169850960221	0.0054178114443658165	-0.0052916378128663455	-0.0051661747593022	-0.0051661747593022	-0.004928153860706164	-0.005087160981937733	0.005078325882340473	-0.00517065312105075	-0.004901488718516145	-0.004906413172517332	-0.0010299213174561617	-0.0047399768085018	-0.000630948887094307	-0.002520385153074678	-0.0006647105901403938	-0.0043321994407171105	-0.0043321994407171105	-0.00425589112735264	-0.0008676826859349007	-0.0003156079107878851	0.0027388609639734107	-0.004139062648153835	-0.0011715168713703483	-0.003989744719822219	-0.0039474581529407304	-0.0008106738633091859	-0.0038155311377886525	-0.003984890227410776	-0.0033285288049380024	-0.003556889758675963	-0.003629470552395153	-0.0037350127529978128	-0.003251236383577938	-0.0035306570930532244	0.0038276260364784598	-0.003496243191010495	-0.0034857312666401463	-0.0034448810370873995	-0.0029028087301811722	-0.0035663733426304356	0.0008245771814931468	-0.0032932518075307615	-0.00043587288773266897	-0.003036002949841188	0.002899543393909687	0.0018100492955551717	-0.0030233935887634678	-0.0025815905114541238	-0.0026032327856608806	-0.002491532654174844	-0.0027480784708498462	0.0015063360515371604	-0.0025999708104610386	-0.0008287971700424723	-0.0014991588652432664	-0.00241558534181896	-0.00037153225736508144	-0.002249102393752589	-0.002427144041863838	-0.00036704206814647256	-0.0017877455086005023	-0.002379236320513012	-0.0002655799575632112	-0.002133328183016703	-0.0019401701682568162	-0.0008867870766294805	-0.0012478628435749206	0.0016478177347904466	-0.0017024918279986423	-0.001278049162991124	-0.001386631422739204	0.0016821542866986006	-0.00016242036748204125	0.00026092852555958945	0.0006885750762740117	-0.0012728623402027406	-0.00032385285340291725	0.0013557150595456813	-0.0010735807275794595	0.001238216519349078	0.0011718497610717638	-0.00019425120458960166	0.00010446480216019793	-9.263965744604752e-05	-0.001023002181556265	0.0007327368443663662	-0.0008500537146921561	0.0008346693215992018	-0.000809770239052543	0.0007384990357450771	0.0007248312442417193	0.0006379484935977731	-0.0005572943555494647	0.0005545224775972413	-0.00033752633020339706	0.00036305670277236857	-0.0002736133406147645	9.894854020758848e-05	0.0003054295074701452	-0.00017894109045729634	-9.054738180663824e-05	0.0	0.00022819621082320607	0.000133599391264283
LQ - consensus [d]	-0.8682360373178885	0.004035090872431868	0.0026343520309649593	0.0029268983125690373	0.007328862474687059	0.0016223080142835355	0.011672560318643166	0.01117255994330757	0.0069834538252741	0.0012897548746175769	0.0015343191819799373	0.0020339152313767483	0.003402233422651446	0.004333540977511319	0.0006129708826931868	0.008853581137367172	0.009522132519568571	0.0008860288982429076	0.0016478805924695639	0.0007699054254816651	0.00877933920595364	0.0010715152000695394	0.004357582813276806	0.008492889147564464	0.0013656506489322928	0.0010541559348126173	0.0009451473592621551	0.008761058831972146	0.0005092923802655358	0.001198239242592214	0.0010749509652037137	0.0013386154995148614	0.0009156272105132479	0.005081008776437468	0.0008163771131252107	0.0014558895416665885	0.004037175188461417	0.0010122982505301747	0.004725465572515186	0.000527002325378223	0.0011221973454065282	0.0016668044151151862	0.0006127029209960222	0.0018715004393060064	0.0009986087545741373	0.000795753957978873	0.006439796111568974	0.001055049782503814	0.006590421155396542	0.001219347945575433	0.001323682658126879	0.001192067681017761	0.004310695814988497	0.00740877733322709	0.0008355429848153073	0.001776794825815553	0.0014976943893853512	0.0007012054221718356	0.001195054890403835	0.0007378057895505163	0.006186374355902413	0.0008536468353573801	0.001457163012063445	0.0006725673285694067	0.0005351453564315101	0.0008103076430893696	0.001066272006913671	0.006172973991485087	0.0006737840913243476	0.0006692522000903423	0.0006091459491394668	0.005551055074090483	0.00029194051031872226	0.005008300533723531	0.00041039781321255964	0.0011149377475854205	0.0005297042425256304	0.00047788454177211115	0.0012387396634508385	0.0006354612088992351	0.0005308261853650409	0.004445860981204641	0.004445860981204641	0.002638689967687957	0.0005233892708900179	-0.0005355556886573187	-0.0004652870230805184	0.0004576040214143151	0.000557470809557814	0.000557470809557814	0.000727994482870864	0.00038330214905091253	-0.00039147899662733687	0.0002852988281309421	0.000538171014622002	0.0004786145858283186	0.004351594341361564	0.0005296384012174471	0.004576656042566185	0.002545617864496197	0.004144694673281379	0.000378576574744216	0.000378576574744216	0.00043448389570655	0.0037660443581671865	0.0042899637267888036	-0.001795931476898216	0.00032610494608631413	0.0032784377678585774	0.00041493547096521644	0.0004491852664450513	0.0034665833816572844	0.0004386731735682714	0.00025239169933494177	0.0009059191298075864	0.0006192999038542868	0.0005432721347258251	0.00031538712556844484	0.0007803385038645527	0.00046967060171493324	-0.00015329341353925718	0.000478756480665532	0.00036753543914092024	0.00036953867022460063	0.0008935429164845243	0.00021645762733990548	-0.0029481349747768615	0.0004420931114793025	0.0031790874313971096	0.00039878947896043737	-0.0004217792732769121	-0.0014612276157461301	0.00019773158723812578	0.0005314945396514559	0.0004873167182070093	0.0005897558514924017	0.00024480731054254967	-0.001446504476140753	0.00030984519651389153	0.0020024384041807952	0.0012336560302524946	0.0002545365886121309	0.002286178178333209	0.0003983645718675932	0.0002179672126524923	0.002241010068518512	0.0007994268875083921	0.00017475147284612413	0.0022584756549003937	0.00030528843249555404	0.00027713395954376274	0.0011593455239621853	0.0006277467920386415	-0.00021243019871830526	0.00015684109776786803	0.0005746940638608478	0.0004622577062844413	-0.00015167961280626585	0.0015801818020274028	-0.0014445091152204825	-0.0008250241218455412	0.00023503392123269684	0.0011515435085461823	-8.583881972323848e-05	0.00033069738843866103	-8.101849049113596e-05	-0.00010167880462530476	0.001013108230060733	-0.0010982513767138768	0.0011003979091848692	0.00016635256695868295	-0.0003029276166151007	9.328262267721543e-05	-5.8949664365259835e-05	7.490824585293376e-05	-2.56631682409858e-05	-3.5740478732226855e-05	-6.177442136617861e-05	0.00013068253644626937	-3.261453418113014e-05	0.00012069883529586267	-7.870366993401046e-06	7.682597363500854e-05	-0.00021886087248906838	-6.23320413117856e-07	7.760154592567625e-05	3.412016039311405e-05	0.0	1.2161340613936478e-05	5.512401009605261e-05
