	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.922 ± 0.013705	0.835 ± 0.022462	0.11397 ± 0.010133	0.813 ± 0.025198	0.670 ± 0.044925	0.3766 ± 0.029048	0.700 ± 0.056812	0.685 ± 0.049905	0.824 ± 0.020793	0.877 ± 0.054256	0.920 ± 0.014342	0.909 ± 0.013280	0.761 ± 0.037497	0.909 ± 0.047913
precision_recall_auc	0.928 ± 0.021331	0.839 ± 0.049204	0.11041 ± 0.015711	0.812 ± 0.070181	0.677 ± 0.098408	0.3627 ± 0.052385	0.720 ± 0.074770	0.698 ± 0.085912	0.823 ± 0.053497	0.896 ± 0.047992	0.926 ± 0.021903	0.912 ± 0.028926	0.750 ± 0.102272	0.927 ± 0.038331
roc_auc	0.924 ± 0.029834	0.842 ± 0.028024	0.11126 ± 0.017711	0.821 ± 0.037685	0.685 ± 0.056048	0.3644 ± 0.073290	0.718 ± 0.053763	0.701 ± 0.052890	0.830 ± 0.033279	0.888 ± 0.050031	0.922 ± 0.030716	0.913 ± 0.037926	0.767 ± 0.063072	0.918 ± 0.041770
