	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.882, 0.977]	[0.816, 0.944]	[0.08227, 0.14123]	[0.788, 0.941]	[0.631, 0.889]	[0.2817, 0.5910]	[0.667, 0.917]	[0.649, 0.903]	[0.800, 0.917]	[0.833, 1.000]	[0.877, 0.976]	[0.871, 0.975]	[0.722, 0.889]	[0.864, 1.000]
precision_recall_auc	[0.880, 0.965]	[0.821, 0.922]	[0.08576, 0.13007]	[0.800, 0.914]	[0.641, 0.843]	[0.3387, 0.5074]	[0.650, 0.880]	[0.646, 0.856]	[0.826, 0.913]	[0.824, 1.000]	[0.875, 0.964]	[0.904, 0.944]	[0.778, 0.889]	[0.864, 1.000]
roc_auc	[0.865, 0.962]	[0.798, 0.944]	[0.09233, 0.14248]	[0.778, 0.941]	[0.596, 0.889]	[0.3484, 0.6512]	[0.596, 0.917]	[0.596, 0.903]	[0.818, 0.917]	[0.778, 1.000]	[0.861, 0.961]	[0.854, 0.955]	[0.778, 0.889]	[0.818, 1.000]
