	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.917 ± 0.017658	0.841 ± 0.020006	0.11603 ± 0.013148	0.820 ± 0.025704	0.681 ± 0.040013	0.3733 ± 0.038893	0.707 ± 0.035718	0.694 ± 0.036330	0.831 ± 0.026818	0.876 ± 0.033678	0.915 ± 0.018212	0.896 ± 0.020342	0.772 ± 0.048644	0.909 ± 0.030303
precision_recall_auc	0.917 ± 0.015830	0.769 ± 0.051755	0.11567 ± 0.009558	0.700 ± 0.083886	0.537 ± 0.103510	0.3696 ± 0.032566	0.693 ± 0.080325	0.610 ± 0.091716	0.732 ± 0.044886	0.961 ± 0.051627	0.915 ± 0.016354	0.908 ± 0.017261	0.556 ± 0.097991	0.982 ± 0.023473
roc_auc	0.922 ± 0.014996	0.747 ± 0.047378	0.11345 ± 0.004836	0.666 ± 0.087141	0.495 ± 0.094756	0.3623 ± 0.020786	0.662 ± 0.066241	0.571 ± 0.077083	0.716 ± 0.042132	0.946 ± 0.059178	0.920 ± 0.015433	0.912 ± 0.018612	0.522 ± 0.105409	0.973 ± 0.031782
