	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.674 ± 0.082090	0.706 ± 0.049198	0.21907 ± 0.029703	0.712 ± 0.045189	0.413 ± 0.098396	0.7534 ± 0.108837	0.435 ± 0.097889	0.423 ± 0.097828	0.818 ± 0.058421	0.617 ± 0.046032	0.654 ± 0.087383	0.739 ± 0.059462	0.844 ± 0.057378	0.568 ± 0.068601
precision_recall_auc	0.723 ± 0.062612	0.718 ± 0.043855	0.20451 ± 0.026114	0.722 ± 0.041548	0.436 ± 0.087710	0.6987 ± 0.101415	0.455 ± 0.089167	0.446 ± 0.088279	0.828 ± 0.054184	0.627 ± 0.038143	0.707 ± 0.069002	0.776 ± 0.042653	0.850 ± 0.052705	0.586 ± 0.050023
roc_auc	0.687 ± 0.039862	0.729 ± 0.036673	0.20760 ± 0.016106	0.730 ± 0.031015	0.458 ± 0.073345	0.7655 ± 0.104890	0.472 ± 0.066917	0.465 ± 0.069919	0.828 ± 0.034248	0.644 ± 0.041515	0.664 ± 0.046925	0.769 ± 0.025089	0.844 ± 0.035136	0.614 ± 0.068601
