	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.682 ± 0.076437	0.651 ± 0.033926	0.22909 ± 0.015919	0.675 ± 0.029433	0.301 ± 0.067852	0.7651 ± 0.080884	0.359 ± 0.072246	0.328 ± 0.067133	0.799 ± 0.060640	0.560 ± 0.032633	0.664 ± 0.086661	0.716 ± 0.045348	0.856 ± 0.074994	0.445 ± 0.092907
precision_recall_auc	0.729 ± 0.066767	0.680 ± 0.023840	0.21300 ± 0.014721	0.695 ± 0.022770	0.360 ± 0.047679	0.7169 ± 0.080023	0.403 ± 0.064224	0.380 ± 0.053874	0.816 ± 0.057300	0.586 ± 0.021462	0.717 ± 0.073394	0.763 ± 0.048828	0.856 ± 0.059720	0.505 ± 0.058486
roc_auc	0.715 ± 0.047158	0.693 ± 0.037777	0.21338 ± 0.016318	0.703 ± 0.025513	0.385 ± 0.075553	0.7266 ± 0.080407	0.416 ± 0.061350	0.400 ± 0.068023	0.811 ± 0.032734	0.605 ± 0.047612	0.699 ± 0.055193	0.763 ± 0.036245	0.844 ± 0.043823	0.541 ± 0.099240
