	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.686 ± 0.070165	0.677 ± 0.044934	0.22264 ± 0.026552	0.682 ± 0.041997	0.355 ± 0.089868	0.7496 ± 0.165631	0.370 ± 0.088808	0.362 ± 0.088985	0.774 ± 0.053334	0.596 ± 0.042016	0.668 ± 0.077289	0.741 ± 0.046733	0.800 ± 0.059720	0.555 ± 0.070418
precision_recall_auc	0.752 ± 0.065525	0.726 ± 0.044733	0.19545 ± 0.024173	0.720 ± 0.040709	0.451 ± 0.089465	0.6540 ± 0.125817	0.456 ± 0.084048	0.453 ± 0.086670	0.802 ± 0.039488	0.653 ± 0.053231	0.737 ± 0.074376	0.799 ± 0.036792	0.806 ± 0.047213	0.645 ± 0.079600
roc_auc	0.749 ± 0.071401	0.736 ± 0.046213	0.19608 ± 0.025592	0.730 ± 0.040814	0.471 ± 0.092426	0.7181 ± 0.133130	0.478 ± 0.088563	0.475 ± 0.090348	0.814 ± 0.045009	0.664 ± 0.058600	0.733 ± 0.079309	0.798 ± 0.042868	0.817 ± 0.052705	0.655 ± 0.088866
