	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.891 ± 0.024347	0.846 ± 0.033007	0.12169 ± 0.018743	0.830 ± 0.036163	0.693 ± 0.066014	0.3941 ± 0.049792	0.703 ± 0.068628	0.698 ± 0.066824	0.852 ± 0.031813	0.852 ± 0.051956	0.887 ± 0.025482	0.900 ± 0.027255	0.811 ± 0.046849	0.882 ± 0.048862
precision_recall_auc	0.932 ± 0.022630	0.879 ± 0.015991	0.10257 ± 0.015325	0.865 ± 0.017585	0.757 ± 0.031982	0.3358 ± 0.061728	0.769 ± 0.038244	0.763 ± 0.034907	0.875 ± 0.012636	0.895 ± 0.033429	0.930 ± 0.023272	0.934 ± 0.025725	0.839 ± 0.017568	0.918 ± 0.028748
roc_auc	0.938 ± 0.013614	0.877 ± 0.023199	0.09926 ± 0.005802	0.864 ± 0.026353	0.754 ± 0.046399	0.3170 ± 0.022434	0.762 ± 0.047249	0.758 ± 0.046594	0.878 ± 0.024506	0.885 ± 0.034260	0.936 ± 0.014092	0.942 ± 0.013752	0.844 ± 0.035136	0.909 ± 0.030303
