	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.881 ± 0.021084	0.807 ± 0.041498	0.14793 ± 0.009938	0.770 ± 0.053493	0.613 ± 0.082995	0.4820 ± 0.023880	0.684 ± 0.090156	0.648 ± 0.085306	0.779 ± 0.035560	0.905 ± 0.065593	0.879 ± 0.021450	0.846 ± 0.021276	0.672 ± 0.061139	0.941 ± 0.043122
precision_recall_auc	0.888 ± 0.013813	0.811 ± 0.030809	0.14444 ± 0.008132	0.775 ± 0.042239	0.622 ± 0.061617	0.5516 ± 0.252336	0.701 ± 0.062028	0.660 ± 0.059389	0.781 ± 0.031751	0.919 ± 0.050882	0.886 ± 0.014929	0.850 ± 0.013149	0.672 ± 0.061139	0.950 ± 0.033539
roc_auc	0.889 ± 0.016311	0.808 ± 0.029194	0.14545 ± 0.011736	0.771 ± 0.040056	0.617 ± 0.058389	0.4750 ± 0.026295	0.695 ± 0.054281	0.654 ± 0.055249	0.778 ± 0.027517	0.917 ± 0.038457	0.887 ± 0.017104	0.855 ± 0.017777	0.667 ± 0.052378	0.950 ± 0.025802
