	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.833 ± 0.033101	0.728 ± 0.040282	0.17752 ± 0.020171	0.685 ± 0.044397	0.456 ± 0.080564	0.7391 ± 0.277104	0.481 ± 0.092129	0.468 ± 0.085911	0.732 ± 0.029822	0.748 ± 0.065765	0.829 ± 0.034166	0.796 ± 0.042978	0.633 ± 0.038845	0.823 ± 0.054419
precision_recall_auc	0.832 ± 0.030329	0.726 ± 0.040844	0.17829 ± 0.021435	0.682 ± 0.058546	0.453 ± 0.081687	0.7061 ± 0.139636	0.475 ± 0.074109	0.463 ± 0.077418	0.736 ± 0.044319	0.738 ± 0.043847	0.828 ± 0.031000	0.801 ± 0.047420	0.639 ± 0.087841	0.814 ± 0.045201
roc_auc	0.819 ± 0.037196	0.723 ± 0.038150	0.18366 ± 0.021501	0.677 ± 0.055390	0.446 ± 0.076300	0.7408 ± 0.203006	0.472 ± 0.074368	0.459 ± 0.074125	0.731 ± 0.039740	0.741 ± 0.051509	0.815 ± 0.038203	0.786 ± 0.052398	0.628 ± 0.083024	0.818 ± 0.047913
