	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.607, 0.830]	[0.593, 0.717]	[0.18721, 0.26730]	[0.622, 0.727]	[0.187, 0.434]	[0.6207, 0.9418]	[0.211, 0.473]	[0.198, 0.453]	[0.692, 0.857]	[0.519, 0.615]	[0.587, 0.827]	[0.657, 0.808]	[0.778, 0.889]	[0.364, 0.591]
precision_recall_auc	[0.691, 0.855]	[0.662, 0.813]	[0.15994, 0.22212]	[0.667, 0.810]	[0.323, 0.626]	[0.5414, 0.7576]	[0.333, 0.646]	[0.328, 0.636]	[0.750, 0.938]	[0.577, 0.737]	[0.679, 0.852]	[0.737, 0.854]	[0.778, 0.944]	[0.455, 0.773]
roc_auc	[0.657, 0.864]	[0.649, 0.763]	[0.16171, 0.22026]	[0.681, 0.762]	[0.298, 0.525]	[0.5600, 0.8471]	[0.363, 0.542]	[0.332, 0.533]	[0.765, 0.875]	[0.552, 0.722]	[0.629, 0.860]	[0.747, 0.856]	[0.722, 0.889]	[0.409, 0.773]
