	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.650, 0.804]	[0.636, 0.737]	[0.17872, 0.24828]	[0.563, 0.688]	[0.273, 0.475]	[0.5292, 0.7790]	[0.292, 0.516]	[0.284, 0.495]	[0.654, 0.731]	[0.625, 0.786]	[0.637, 0.799]	[0.616, 0.780]	[0.500, 0.611]	[0.727, 0.864]
precision_recall_auc	[0.700, 0.831]	[0.636, 0.727]	[0.18540, 0.25061]	[0.552, 0.686]	[0.273, 0.455]	[0.5394, 0.8318]	[0.292, 0.600]	[0.284, 0.522]	[0.654, 0.739]	[0.625, 0.900]	[0.691, 0.827]	[0.664, 0.785]	[0.444, 0.667]	[0.727, 0.955]
roc_auc	[0.650, 0.780]	[0.659, 0.742]	[0.18899, 0.25383]	[0.581, 0.706]	[0.318, 0.485]	[0.5720, 0.8787]	[0.343, 0.508]	[0.337, 0.492]	[0.667, 0.750]	[0.647, 0.818]	[0.631, 0.774]	[0.624, 0.765]	[0.500, 0.667]	[0.727, 0.909]
