	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.722 ± 0.060278	0.721 ± 0.053558	0.20418 ± 0.028212	0.675 ± 0.069712	0.441 ± 0.107116	0.6783 ± 0.115349	0.463 ± 0.104438	0.452 ± 0.105457	0.730 ± 0.050655	0.734 ± 0.060270	0.708 ± 0.065891	0.758 ± 0.048785	0.628 ± 0.087057	0.814 ± 0.045201
precision_recall_auc	0.659 ± 0.062074	0.652 ± 0.046783	0.22473 ± 0.030906	0.570 ± 0.067741	0.304 ± 0.093565	0.7651 ± 0.133355	0.340 ± 0.091326	0.321 ± 0.092509	0.663 ± 0.039690	0.677 ± 0.052684	0.637 ± 0.064992	0.721 ± 0.057747	0.494 ± 0.076129	0.809 ± 0.028748
roc_auc	0.685 ± 0.055902	0.678 ± 0.048358	0.21171 ± 0.015341	0.616 ± 0.062713	0.356 ± 0.096716	0.6873 ± 0.063527	0.386 ± 0.107041	0.370 ± 0.101009	0.689 ± 0.040655	0.697 ± 0.074008	0.666 ± 0.064479	0.745 ± 0.030392	0.556 ± 0.074074	0.800 ± 0.057496
