	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.928 ± 0.036504	0.897 ± 0.043714	0.09838 ± 0.025991	0.886 ± 0.049535	0.793 ± 0.087427	0.3469 ± 0.076601	0.824 ± 0.096138	0.808 ± 0.090591	0.879 ± 0.035615	0.945 ± 0.080792	0.926 ± 0.037886	0.915 ± 0.028550	0.839 ± 0.055246	0.955 ± 0.067760
precision_recall_auc	0.915 ± 0.023936	0.848 ± 0.048647	0.12121 ± 0.025371	0.828 ± 0.059877	0.697 ± 0.097294	0.3937 ± 0.069070	0.722 ± 0.094228	0.709 ± 0.095111	0.839 ± 0.047579	0.883 ± 0.059887	0.913 ± 0.024671	0.905 ± 0.022437	0.783 ± 0.076129	0.914 ± 0.045201
roc_auc	0.921 ± 0.023172	0.847 ± 0.054539	0.11767 ± 0.025586	0.828 ± 0.062814	0.693 ± 0.109079	0.3764 ± 0.076602	0.714 ± 0.114447	0.704 ± 0.111452	0.840 ± 0.045057	0.874 ± 0.076622	0.919 ± 0.023851	0.914 ± 0.025875	0.789 ± 0.063072	0.905 ± 0.062287
