	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.772 ± 0.044790	0.742 ± 0.059830	0.19665 ± 0.022702	0.706 ± 0.077520	0.483 ± 0.119660	0.7365 ± 0.178419	0.496 ± 0.114830	0.490 ± 0.117119	0.760 ± 0.067963	0.736 ± 0.059218	0.764 ± 0.047628	0.771 ± 0.058510	0.683 ± 0.111265	0.800 ± 0.048862
precision_recall_auc	0.783 ± 0.036344	0.729 ± 0.042823	0.20313 ± 0.024003	0.686 ± 0.059200	0.458 ± 0.085645	0.8253 ± 0.281259	0.477 ± 0.078225	0.468 ± 0.081780	0.739 ± 0.045401	0.738 ± 0.040741	0.776 ± 0.037701	0.765 ± 0.048493	0.644 ± 0.083641	0.814 ± 0.033539
roc_auc	0.783 ± 0.038832	0.727 ± 0.053698	0.20447 ± 0.028607	0.682 ± 0.076500	0.454 ± 0.107396	0.7836 ± 0.293154	0.473 ± 0.095010	0.463 ± 0.101095	0.740 ± 0.059416	0.733 ± 0.045710	0.776 ± 0.040215	0.765 ± 0.057356	0.644 ± 0.111727	0.809 ± 0.041770
