,# correlated features
PF3D7_1470100.e1s1_1902,3
PF3D7_1469400.1o1_82,3
PF3D7_1469100.1o1_1993,3
PF3D7_1468400.1o1_2724,3
PF3D7_1468200.1o1_3610,3
PF3D7_1467400.1o1_3632,3
PF3D7_1465800.e4s1_4704,3
PF3D7_1464500.iso1.exon1.amp2_1073,3
PF3D7_1463200.e2s1_3817,3
PF3D7_1461900.e1s1_4475,3
PF3D7_1458600.iso1.exon1.amp2_2215,3
PF3D7_1458400.1o1_706,3
PF3D7_1457900.e1s2_5165,3
PF3D7_1456500.s1_1157,3
PF3D7_1454900.1o1_3916,3
PF3D7_1451600.e2s1_3860,3
PF3D7_1446700.1o8_3927,3
PF3D7_1435400.1o1_1656,3
PF3D7_1360500.s1  (renamed)_855,3
PF3D7_1325900.e1s1_1589,3
PF3D7_1301500.2o2_4588,3
PF3D7_0901000.iso1.exon1.amp1_3010,3
PFL1550w_501,2
PFI1520w_1790,2
PFD0175c_1o1_4239,2
PFC0450w_5035,2
PFA0350c_4054,2
PF3D7_1478600.iso1.exon1.amp1_4398,2
PF3D7_1477300.iso1.exon1.amp1_620,2
PF3D7_1476600.e2_172,2
PF3D7_1476500.2o2_1031,2
PF3D7_1475800.e1_521,2
PF3D7_1475700.1o1_422,2
PF3D7_1474800.e3s1_1536,2
PF3D7_1474500.1o1_4340,2
PF3D7_1474400.iso1.exon9.amp1_2080,2
PF3D7_1474400.iso1.exon8.amp1_2689,2
PF3D7_1474400.iso1.exon5.amp1_2085,2
PF3D7_1474000.iso1.exon1.amp1_seg2_3196,2
PF3D7_1473700.iso1.exon1.amp1_251,2
PF3D7_1473300.iso1.exon1.amp1_1288,2
PF3D7_1473100.e1s1_253,2
PF3D7_1472800.1o7_2988,2
PF3D7_1471900.iso1.exon2.amp1_4490,2
PF3D7_1471200.1o6_4326,2
PF3D7_1470900.iso1.exon2.amp1_2393,2
PF3D7_1469200.1o1_3306,2
PF3D7_1468600.1o2_2093,2
PF3D7_1468000.e8s2_4424,2
PF3D7_1468000.e11_3760,2
PF3D7_1465800.e6s1_2501,2
PF3D7_1465200.1o1_3968,2
PF3D7_1462700.e2s1_3176,2
PF3D7_1462300.e1s1_277,2
PF3D7_1461800.e1s1_4187,2
PF3D7_1461100.3o3_448,2
PF3D7_1460000.1o1_2330,2
PF3D7_1459900.1o1_360,2
PF3D7_1458600.iso1.exon1.amp1_1707,2
PF3D7_1457700.e1s1_5129,2
PF3D7_1453100.1o1_4654,2
PF3D7_1451000.1o1_459,2
PF3D7_1449800.1o1_1655,2
PF3D7_1448700.1o1_384,2
PF3D7_1448500.e1s3_616,2
PF3D7_1448000.e2s1_1568,2
PF3D7_1447400.iso1.exon6.amp1_2102,2
PF3D7_1447000.e3s1_1211,2
PF3D7_1445100.iso1.exon1.amp2_4534,2
PF3D7_1444700.1o4_1647,2
PF3D7_1444200.2o3_3278,2
PF3D7_1443400.e2_834,2
PF3D7_1442800.1o1_2359,2
PF3D7_1442700.e2s1_620,2
PF3D7_1441400.e1s1_245,2
PF3D7_1441300.e3s1_1201,2
PF3D7_1440400.iso1.exon2.amp2_seg2_3467,2
PF3D7_1440200.4o6_4360,2
PF3D7_1439100.e2s2_4782,2
PF3D7_1437400.1o1_1105,2
PF3D7_1435900.1o1_2011,2
PF3D7_1435800.iso1.exon1.amp1_147,2
PF3D7_1435700.1.e3s1_5077,2
PF3D7_1433500.e1s1_602,2
PF3D7_1433400.e2s3_3098,2
PF3D7_1432900.e1s1_4778,2
PF3D7_1430200.2o8_756,2
PF3D7_1429000.1o1_2309,2
PF3D7_1425500.2o2_3593,2
PF3D7_1423700.e1s2_2554,2
PF3D7_1422500.3o4_2048,2
PF3D7_1421400.5o5_1042,2
PF3D7_1421300.6o6_1439,2
PF3D7_1420000.3o3_413,2
PF3D7_1419900.iso1.exon1.amp1_1609,2
PF3D7_1418900.iso1.exon2.amp1_4207,2
PF3D7_1416600.e1s2_3840,2
PF3D7_1405600.1o1_2339,2
PF3D7_1403300.e1s2_3828,2
PF3D7_1366900.e2s1_4096,2
PF3D7_1359600.iso1.exon1.amp2_3422,2
PF3D7_1359300.iso1.exon1.amp2_3957,2
PF3D7_1356800.e1s3_3859,2
PF3D7_1343400.iso1.exon3.amp2_2487,2
PF3D7_1341800.1o1_4954,2
PF3D7_1340300.iso1.exon1.amp1_4497,2
PF3D7_1333400.1o1_1669,2
PF3D7_1307600.2o2_3348,2
PF3D7_1300400.iso1.exon2.amp1_1295,2
PF3D7_1143300.1o1_60,2
PF3D7_1128300.e2s1_4173,2
PF3D7_1036600.iso2.exon3.amp1_3851,2
PF3D7_1036400.e2s2_2150,2
PF3D7_1035800.1o1_452,2
PF3D7_1035200.1o1_117,2
PF3D7_1021700.e1s3_3848,2
PF3D7_0900500.iso1.exon1.amp1_4464,2
PFL0110c_2444,1
PFE1590w_2119,1
PFE0565w_4707,1
PFD0425w_2780,1
PFC10_API0037.iso1.exon1.amp1_3198,1
PFC0210c_2763,1
PFB0300c_4064,1
PF3D7_1477900.1o3_4022,1
PF3D7_1477000.3o3_1390,1
PF3D7_1476700.iso1.exon1.amp1_124,1
PF3D7_1475400.e3s2_1807,1
PF3D7_1475400.e2s2_1145,1
PF3D7_1474400.iso1.exon2.amp1_2112,1
PF3D7_1474400.iso1.exon14.amp1_99,1
PF3D7_1474100.iso1.exon2.amp1_926,1
PF3D7_1474000.iso1.exon1.amp3_3078,1
PF3D7_1474000.iso1.exon1.amp2_1115,1
PF3D7_1473300.iso1.exon6.amp1_3784,1
PF3D7_1473300.iso1.exon5.amp1_410,1
PF3D7_1473200.e1s1_244,1
PF3D7_1473000.1o1_4886,1
PF3D7_1472600.2o4_1405,1
PF3D7_1472500.iso1.exon3.amp1_1817,1
PF3D7_1472200.e1s3_5059,1
PF3D7_1472200.e1s1_4087,1
PF3D7_1472000.iso1.exon4.amp1_1241,1
PF3D7_1471900.iso1.exon1.amp2_3933,1
PF3D7_1471800.1o1_1020,1
PF3D7_1471700.iso1.exon1.amp1_2187,1
PF3D7_1471600.iso1.exon1.amp2_2504,1
PF3D7_1471600.iso1.exon1.amp1_3146,1
PF3D7_1470900.iso1.exon1.amp1_1529,1
PF3D7_1470800.iso1.exon1.amp1_3209,1
PF3D7_1470700.iso1.exon1.amp1_164,1
PF3D7_1470500.5o6_2722,1
PF3D7_1470100.e1s3_3204,1
PF3D7_1469900.iso1.exon3.amp1_3591,1
PF3D7_1469800.3o3_369,1
PF3D7_1469600.e1s2_839,1
PF3D7_1469000.1o1_4566,1
PF3D7_1468700.e1s1_220,1
PF3D7_1468300.iso1.exon2.amp1_2138,1
PF3D7_1468100.e2s2_1156,1
PF3D7_1467600.iso1.exon2.amp2_3402,1
PF3D7_1467600.iso1.exon1.amp1_1321,1
PF3D7_1467500.iso1.exon1.amp1_1009,1
PF3D7_1466900.iso1.exon2.amp2_2482,1
PF3D7_1466700.iso1.exon5.amp1_3206,1
PF3D7_1466600.iso1.exon1.amp1_2136,1
PF3D7_1466300.e1s2_529,1
PF3D7_1466200.e1s2_3526,1
PF3D7_1465500.iso1.exon1.amp1_833,1
PF3D7_1465300.e1_4741,1
PF3D7_1465300.1o6_4020,1
PF3D7_1465000.1o1_51,1
PF3D7_1464600.iso1.exon1.amp2_2536,1
PF3D7_1464500.iso1.exon1.amp3_212,1
PF3D7_1464500.iso1.exon1.amp1_seg2_2304,1
PF3D7_1464200.iso1.exon1.amp1_1857,1
PF3D7_1464000.e1s1_1904,1
PF3D7_1463400.iso1.exon1.amp1_718,1
PF3D7_1463000.1o1_4912,1
PF3D7_1462600.2o2_4959,1
PF3D7_1462600.1o2_3993,1
PF3D7_1462500.iso1.exon13.amp1_2654,1
PF3D7_1462500.iso1.exon10.amp1_2381,1
PF3D7_1462400.e1s4_614,1
PF3D7_1462400.e1s2_1268,1
PF3D7_1462300.e1s2_1573,1
PF3D7_1462000.1o1_355,1
PF3D7_1461900.e1s2_5117,1
PF3D7_1460800.1o1_1732,1
PF3D7_1460700.e2s1_1855,1
PF3D7_1460600.1o1_1329,1
PF3D7_1459800.1o4_3952,1
PF3D7_1459400.1o1_388,1
PF3D7_1458900.3o3_1990,1
PF3D7_1458700.1o1_719,1
PF3D7_1458000.1o1_2384,1
PF3D7_1457500.1o1_3651,1
PF3D7_1457300.e1s1_596,1
PF3D7_1457200.iso1.exon1.amp1_93,1
PF3D7_1457000.9o9_4946,1
PF3D7_1456800.1o1_4017,1
PF3D7_1456500.s3_4074,1
PF3D7_1456500.s2_191,1
PF3D7_1456100.1o1_2680,1
PF3D7_1455800.e2s2_4487,1
PF3D7_1455800.e1s1_4116,1
PF3D7_1455700.1o2_153,1
PF3D7_1455600.iso1.exon1.amp2_seg2_3748,1
PF3D7_1455600.iso1.exon1.amp1_2565,1
PF3D7_1455500.1o4_801,1
PF3D7_1455300.e1s1_4478,1
PF3D7_1454800.1o1_1978,1
PF3D7_1454500.iso1.exon1.amp1_3278,1
PF3D7_1454200.s2_1496,1
PF3D7_1454200.s1_1814,1
PF3D7_1454000.1o1_3014,1
PF3D7_1453800.e1s1_4834,1
PF3D7_1453400.iso1.exon1.amp2_4524,1
PF3D7_1453400.iso1.exon1.amp1_4016,1
PF3D7_1452600.iso1.exon1.amp2_3109,1
PF3D7_1452000.s1_2461,1
PF3D7_1451400.iso1.exon1.amp1_seg1_3165,1
PF3D7_1451200.iso1.exon1.amp1_2821,1
PF3D7_1450400.iso1.exon2.amp1_1022,1
PF3D7_1450400.iso1.exon1.amp2_1326,1
PF3D7_1449700.iso1.exon1.amp2_3667,1
PF3D7_1449700.iso1.exon1.amp1_4303,1
PF3D7_1449400.e2s1_1173,1
PF3D7_1449000.e3_2790,1
PF3D7_1449000.3o3_2640,1
PF3D7_1448800.iso1.exon2.amp1_950,1
PF3D7_1448800.iso1.exon1.amp1_1261,1
PF3D7_1448600.1o1_690,1
PF3D7_1448400.2o2_449,1
PF3D7_1448300.s1_3431,1
PF3D7_1448200.13o14_2079,1
PF3D7_1447800.e1s2_2899,1
PF3D7_1446700.1o2_4895,1
PF3D7_1446400.1o1_2025,1
PF3D7_1446100.iso1.exon1.amp1_974,1
PF3D7_1445700.e2s1_2813,1
PF3D7_1445700.e1s1_4104,1
PF3D7_1445600.e4_4738,1
PF3D7_1444400.1o3_2041,1
PF3D7_1444100.e9s3_4492,1
PF3D7_1444100.e9s2_4174,1
PF3D7_1444100.e8s2_3547,1
PF3D7_1444100.e7s1_2544,1
PF3D7_1444100.e6s1_4483,1
PF3D7_1444100.e5s1_223,1
PF3D7_1444100.e3s1_5095,1
PF3D7_1443200.iso1.exon1.amp1_95,1
PF3D7_1443100.1o1_4971,1
PF3D7_1442700.e2s3_290,1
PF3D7_1442600.iso1.exon2.amp4_4217,1
PF3D7_1442500.iso1.exon7.amp1_short_1427,1
PF3D7_1442400.e1s3_4497,1
PF3D7_1442300.e2s1_4148,1
PF3D7_1441700.iso1.exon1.amp1_3909,1
PF3D7_1441600.1o1_1082,1
PF3D7_1441200.e2_2789,1
PF3D7_1440800.1o3_3350,1
PF3D7_1440700.1o1_1425,1
PF3D7_1440300.4o6_2994,1
PF3D7_1440200.6o6_4684,1
PF3D7_1440000.iso1.exon5.amp1_797,1
PF3D7_1439700.6o6_2337,1
PF3D7_1439100.e1s2_1580,1
PF3D7_1439100.e1s1_926,1
PF3D7_1439000.2o2_2957,1
PF3D7_1438900.e1s1_887,1
PF3D7_1438800.4o4_4982,1
PF3D7_1437100.iso1.exon1.amp1_2686,1
PF3D7_1436400.e2_4425,1
PF3D7_1435700.iso2.exon2.amp1_409,1
PF3D7_1434500.e2s3_2243,1
PF3D7_1433900.iso1.exon1.amp2_3069,1
PF3D7_1433400.e1_4423,1
PF3D7_1433300.3o4_4937,1
PF3D7_1432600.iso1.exon1.amp2_480,1
PF3D7_1432300.1o3_3712,1
PF3D7_1432100.e4s1_1520,1
PF3D7_1430700.e3_4419,1
PF3D7_1430700.3o3_4964,1
PF3D7_1430500.1o1_2345,1
PF3D7_1430200.5o8_1080,1
PF3D7_1430000.1o3_2975,1
PF3D7_1429800.2o3_2103,1
PF3D7_1429600.1o1_1341,1
PF3D7_1427800.1o1_4902,1
PF3D7_1427500.1o1_3364,1
PF3D7_1427200.1o2_4564,1
PF3D7_1426700.e1s1_2208,1
PF3D7_1423700.e1s1_610,1
PF3D7_1423200.2o8_4943,1
PF3D7_1422800.1o1_4635,1
PF3D7_1422700.e1s1_2539,1
PF3D7_1421600.2o2_2063,1
PF3D7_1419500.iso1.exon1.amp1_3568,1
PF3D7_1419400.e1s2_1898,1
PF3D7_1419200.e1s1_582,1
PF3D7_1418100.s4_3419,1
PF3D7_1417900.iso1.exon1.amp1_2359,1
PF3D7_1417800.e2s1_815,1
PF3D7_1417400.1o3_3041,1
PF3D7_1417200.e1s4_3222,1
PF3D7_1415500.iso1.exon2.amp1_2259,1
PF3D7_1413800.1o1_3978,1
PF3D7_1413700.iso1.exon9.amp1_3629,1
PF3D7_1412900.iso1.exon7.amp1_1540,1
PF3D7_1412500.e1s1_5098,1
PF3D7_1411900.1o1_3294,1
PF3D7_1410400.e1s1_2878,1
PF3D7_1409000.1o2_3680,1
PF3D7_1408900.1o1_70,1
PF3D7_1408700.e4s1_3458,1
PF3D7_1408700.e3s2_3512,1
PF3D7_1408700.e3s1_3836,1
PF3D7_1408700.e2s2_1896,1
PF3D7_1407700.e1_3129,1
PF3D7_1406500.iso1.exon2.amp1_1090,1
PF3D7_1406300.1o1_4301,1
PF3D7_1406200.e1s1_948,1
PF3D7_1405700.1o1_4989,1
PF3D7_1405500.1o1_2703,1
PF3D7_1405400.e4s1_583,1
PF3D7_1403700.1o3_1356,1
PF3D7_1403200.e3s1_3796,1
PF3D7_1401900.iso1.exon10.amp1_4073,1
PF3D7_1401600.e2s1_4761,1
PF3D7_1401200.2o2_55,1
PF3D7_1400500.iso1.exon1.amp1_2435,1
PF3D7_1371500.2o2_358,1
PF3D7_1367500.1o2_72,1
PF3D7_1367100.e1s1_255,1
PF3D7_1366400.iso1.exon1.amp2_190,1
PF3D7_1365800.iso1.exon4.amp1_2685,1
PF3D7_1365700.1o3_3008,1
PF3D7_1365300.1o1_777,1
PF3D7_1364900.4o4_3954,1
PF3D7_1364200.e1s2_3538,1
PF3D7_1364100.1o1_4029,1
PF3D7_1361900.e1s1_4131,1
PF3D7_1360900.e2s1_1197,1
PF3D7_1360500.e13s1_2456,1
PF3D7_1359700.iso1.exon1.amp4_168,1
PF3D7_1358300.1o1_1036,1
PF3D7_1357400.iso1.exon1.amp2_seg2_4327,1
PF3D7_1357300.1o1_31,1
PF3D7_1354900.1o1_112,1
PF3D7_1354800.1o1_431,1
PF3D7_1354100.1o1_4284,1
PF3D7_1351600.1o1_3661,1
PF3D7_1350600.1o2_2323,1
PF3D7_1349900.1o1_3276,1
PF3D7_1348800.2o4_3719,1
PF3D7_1347200.e1s1_2529,1
PF3D7_1346800.e1s1_4786,1
PF3D7_1346700.e1s1_3814,1
PF3D7_1346400.e1s3_505,1
PF3D7_1346200.1o1_1006,1
PF3D7_1345400.3o4_1137,1
PF3D7_1344800.2o3_3962,1
PF3D7_1344800.1o3_1051,1
PF3D7_1344600.1o1_4623,1
PF3D7_1343800.iso1.exon1.amp5_seg2_4068,1
PF3D7_1343500.1o4_717,1
PF3D7_1343400.iso1.exon3.amp1_4541,1
PF3D7_1343000.e4s1_3156,1
PF3D7_1342300.1o1_697,1
PF3D7_1341300.e2s1_3794,1
PF3D7_1340900.1o2_1417,1
PF3D7_1340100.1o1_699,1
PF3D7_1340000.1o1_3342,1
PF3D7_1339400.1o2_1323,1
PF3D7_1338300.e2s1_3177,1
PF3D7_1335500.1o3_745,1
PF3D7_1334800.1o1_3955,1
PF3D7_1334700.1o1_361,1
PF3D7_1334200.e1s1_2514,1
PF3D7_1334100.1o1_800,1
PF3D7_1334000.iso1.exon1.amp1_1879,1
PF3D7_1333500.iso1.exon1.amp1_2747,1
PF3D7_1333300.1o1_44,1
PF3D7_1333000.e6s1_1193,1
PF3D7_1332200.e1s1_3821,1
PF3D7_1330600.iso1.exon1.amp1_725,1
PF3D7_1330300.iso1.exon4.amp1_90,1
PF3D7_1329500.iso1.exon1.amp2_3671,1
PF3D7_1329200.iso1.exon2.amp1_1820,1
PF3D7_1329100.e3s3_5138,1
PF3D7_1329100.e3s2_3200,1
PF3D7_1329000.e2s1_3495,1
PF3D7_1328500.e1s1_899,1
PF3D7_1328300.1o3_1680,1
PF3D7_1328200.iso1.exon3.amp1_4145,1
PF3D7_1328200.iso1.exon1.amp2_seg1_277,1
PF3D7_1323200.e3s1_3133,1
PF3D7_1322700.1o1_1025,1
PF3D7_1320700.iso1.exon1.amp2_4220,1
PF3D7_1320000.e1s1_1238,1
PF3D7_1312600.e1s1_909,1
PF3D7_1311400.e1s1_4138,1
PF3D7_1310000.e1s1_5108,1
PF3D7_1308400.e2s1_4156,1
PF3D7_1308400.e1s2_1458,1
PF3D7_1308200.e2s2_3198,1
PF3D7_1306800.iso1.exon1.amp1_136,1
PF3D7_1306300.iso1.exon3.amp1_52,1
PF3D7_1306000.iso1.exon1.amp1_828,1
PF3D7_1305900.iso1.exon2.amp1_399,1
PF3D7_1305500.1o1_4028,1
PF3D7_1304500.e1s1_1860,1
PF3D7_1303800.e1s9_2892,1
PF3D7_1303500.iso1.exon2.amp1_208,1
PF3D7_1302500.iso1.exon2.amp1_3856,1
PF3D7_1300900.iso1.exon1.amp1_4455,1
PF3D7_1300300.e1s2_816,1
PF3D7_1255200.iso1.exon1.amp1_3324,1
PF3D7_1254200.iso1.exon2.amp1_1290,1
PF3D7_1253200.2o2_1321,1
PF3D7_1252900.iso1.exon1.amp1_2115,1
PF3D7_1252800.2o2_1074,1
PF3D7_1252200.1o1_2666,1
PF3D7_1250900.e1s1_5119,1
PF3D7_1250400.e1s1_3507,1
PF3D7_1244100.e1s2_911,1
PF3D7_1243900.iso1.exon6.amp1_4142,1
PF3D7_1241900.1o1_444,1
PF3D7_1241800.1o1_790,1
PF3D7_1240600.iso1.exon2.amp1_2168,1
PF3D7_1240400.iso1.exon2.amp1_1013,1
PF3D7_1237400.2o3_730,1
PF3D7_1233400.2o4_89,1
PF3D7_1232100.e1_4732,1
PF3D7_1228400.s2_194,1
PF3D7_1227700.3o3_4670,1
PF3D7_1222000.1o1_110,1
PF3D7_1221000.e1s1_4493,1
PF3D7_1219000.iso1.exon1.amp2_3991,1
PF3D7_1217600.1o1_710,1
PF3D7_1217200.e1s1_581,1
PF3D7_1216500.e1s1_2833,1
PF3D7_1213200.1o1_57,1
PF3D7_1212400.1o1_712,1
PF3D7_1212100.1o1_115,1
PF3D7_1212000 (renamed)_3637,1
PF3D7_1209300.e1s1_592,1
PF3D7_1208300.1o2_4246,1
PF3D7_1208200.e1s1_554,1
PF3D7_1208100.e3s1_2533,1
PF3D7_1207000.e3s2_3845,1
PF3D7_1206900.4o4_2705,1
PF3D7_1206100.e4s1_2482,1
PF3D7_1205900.e1s1_1234,1
PF3D7_1150400.iso1.exon2.amp1_714,1
PF3D7_1149500.3o4_3381,1
PF3D7_1149100.iso2.exon2.amp1_3610,1
PF3D7_1147800.1.e2s2_1154,1
PF3D7_1147200.iso1.exon1.amp3_4233,1
PF3D7_1146000.1o1_4001,1
PF3D7_1145400.e1s1_4164,1
PF3D7_1140700.e1s3_3834,1
PF3D7_1139500.1.e1s1_1232,1
PF3D7_1139300.e2s2_4162,1
PF3D7_1139300.e1s1_3824,1
PF3D7_1138400.e1s1_945,1
PF3D7_1136200.5o5_4981,1
PF3D7_1129600.e1s2_4171,1
PF3D7_1127900.3o3_2030,1
PF3D7_1126700.19o19_713,1
PF3D7_1126400.2o3_1007,1
PF3D7_1126200.e2s1_236,1
PF3D7_1126000.e1s2_4140,1
PF3D7_1125800.1o4_2368,1
PF3D7_1125000.1o7_1351,1
PF3D7_1123700.iso1.exon1.amp1_2968,1
PF3D7_1123200.iso1.exon1.amp1_3335,1
PF3D7_1122700.1o1_372,1
PF3D7_1121800.s1_3759,1
PF3D7_1120900.1o1_1327,1
PF3D7_1117300.1o1_4892,1
