,# correlated features
mal_mito_3.iso1.exon1.amp1_4066,1364
PFL0630w_2120,287
mal_mito_2.iso1.exon1.amp1_1466,223
mal_mito_1.iso1.exon1.amp1_3777,213
PFE0520c_3401,201
PFC10_API0040.iso1.exon1.amp1_887,147
PFE0605c_2434,110
PFB0795w_4702,104
PFC10_API0038.iso1.exon1.amp1_4356,102
PFE0360c_827,78
PF3D7_1477900.e2_850,78
PF3D7_1474400.iso1.exon11.amp1_4212,78
PFC10_API0030.iso1.exon1.amp1_3489,72
PFI1015w_3406,69
PFC10_API0018.iso1.exon1.amp1_2911,69
PF3D7_1465500.iso1.exon1.amp2_179,59
PFC10_API0036.iso1.exon1.amp1_1753,53
PFC10_API0032.iso1.exon1.amp1_1175,49
PFB0490c_2762,44
PFC10_API0059.iso1.exon1.amp1_short_1180,40
PFC10_API0029.iso1.exon1.amp1_308,36
PF3D7_1474200.iso1.exon1.amp2_2508,35
PFE1230c_4387,33
PF3D7_1474200.iso1.exon1.amp4_3086,31
PF3D7_1472800.1o7_2988,30
PFL0800c_2443,29
PFC10_API0020.iso1.exon1.amp1_598,29
PF3D7_1475500.e1s2_4831,29
PF3D7_1474300.iso1.exon2.amp1_1611,27
PFB0320c_1789,26
PF3D7_1452600.iso1.exon1.amp1_2820,26
PF3D7_1478400.3o3_405,24
PF3D7_1478000.2o2_4603,24
PFC10_API0028.iso1.exon1.amp1_4355,22
PF3D7_1478700.4o4_351,22
PF3D7_1467900.e3s1_2130,22
PFC10_API0027.iso1.exon1.amp1_309,21
PF3D7_1477900.e3_4415,21
PF3D7_1474600.1o5_81,21
PFD0711c_2o2_4567,20
PFC10_API0041.iso1.exon1.amp1_3488,20
PF3D7_1468600.1o2_2093,20
PFC10_API0037.iso1.exon1.amp1_3198,19
PF3D7_1477900.2o3_1111,19
PF3D7_1477400.2o2_1343,18
PF3D7_1461400.2o4_1355,18
PF3D7_1475300.1o1_1342,17
PF3D7_1449500.iso1.exon2.amp1_2750,17
PF3D7_1448300.s2_1805,17
PF3D7_1465800.e3s1_2535,16
PFE0795c_494,15
PF3D7_1475100.iso1.exon1.amp1_seg2_2046,15
PF3D7_1473300.iso1.exon1.amp1_1288,15
PF3D7_1470100.e1s2_1578,15
PF3D7_1468000.e3_3120,15
PF3D7_1440000.iso1.exon5.amp2_seg2_2022,15
PF3D7_1477000.2o3_2356,14
PF3D7_1472600.1o4_1729,14
PF3D7_1466200.e1s3_3202,14
PFC0365w_5020,13
PF3D7_1478200.1o1_2299,13
PF3D7_1475800.2o2_1359,13
PF3D7_1475600.1o1_2067,13
PF3D7_1465800.e4s1_4704,13
PF3D7_1443900.1o1_4032,13
PF3D7_1437200.e1_1813,13
PF3D7_1474700.iso1.exon3.amp1_3912,12
PF3D7_1451600.e2s1_3860,12
PF3D7_1479900.iso1.exon2.amp1_2142,11
PF3D7_1476200.1o1_4286,11
PF3D7_1476000.iso1.exon2.amp1_896,11
PF3D7_1471900.iso1.exon1.amp1_1951,11
PF3D7_1469400.1o1_82,11
PF3D7_1468900.1o1_3046,11
PF3D7_1462600.1o2_3993,11
PF3D7_1373500.iso1.exon1.amp1_2457,11
PFD0880w_2769,10
PF3D7_1477800.iso1.exon1.amp1_2398,10
PF3D7_1476400.2o2_3311,10
PF3D7_1441400.e1s1_245,10
PF3D7_1441300.e3s1_1201,10
PFL0300c_1466,9
PFI1510w_2753,9
PF3D7_1480000.iso1.exon2.amp1_2445,9
PF3D7_1479100.iso1.exon1.amp1_3584,9
PF3D7_1475100.iso1.exon1.amp2_2780,9
PF3D7_1473600.1o1_1975,9
PF3D7_1471300.1o5_3995,9
PF3D7_1470100.e1s1_1902,9
PF3D7_1469200.1o1_3306,9
PF3D7_1455600.iso1.exon1.amp1_2565,9
