,# correlated features
PF3D7_1475400.e3s4_1159,1
PF3D7_1475400.e3s2_1807,1
PF3D7_1475300.1o1_1342,1
PF3D7_1474400.iso1.exon15.amp1_4083,1
PF3D7_1474200.iso1.exon2.amp1_645,1
PF3D7_1474200.iso1.exon1.amp5_1896,1
PF3D7_1474000.iso1.exon1.amp3_3078,1
PF3D7_1473700.iso1.exon1.amp2_768,1
PF3D7_1473700.iso1.exon1.amp1_251,1
PF3D7_1473300.iso1.exon1.amp1_1288,1
PF3D7_1473200.e1s1_244,1
PF3D7_1473000.1o1_4886,1
PF3D7_1472900.e1s1_4466,1
PF3D7_1472600.1o4_1729,1
PF3D7_1471900.iso1.exon1.amp2_3933,1
PF3D7_1471800.1o1_1020,1
PF3D7_1471700.iso1.exon1.amp1_2187,1
PF3D7_1471600.iso1.exon1.amp2_2504,1
PF3D7_1471500.6o6_387,1
PF3D7_1471200.1o6_4326,1
PF3D7_1470800.iso1.exon2.amp1_3976,1
PF3D7_1470800.iso1.exon1.amp1_3209,1
PF3D7_1470200.2o3_1653,1
PF3D7_1470100.e1s3_3204,1
PF3D7_1469800.3o3_369,1
PF3D7_1469600.e1s2_839,1
PF3D7_1468500.iso1.exon6.amp1_2343,1
PF3D7_1468400.1o1_2724,1
PF3D7_1468300.iso1.exon2.amp1_2138,1
PF3D7_1468000.e8s2_4424,1
PF3D7_1467400.1o1_3632,1
PF3D7_1466900.iso1.exon2.amp1_506,1
PF3D7_1466100.iso1.exon1.amp1_3918,1
PF3D7_1465800.e5s4_1267,1
PF3D7_1465300.1o6_4020,1
PF3D7_1464600.iso1.exon1.amp2_2536,1
PF3D7_1464500.iso1.exon1.amp4_2776,1
PF3D7_1464300.iso1.exon2.amp1_3855,1
PF3D7_1464200.iso1.exon1.amp1_1857,1
PF3D7_1463400.iso1.exon1.amp1_718,1
PF3D7_1458600.iso1.exon1.amp2_2215,1
PF3D7_1458400.1o1_706,1
PF3D7_1457300.e1s1_596,1
PF3D7_1456600.iso1.exon1.amp1_402,1
PF3D7_1455900.iso1.exon9.amp1_3839,1
PF3D7_1454200.s1_1814,1
PF3D7_1454000.1o1_3014,1
PF3D7_1453900.1o1_151,1
PF3D7_1453500.iso1.exon3.amp1_2253,1
PF3D7_1452900.e3s1_1537,1
PF3D7_1452700.iso1.exon8.amp1_676,1
PF3D7_1452000.s3_517,1
PF3D7_1452000.s1_2461,1
PF3D7_1451600.e2s1_3860,1
PF3D7_1450400.iso1.exon1.amp2_1326,1
PF3D7_1448500.e1s2_1264,1
PF3D7_1448300.s1_3431,1
PF3D7_1447200.2o2_1719,1
PF3D7_1445600.e4_4738,1
PF3D7_1444800.e1s1_4108,1
PF3D7_1444100.e8s2_3547,1
PF3D7_1444100.e11s1_3158,1
PF3D7_1442900.s2_3430,1
PF3D7_1442400.e1s3_4497,1
PF3D7_1439500.iso1.exon1.amp2_4529,1
PF3D7_1438800.4o4_4982,1
PF3D7_1437400.1o1_1105,1
PF3D7_1436300.e1s1_168,1
PF3D7_1436100.iso1.exon1.amp1_813,1
PF3D7_1433800.iso1.exon1.amp3_2788,1
PF3D7_1429600.1o1_1341,1
PF3D7_1421400.5o5_1042,1
PF3D7_1420400.e1s1_2897,1
PF3D7_1420300.1o1_2655,1
PF3D7_1417600.iso1.exon1.amp3_1095,1
PF3D7_1417400.1o3_3041,1
PF3D7_1416600.e1s2_3840,1
PF3D7_1416400.iso1.exon13.amp1_2384,1
PF3D7_1416200.iso1.exon1.amp2_1114,1
PF3D7_1411300.1o2_3031,1
PF3D7_1410400.e1s1_2878,1
PF3D7_1408900.1o1_70,1
PF3D7_1406400.1o1_3017,1
PF3D7_1405900.iso1.exon1.amp1_3695,1
PF3D7_1404500.iso1.exon1.amp1_1308,1
