,# correlated features
mal_mito_3.iso1.exon1.amp1_4066,1461
PFL0630w_2120,537
mal_mito_2.iso1.exon1.amp1_1466,511
PFE1230c_4387,306
PFC10_API0040.iso1.exon1.amp1_887,251
PFL0065w_4711,217
PFE0605c_2434,212
PFE1195w_3427,192
PFL2215w_4059,135
PFE0795c_494,121
PFC10_API0038.iso1.exon1.amp1_4356,120
PFE1495w_1o1_1645,90
PFI1510w_2753,89
PFL0300c_1466,87
PF3D7_1465500.iso1.exon1.amp2_179,72
PFC10_API0037.iso1.exon1.amp1_3198,69
mal_mito_1.iso1.exon1.amp1_3777,66
PFE0360c_827,61
PFE0520c_3401,58
PFB0795w_4702,57
PFI0145w_1465,45
PFI1015w_3406,44
PFC0700c_2438,40
PFC10_API0042.iso1.exon1.amp1_20,38
PFE0885w_814,36
PF3D7_1452600.iso1.exon1.amp1_2820,35
PFC10_API0059.iso1.exon1.amp1_short_1180,34
PF3D7_1479100.iso1.exon1.amp1_3584,32
PF3D7_1474400.iso1.exon11.amp1_4212,32
PFC10_API0030.iso1.exon1.amp1_3489,31
PF3D7_1478700.4o4_351,30
PF3D7_1477400.2o2_1343,30
PF3D7_1477900.e2_850,28
PF3D7_1477900.2o3_1111,26
PF3D7_1474300.iso1.exon2.amp1_1611,25
PFL1550w_501,24
PF3D7_1477600.1o3_1121,24
PFD0711c_2o2_4567,21
PFL0800c_2443,20
PFC10_API0032.iso1.exon1.amp1_1175,20
PFC10_API0020.iso1.exon1.amp1_598,20
PF3D7_1478200.1o1_2299,20
PF3D7_1474200.iso1.exon1.amp2_2508,20
PFE0225w_819,19
PFC0365w_5020,19
PFC10_API0029.iso1.exon1.amp1_308,18
PF3D7_1477000.1o1_4308,18
PF3D7_1474200.iso1.exon1.amp4_3086,18
PFI1105w_3411,17
PFC10_API0041.iso1.exon1.amp1_3488,17
PF3D7_1480000.iso1.exon2.amp1_2445,17
PF3D7_1476600.e2_172,17
PF3D7_1470100.e1s2_1578,17
PF3D7_1464500.iso1.exon1.amp2_1073,17
PFC0555c_823,16
PF3D7_1478000.2o2_4603,16
PF3D7_1461400.2o4_1355,16
PFC10_API0036.iso1.exon1.amp1_1753,14
PF3D7_1478400.3o3_405,14
PFD0880w_2769,13
PFC10_API0018.iso1.exon1.amp1_2911,13
PF3D7_1470800.iso1.exon2.amp2_4265,13
PFC0330w_166,12
PFB0690w_4058,12
PF3D7_1478500.3o3_1010,12
PF3D7_1477600.2o3_797,12
PF3D7_1450400.iso1.exon1.amp1_3403,12
PFE0265c_4373,11
PF3D7_1478600.iso1.exon1.amp1_4398,11
PF3D7_1477000.2o3_2356,11
PF3D7_1475100.iso1.exon1.amp2_2780,11
PFD0660w_3734,10
PFC0450w_5035,10
PF3D7_1476900.2o2_2967,10
PF3D7_1449500.iso1.exon2.amp1_2750,10
PFD0325w_2767,9
PF3D7_1479700.iso1.exon2.amp1_4180,9
PF3D7_1477900.e1_3442,9
PF3D7_1477500.2o2_743,9
PF3D7_1472300.2o9_1380,9
PF3D7_1471200.3o6_4002,9
PFA0370w_3415,8
PF3D7_1473400.1o1_3382,8
PF3D7_1468100.e2s1_832,8
PF3D7_1466300.e1s1_205,8
PF3D7_1464500.iso1.exon1.amp4_2776,8
PF3D7_1440000.iso1.exon5.amp2_seg2_2022,8
PF3D7_1438000.e1s1_3513,8
PF3D7_1373500.iso1.exon1.amp1_2457,8
PF3D7_1475400.e3s2_1807,7
PF3D7_1474600.1o5_81,7
PF3D7_1473200.e1s1_244,7
PF3D7_1473100.e2s1_4136,7
PF3D7_1467100.iso1.exon1.amp1_1881,7
PF3D7_1451400.iso1.exon1.amp1_seg1_3165,7
PF3D7_1448000.e2s2_1886,7
PFI1420w_169,6
PFI0645w_4388,6
PF3D7_1476200.1o1_4286,6
PF3D7_1475100.iso1.exon1.amp1_seg2_2046,6
PF3D7_1474500.1o1_4340,6
PF3D7_1474400.iso1.exon9.amp1_2080,6
PF3D7_1474400.iso1.exon4.amp1_938,6
PF3D7_1469600.e1s3_1163,6
PF3D7_1468100.e2s2_1156,6
PF3D7_1457300.e1s1_596,6
PF3D7_1452600.iso1.exon1.amp2_3109,6
PF3D7_1442400.e1s3_4497,6
PFI0570w_1477,5
PFE0565w_4707,5
PFC10_API0028.iso1.exon1.amp1_4355,5
PFC10_API0013.iso1.exon1.amp1_2909,5
PF3D7_1478400.2o3_729,5
PF3D7_1477800.iso1.exon1.amp1_2398,5
PF3D7_1477700.2o2_3945,5
PF3D7_1476800.1o1_2017,5
PF3D7_1476000.iso1.exon2.amp1_896,5
PF3D7_1475500.e1s2_4831,5
PF3D7_1474400.iso1.exon13.amp1_2677,5
PF3D7_1474200.iso1.exon2.amp1_645,5
PF3D7_1473500.1o1_762,5
PF3D7_1470200.2o3_1653,5
PF3D7_1461900.e1s1_4475,5
PF3D7_1454200.s1_1814,5
PF3D7_1450400.iso1.exon1.amp2_1326,5
PF3D7_1444100.e1s1_2498,5
PF3D7_1440800.1o3_3350,5
PF3D7_1422600.1o1_766,5
PF3D7_1417200.e1s4_3222,5
PFC10_API0027.iso1.exon1.amp1_309,4
PF3D7_1479600.iso1.exon2.amp1_139,4
PF3D7_1478100.2o2_4908,4
PF3D7_1477900.3o3_787,4
PF3D7_1476700.iso1.exon1.amp1_124,4
PF3D7_1474600.4o5_1047,4
PF3D7_1474400.iso1.exon8.amp1_2689,4
PF3D7_1473600.1o1_1975,4
PF3D7_1472600.1o4_1729,4
PF3D7_1472400.iso1.exon3.amp1_1827,4
PF3D7_1472400.iso1.exon2.amp1_4249,4
PF3D7_1471100.e2s1_4111,4
PF3D7_1470100.e1s1_1902,4
PF3D7_1469600.e1s1_515,4
PF3D7_1467600.iso1.exon2.amp2_3402,4
PF3D7_1466200.e1s1_3850,4
PF3D7_1465800.e5s1_4508,4
PF3D7_1465800.e3s1_2535,4
PF3D7_1456500.s3_4074,4
PF3D7_1453900.1o1_151,4
PF3D7_1453600.iso1.exon2.amp1_4552,4
PF3D7_1448300.s2_1805,4
PF3D7_1445100.iso1.exon1.amp2_4534,4
PF3D7_1432400.iso1.exon7.amp1_3249,4
PF3D7_1352800.1o3_1756,4
PFL0210c_2437,3
PFB0490c_2762,3
PF3D7_1477900.e3_4415,3
PF3D7_1477900.1o3_4022,3
PF3D7_1476600.2o2_1110,3
PF3D7_1476300.2o2_440,3
PF3D7_1476200.2o2_4237,3
PF3D7_1476100.1o1_1649,3
PF3D7_1475900.1o1_140,3
PF3D7_1475500.e1s1_2881,3
PF3D7_1474700.iso1.exon3.amp1_3912,3
PF3D7_1474400.iso1.exon5.amp1_2085,3
PF3D7_1474200.iso1.exon1.amp5_1896,3
PF3D7_1473700.iso1.exon1.amp2_768,3
PF3D7_1473000.1o1_4886,3
PF3D7_1472800.1o7_2988,3
PF3D7_1472700.1o1_772,3
PF3D7_1472200.e1s2_4411,3
PF3D7_1471900.iso1.exon2.amp1_4490,3
PF3D7_1471200.1o6_4326,3
PF3D7_1471000.1o1_2032,3
PF3D7_1470800.iso1.exon2.amp1_3976,3
PF3D7_1470500.6o6_3688,3
PF3D7_1469600.e1s4_4398,3
PF3D7_1468400.1o1_2724,3
PF3D7_1467200.1o1_1413,3
PF3D7_1466800.1o1_3053,3
PF3D7_1465500.iso1.exon1.amp1_833,3
PF3D7_1463300.e1s1_2848,3
PF3D7_1458500.iso1.exon1.amp2_3125,3
PF3D7_1457600.iso1.exon1.amp1_3625,3
PF3D7_1455600.iso1.exon1.amp1_2565,3
PF3D7_1454900.1o1_3916,3
PF3D7_1453400.iso1.exon1.amp1_4016,3
PF3D7_1452900.e3s1_1537,3
PF3D7_1447000.e3s1_1211,3
PF3D7_1444100.e8s2_3547,3
PF3D7_1442800.1o1_2359,3
PF3D7_1442700.e2s3_290,3
PF3D7_1439900.e2s1_2184,3
PF3D7_1433400.e2s5_3746,3
PF3D7_1430200.2o8_756,3
PF3D7_1426800.iso1.exon1.amp1_4156,3
PF3D7_1425400.iso1.exon1.amp2_2497,3
PF3D7_1420800.iso1.exon2.amp1_3797,3
PF3D7_1418900.iso1.exon2.amp1_4207,3
PF3D7_1413200.e4s1_1225,3
PF3D7_1406800.2o3_3625,3
PF3D7_1364200.e1s2_3538,3
PF3D7_1359000.iso1.exon1.amp4_3637,3
PF3D7_1355500.1o1_2381,3
PF3D7_1341300.e2s1_3794,3
PF3D7_1327000.iso1.exon3.amp2_2804,3
PF3D7_1325900.e1s2_3863,3
PF3D7_1325900.e1s1_1589,3
PF3D7_1316900.iso1.exon1.amp1_3925,3
PFL2430c_484,2
PFI0460w_1143,2
PFD0425w_2780,2
PFD0175c_1o1_4239,2
PFC10_API0014.iso1.exon1.amp1_short_1174,2
PFC10_API0012.iso1.exon1.amp1_short_596,2
PFB0320c_1789,2
PFA0270c_1142,2
PF3D7_1479900.iso1.exon2.amp1_2142,2
PF3D7_1479800.iso1.exon2.amp1_4468,2
PF3D7_1479500.iso1.exon2.amp1_3581,2
PF3D7_1477300.iso1.exon2.amp1_3285,2
PF3D7_1477300.iso1.exon1.amp1_620,2
PF3D7_1475800.e1_521,2
PF3D7_1475800.2o2_1359,2
PF3D7_1475700.1o1_422,2
PF3D7_1475400.e2s3_2131,2
PF3D7_1475300.1o1_1342,2
PF3D7_1475100 (renamed)_3105,2
PF3D7_1474800.e3s1_1536,2
PF3D7_1474400.iso1.exon15.amp1_4083,2
PF3D7_1474100.iso1.exon2.amp1_926,2
PF3D7_1472800.3o7_3312,2
PF3D7_1472500.iso1.exon1.amp1_2649,2
PF3D7_1472200.e1s1_4087,2
PF3D7_1472100.1o6_3935,2
PF3D7_1471900.iso1.exon1.amp1_1951,2
PF3D7_1471200.5o6_1091,2
PF3D7_1470100.e1s3_3204,2
PF3D7_1469600.e1s2_839,2
PF3D7_1469300.iso1.exon1.amp1_4164,2
PF3D7_1469200.1o1_3306,2
PF3D7_1469100.1o1_1993,2
PF3D7_1468600.1o2_2093,2
PF3D7_1468000.e11_3760,2
PF3D7_1467900.e3s2_1812,2
PF3D7_1467900.e3s1_2130,2
PF3D7_1467400.1o1_3632,2
PF3D7_1465800.e5s2_4832,2
PF3D7_1465700.iso1.exon5.amp1_1494,2
PF3D7_1465300.e1_4741,2
PF3D7_1462700.e2s1_3176,2
PF3D7_1462600.1o2_3993,2
PF3D7_1462400.e1s4_614,2
PF3D7_1461800.e1s1_4187,2
PF3D7_1461600.e3s1_913,2
PF3D7_1460800.1o1_1732,2
PF3D7_1460700.e2s1_1855,2
PF3D7_1460000.1o1_2330,2
PF3D7_1458700.1o1_719,2
PF3D7_1456500.s2_191,2
PF3D7_1456500.s1_1157,2
PF3D7_1456200.1o1_3710,2
PF3D7_1455700.1o2_153,2
PF3D7_1455600.iso1.exon1.amp2_seg2_3748,2
PF3D7_1453800.e1s1_4834,2
PF3D7_1453200.iso1.exon13.amp1_125,2
PF3D7_1452800.2o4_1661,2
PF3D7_1452600.iso1.exon1.amp3_3398,2
PF3D7_1451600.e2s1_3860,2
PF3D7_1450500.e3s1_2542,2
PF3D7_1450500.e2s1_3145,2
PF3D7_1449000.e3_2790,2
PF3D7_1448500.e1s3_616,2
PF3D7_1448500.e1s2_1264,2
PF3D7_1448400.2o2_449,2
PF3D7_1448300.s1_3431,2
PF3D7_1448200.14o14_3705,2
PF3D7_1446600.e3s1_2821,2
PF3D7_1444200.2o3_3278,2
PF3D7_1444000.iso1.exon2.amp1_3535,2
PF3D7_1442500.iso1.exon8.amp1_946,2
PF3D7_1442000.1o2_3924,2
PF3D7_1441300.e5s2_607,2
PF3D7_1441300.e5s1_931,2
PF3D7_1440400.iso1.exon2.amp2_seg2_3467,2
PF3D7_1440300.4o6_2994,2
PF3D7_1440000.iso1.exon5.amp1_797,2
PF3D7_1439700.5o6_63,2
PF3D7_1438800.4o4_4982,2
PF3D7_1437800.1o1_2622,2
PF3D7_1436200.iso1.exon1.amp2_4577,2
PF3D7_1436100.iso1.exon1.amp1_813,2
PF3D7_1435900.1o1_2011,2
PF3D7_1435300.e1s3_2873,2
PF3D7_1434700.1o1_3598,2
PF3D7_1432900.e1s1_4778,2
