,# correlated features
PF3D7_1314400.iso1.exon2.amp1_1199,7018
PF3D7_0913500.3o3_2668,212
PF3D7_0727900.e1s1_4698,179
PF3D7_1340900.1o2_1417,11
PF3D7_1342300.1o1_697,7
PF3D7_1373500.iso1.exon1.amp1_2457,5
PF3D7_0200100.iso1.exon2.amp1_2746,5
PF3D7_1240900.iso1.exon3.amp1_1880,3
PF3D7_0900100.iso1.exon2.amp1_151,2
PF3D7_0324900.iso1.exon1.amp1_2456,2
mal_mito_1.iso1.exon1.amp1_3777,1
PFL0630w_2120,1
PFL0110c_2444,1
PFI0645w_4388,1
PFE0360c_827,1
PFC0700c_2438,1
PF3D7_1478500.3o3_1010,1
PF3D7_1475400.e2s2_1145,1
PF3D7_1474400.iso1.exon11.amp1_4212,1
PF3D7_1471800.1o1_1020,1
PF3D7_1459600.iso1.exon1.amp1_3337,1
