,# correlated features
PF3D7_0712300.iso1.exon1.amp1_3615,1
PF3D7_0709900.e1s2_4418,1
PF3D7_0703700.e1s1_4460,1
PF3D7_0611000.2o3_1027,1
PF3D7_0532600.2o2_675,1
PF3D7_0532500.2o2_997,1
PF3D7_0223300 (renamed)_2205,1
PF3D7_0207000.e1_2796,1
PF3D7_0206900.1.e1_4416,1
PF3D7_0206900.1.1o2_50,1
