,# correlated features
PF3D7_1233400.2o4_89,1
PF3D7_1219300.iso1.exon1.amp1_4486,1
PF3D7_1216500.e1s1_2833,1
PF3D7_1215900.1o1_1409,1
PF3D7_1209300.e1s1_592,1
PF3D7_1208800.e1s1_2209,1
PF3D7_1208200.e3s2_4516,1
PF3D7_1206900.4o4_2705,1
PF3D7_1205500.e1s2_3867,1
PF3D7_1202300.e6s1_3793,1
PF3D7_1202300.e4s1_1851,1
PF3D7_1202300.e33s1_584,1
PF3D7_1202300.e12s1_3131,1
PF3D7_1200600.iso1.exon2.amp1_3377,1
PF3D7_1150400.iso1.exon2.amp1_714,1
PF3D7_1150000.iso1.exon2.amp1_3314,1
PF3D7_1149100.1.2o2_4944,1
PF3D7_1142100.e1s1_2891,1
PF3D7_1136200.5o5_4981,1
PF3D7_1133100.e1s2_854,1
PF3D7_1123500.iso1.exon1.amp1_4580,1
PF3D7_1122500.iso1.exon1.amp1_3721,1
PF3D7_1121600.iso1.exon2.amp1_2679,1
PF3D7_1115900.iso1.exon2.amp1_4360,1
PF3D7_1102800.iso1.exon1.amp1_671,1
PF3D7_1101100.iso1.exon1.amp1_3897,1
PF3D7_1040400.iso1.exon2.amp1_2156,1
PF3D7_1036000.1o1_739,1
PF3D7_1025400.12o13_376,1
PF3D7_1022200.e2s1_565,1
PF3D7_1021700.e1s3_3848,1
PF3D7_1014100.s1_841,1
PF3D7_1008100.s3_1478,1
PF3D7_1001700.2o2_4910,1
PF3D7_1000500.iso1.exon3.amp1_4465,1
PF3D7_1000200.iso1.exon1.amp1_1575,1
PF3D7_0924500.1o4_4376,1
PF3D7_0909100.1o1_121,1
PF3D7_0900500.iso1.exon1.amp1_4464,1
PF3D7_0900200.e2s1_4790,1
PF3D7_0833500.iso1.exon3.amp1_3614,1
PF3D7_0800700.e3s1_1253,1
PF3D7_0800300.e2s1_4780,1
PF3D7_0800200.e2s1_1226,1
PF3D7_0732200.iso1.exon2.amp1_1297,1
PF3D7_0731200.2o2_4270,1
PF3D7_0726100.2o2_2403,1
PF3D7_0719900.iso1.exon1.amp2_527,1
PF3D7_0712800.iso1.exon1.amp1_3904,1
PF3D7_0712300.iso1.exon1.amp1_3615,1
PF3D7_0712000.iso1.exon1.amp1_145,1
PF3D7_0711700.e2s1_898,1
PF3D7_0703700.e1s1_4460,1
PF3D7_0703500.e2s3_4496,1
PF3D7_0630600.2o2_4033,1
PF3D7_0609000.iso1.exon1.amp1_3985,1
PF3D7_0604500.iso1.exon1.amp3_3986,1
PF3D7_0600500.iso1.exon2.amp1_130,1
PF3D7_0532500.2o2_997,1
PF3D7_0525000.1o1_3692,1
PF3D7_0500100.iso1.exon2.amp1_1299,1
PF3D7_0425100.2o2_3932,1
PF3D7_0424600.e2s1_4454,1
PF3D7_0412900.iso1.exon1.amp1_435,1
PF3D7_0412400.iso1.exon1.amp1_3330,1
PF3D7_0315400.1o1_3943,1
PF3D7_0220300.2o2_368,1
PF3D7_0220000.e2s1_2785,1
PF3D7_0206900.1.e1_4416,1
PF3D7_0206900.1.1o2_50,1
PF3D7_0108300.s2_2791,1
