,# correlated features
mal_mito_3.iso1.exon1.amp1_4066,1103
mal_mito_1.iso1.exon1.amp1_3777,557
PFL0630w_2120,302
mal_mito_2.iso1.exon1.amp1_1466,246
PFE0605c_2434,191
PFE0360c_827,148
PFL0800c_2443,146
PFC10_API0040.iso1.exon1.amp1_887,116
PFE0520c_3401,110
PF3D7_1477900.e2_850,85
PFI1015w_3406,81
PFC10_API0059.iso1.exon1.amp1_short_1180,80
PFC10_API0032.iso1.exon1.amp1_1175,78
PFB0795w_4702,77
PF3D7_1477800.iso1.exon1.amp1_2398,74
PF3D7_1474400.iso1.exon11.amp1_4212,71
PFC10_API0038.iso1.exon1.amp1_4356,70
PFE1230c_4387,65
PFC10_API0030.iso1.exon1.amp1_3489,64
PF3D7_1479900.iso1.exon2.amp1_2142,61
PFC10_API0041.iso1.exon1.amp1_3488,57
PFC10_API0036.iso1.exon1.amp1_1753,54
PF3D7_1478000.2o2_4603,50
PFI1510w_2753,44
PF3D7_1475500.e1s1_2881,44
PFC10_API0027.iso1.exon1.amp1_309,43
PFE0795c_494,42
PFL0210c_2437,41
PF3D7_1474300.iso1.exon2.amp1_1611,38
PFC10_API0028.iso1.exon1.amp1_4355,35
PFC10_API0018.iso1.exon1.amp1_2911,34
PFB0490c_2762,34
PFL0300c_1466,33
PF3D7_1475100.iso1.exon1.amp1_seg2_2046,33
PF3D7_1474200.iso1.exon1.amp4_3086,31
PFC10_API0029.iso1.exon1.amp1_308,30
PFE1195w_3427,29
PFC0365w_5020,29
PF3D7_1467900.e3s1_2130,29
PFB0320c_1789,26
PF3D7_1474200.iso1.exon1.amp2_2508,26
PF3D7_1469600.e1s3_1163,26
PF3D7_1477400.2o2_1343,24
PFC10_API0013.iso1.exon1.amp1_2909,23
PF3D7_1477900.2o3_1111,21
PF3D7_1472600.1o4_1729,21
PFD0880w_2769,20
PFC0700c_2438,20
PF3D7_1473400.1o1_3382,20
PFL2215w_4059,19
PF3D7_1474400.iso1.exon4.amp1_938,19
PF3D7_1475500.e1s2_4831,18
PF3D7_1465500.iso1.exon1.amp2_179,18
PF3D7_1476200.1o1_4286,17
PF3D7_1475800.2o2_1359,17
PF3D7_1471100.e2s1_4111,17
PFD0711c_2o2_4567,15
PF3D7_1478700.4o4_351,15
PF3D7_1475300.1o1_1342,15
PF3D7_1477600.2o3_797,14
PF3D7_1473500.1o1_762,14
PF3D7_1470100.e1s1_1902,14
PF3D7_1468000.e3_3120,14
PF3D7_1452600.iso1.exon1.amp1_2820,14
PFC10_API0020.iso1.exon1.amp1_598,13
PF3D7_1473600.1o1_1975,13
PF3D7_1373500.iso1.exon1.amp1_2457,13
PFI1420w_169,12
PF3D7_1478400.3o3_405,12
PF3D7_1478400.2o3_729,12
PF3D7_1475100 (renamed)_3105,12
PF3D7_1476400.2o2_3311,11
PF3D7_1476200.2o2_4237,11
PF3D7_1474700.iso1.exon3.amp1_3912,11
PF3D7_1474200.iso1.exon1.amp5_1896,11
PF3D7_1471000.1o1_2032,11
PF3D7_1470500.6o6_3688,11
PF3D7_1469200.1o1_3306,11
PF3D7_1461400.2o4_1355,11
PFE0885w_814,10
PF3D7_1478200.1o1_2299,10
PF3D7_1471200.3o6_4002,10
PF3D7_1470100.e1s2_1578,10
PF3D7_1463200.e2s1_3817,10
PFD0310w_3739,9
PFC0555c_823,9
PFA0370w_3415,9
PF3D7_1472800.1o7_2988,9
PF3D7_1472300.2o9_1380,9
PF3D7_1471200.1o6_4326,9
PF3D7_1470800.iso1.exon2.amp1_3976,9
PF3D7_1469600.e1s1_515,9
PF3D7_1459000.1o1_1101,9
PF3D7_1458900.3o3_1990,9
PF3D7_1458800.1o1_2394,9
PF3D7_1448500.e1s2_1264,9
PFI0145w_1465,8
PFC0330w_166,8
PF3D7_1480000.iso1.exon2.amp1_2445,8
PF3D7_1479100.iso1.exon1.amp1_3584,8
PF3D7_1477900.e1_3442,8
PF3D7_1476600.2o2_1110,8
PF3D7_1475600.1o1_2067,8
PF3D7_1477700.2o2_3945,7
PF3D7_1476700.iso1.exon1.amp1_124,7
PF3D7_1476000.iso1.exon2.amp1_896,7
PF3D7_1475000.1o1_3596,7
PF3D7_1473100.e2s1_4136,7
PF3D7_1469400.1o1_82,7
PF3D7_1466200.e1s3_3202,7
PF3D7_1462600.1o2_3993,7
PF3D7_1457900.e1s2_5165,7
PF3D7_1451000.1o1_459,7
PF3D7_1448300.s2_1805,7
PF3D7_1433400.e2s3_3098,7
PFI1105w_3411,6
PF3D7_1477900.e3_4415,6
PF3D7_1477900.3o3_787,6
PF3D7_1477500.2o2_743,6
PF3D7_1477300.iso1.exon1.amp1_620,6
PF3D7_1475400.e2s3_2131,6
