,# correlated features
PF3D7_1149500.e4_1827,658
PF3D7_0712300.iso1.exon2.amp2_1949,401
PF3D7_1462600.1o2_3993,40
PF3D7_0906200.1o1_3357,20
PF3D7_0404600.s5_3107,14
PF3D7_0324900.iso1.exon1.amp1_2456,9
PF3D7_0405900.e4s1_1223,8
PF3D7_1036400.1o2_1668,7
PF3D7_0700100.iso1.exon3.amp1_1301,6
PF3D7_1358600.iso1.exon1.amp1_1754,5
PF3D7_1329500.iso1.exon3.amp1_730,5
PF3D7_1128500.1o1_4665,5
PF3D7_1012700.e1s1_3765,4
PF3D7_0305500.e1s3_4195,4
PF3D7_0315400.1o1_3943,2
PF3D7_0609000.iso1.exon1.amp2_4274,2
PF3D7_1478600.iso1.exon2.amp2_2488,1
PF3D7_1478500.3o3_1010,1
PF3D7_1478400.3o3_405,1
PF3D7_1477500.2o2_743,1
