,# correlated features
mal_mito_3.iso1.exon1.amp1_4066,869
mal_mito_2.iso1.exon1.amp1_1466,274
PFL0630w_2120,170
mal_mito_1.iso1.exon1.amp1_3777,152
PFC10_API0030.iso1.exon1.amp1_3489,129
PFC10_API0037.iso1.exon1.amp1_3198,89
PFC10_API0018.iso1.exon1.amp1_2911,73
PFC10_API0029.iso1.exon1.amp1_308,72
PFC10_API0013.iso1.exon1.amp1_2909,70
PFC10_API0027.iso1.exon1.amp1_309,68
PF3D7_1479700.iso1.exon2.amp1_4180,48
PF3D7_1473300.iso1.exon1.amp1_1288,48
PFC10_API0028.iso1.exon1.amp1_4355,47
PFE0520c_3401,41
PF3D7_1479600.iso1.exon2.amp1_139,41
PF3D7_1479100.iso1.exon1.amp1_3584,41
PF3D7_1471000.1o1_2032,38
PF3D7_1449500.iso1.exon2.amp1_2750,38
PFL0800c_2443,37
PFD0310w_3739,37
PFC10_API0038.iso1.exon1.amp1_4356,37
PFC10_API0020.iso1.exon1.amp1_598,37
PFD0711c_2o2_4567,36
PF3D7_1455600.iso1.exon1.amp1_2565,32
PF3D7_1472800.1o7_2988,31
PFC0450w_5035,29
PF3D7_1471900.iso1.exon1.amp1_1951,26
PF3D7_1479900.iso1.exon2.amp1_2142,25
PF3D7_1476000.iso1.exon2.amp1_896,24
PF3D7_1475500.e1s2_4831,24
PF3D7_1477300.iso1.exon2.amp1_3285,23
PF3D7_1476400.2o2_3311,22
PF3D7_1444100.e9s1_4498,21
PF3D7_1440000.iso1.exon5.amp3_225,21
PFL0065w_4711,20
PF3D7_1474200.iso1.exon1.amp4_3086,19
PF3D7_1473600.1o1_1975,19
PFC10_API0040.iso1.exon1.amp1_887,18
PFA0370w_3415,18
PF3D7_1478400.2o3_729,18
PF3D7_1477900.e3_4415,18
PF3D7_1474600.1o5_81,18
PF3D7_1474000.iso1.exon1.amp2_1115,18
PFB0320c_1789,17
PF3D7_1475700.1o1_422,17
PF3D7_1474400.iso1.exon9.amp1_2080,17
PF3D7_1448300.s2_1805,17
PFL0300c_1466,16
PF3D7_1478600.iso1.exon2.amp2_2488,16
PF3D7_1466700.iso1.exon4.amp1_short_4022,16
PF3D7_1464500.iso1.exon1.amp4_2776,16
PF3D7_1458900.3o3_1990,16
PF3D7_1480000.iso1.exon2.amp1_2445,15
PF3D7_1475900.1o1_140,15
PF3D7_1465500.iso1.exon1.amp2_179,15
PF3D7_1474200.iso1.exon1.amp2_2508,14
PFD0660w_3734,13
PF3D7_1478200.1o1_2299,13
PF3D7_1475600.1o1_2067,13
PF3D7_1473100.e2s1_4136,13
PF3D7_1465600.1o10_3268,13
PF3D7_1451600.e2s1_3860,13
PF3D7_1450400.iso1.exon1.amp2_1326,13
PF3D7_1475400.e3s2_1807,12
PF3D7_1474200.iso1.exon1.amp5_1896,12
PF3D7_1473200.e1s1_244,11
PF3D7_1472500.iso1.exon3.amp1_1817,11
PF3D7_1467000.1o1_2718,11
PF3D7_1448000.e2s2_1886,11
PF3D7_1440000.iso1.exon5.amp2_seg2_2022,11
PF3D7_1428200.1o1_4984,11
PFE1495w_1o1_1645,10
PFE1230c_4387,10
PFB0490c_2762,10
PF3D7_1475400.e2s3_2131,10
PF3D7_1474200.iso1.exon2.amp1_645,10
PF3D7_1468200.1o1_3610,10
PF3D7_1464300.iso1.exon2.amp1_3855,10
PF3D7_1461000.1o5_2364,10
PF3D7_1455400.1o2_2642,10
PFE0225w_819,9
PFD0880w_2769,9
PF3D7_1467600.iso1.exon1.amp1_1321,9
PF3D7_1458500.iso1.exon1.amp2_3125,9
PFE1195w_3427,8
PFC10_API0059.iso1.exon1.amp1_short_1180,8
PF3D7_1478600.iso1.exon1.amp1_4398,8
PF3D7_1478400.3o3_405,8
PF3D7_1477900.e2_850,8
PF3D7_1471500.6o6_387,8
PF3D7_1470100.e1s2_1578,8
PF3D7_1468900.1o1_3046,8
PF3D7_1468000.e3_3120,8
PF3D7_1467400.1o1_3632,8
PF3D7_1461200.iso1.exon3.amp1_115,8
PF3D7_1461100.3o3_448,8
PF3D7_1460900.iso1.exon3.amp1_340,8
PF3D7_1455800.e2s1_3185,8
