	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.857 ± 0.025968	0.773 ± 0.032010	0.15612 ± 0.016221	0.748 ± 0.035632	0.547 ± 0.064020	0.5697 ± 0.253520	0.555 ± 0.067827	0.551 ± 0.065435	0.789 ± 0.032393	0.766 ± 0.049509	0.854 ± 0.027037	0.849 ± 0.030398	0.733 ± 0.051052	0.814 ± 0.050023
precision_recall_auc	0.858 ± 0.029627	0.777 ± 0.023473	0.15467 ± 0.013368	0.754 ± 0.026489	0.555 ± 0.046945	0.5577 ± 0.268315	0.557 ± 0.047119	0.556 ± 0.046887	0.798 ± 0.026244	0.759 ± 0.029680	0.854 ± 0.031705	0.850 ± 0.027751	0.750 ± 0.039284	0.805 ± 0.030679
roc_auc	0.854 ± 0.024718	0.774 ± 0.022494	0.15791 ± 0.012710	0.750 ± 0.026203	0.549 ± 0.044988	0.6454 ± 0.310891	0.553 ± 0.043474	0.551 ± 0.043941	0.795 ± 0.027829	0.759 ± 0.030577	0.851 ± 0.026886	0.847 ± 0.025352	0.744 ± 0.046849	0.805 ± 0.037421
