	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.881 ± 0.037196	0.828 ± 0.021526	0.13363 ± 0.018886	0.811 ± 0.022044	0.657 ± 0.043053	0.4290 ± 0.065337	0.659 ± 0.048463	0.658 ± 0.045511	0.846 ± 0.018757	0.813 ± 0.042995	0.877 ± 0.038983	0.881 ± 0.032032	0.811 ± 0.028689	0.845 ± 0.043913
precision_recall_auc	0.910 ± 0.011575	0.842 ± 0.029622	0.11903 ± 0.004370	0.823 ± 0.040635	0.684 ± 0.059244	0.3803 ± 0.019329	0.691 ± 0.040596	0.688 ± 0.049988	0.852 ± 0.039116	0.840 ± 0.015581	0.907 ± 0.012004	0.911 ± 0.011812	0.811 ± 0.070273	0.873 ± 0.019165
roc_auc	0.906 ± 0.015505	0.845 ± 0.021725	0.12192 ± 0.008647	0.829 ± 0.023947	0.690 ± 0.043449	0.3898 ± 0.031242	0.693 ± 0.045137	0.692 ± 0.044244	0.857 ± 0.018379	0.837 ± 0.029593	0.903 ± 0.016136	0.907 ± 0.012474	0.822 ± 0.023424	0.868 ± 0.025802
