	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.919 ± 0.038950	0.850 ± 0.029523	0.11140 ± 0.023894	0.831 ± 0.032867	0.701 ± 0.059045	0.3755 ± 0.072987	0.733 ± 0.074564	0.716 ± 0.065914	0.836 ± 0.022223	0.897 ± 0.067521	0.916 ± 0.041590	0.912 ± 0.025087	0.778 ± 0.037037	0.923 ± 0.056894
precision_recall_auc	0.921 ± 0.020504	0.770 ± 0.081732	0.11712 ± 0.017025	0.696 ± 0.134795	0.540 ± 0.163464	0.3686 ± 0.049585	0.686 ± 0.091696	0.606 ± 0.127881	0.743 ± 0.079761	0.944 ± 0.058882	0.919 ± 0.021210	0.913 ± 0.020293	0.572 ± 0.173818	0.968 ± 0.030679
roc_auc	0.915 ± 0.019010	0.757 ± 0.060456	0.12445 ± 0.014028	0.688 ± 0.102061	0.513 ± 0.120912	0.3883 ± 0.037376	0.630 ± 0.085227	0.567 ± 0.098922	0.734 ± 0.058594	0.896 ± 0.068215	0.913 ± 0.019639	0.906 ± 0.015949	0.572 ± 0.133667	0.941 ± 0.043122
