	time	scoring	top_params	ncv_mcc	test_mcc	ncv_precision_recall_auc	test_precision_recall_auc	ncv_roc_auc	test_roc_auc	mean_ncv_mcc	mean_test_mcc	mean_ncv_precision_recall_auc	mean_test_precision_recall_auc	mean_ncv_roc_auc	mean_test_roc_auc
0	III14	mcc	{'frequency': 5, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 0.001, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}}	"[0.54384833 0.6969697  0.44219444 0.54384833 0.5959596  0.33734954
 0.44219444 0.5959596  0.64550223 0.4411494 ]"	"[ 0.77459667  0.25819889  0.5         0.77459667  0.46666667  0.5
  0.77459667  1.          0.46666667  0.77459667  0.5         0.77459667
  0.5        -0.06666667  0.46666667  0.57735027  0.77459667  0.5
  0.4472136   0.74535599  0.77459667  0.5         0.77459667  0.6
  0.46666667  0.5        -0.57735027  0.          1.          0.77459667
  0.57735027  0.25819889  0.5         0.48795004  0.48795004  0.77459667
  1.          0.37796447  0.1490712   0.74535599  0.77459667  0.5
  1.          0.46666667  0.46666667  0.25819889  0.77459667  1.
  0.25819889 -0.29277002]"	"[0.81497898 0.86676964 0.88850093 0.83392077 0.8091189  0.82605879
 0.77033019 0.86433826 0.91867542 0.81068003]"	"[0.90833333 0.72857143 0.94375    0.90277778 0.51388889 0.8110119
 1.         1.         0.71111111 1.         0.94375    1.
 0.94375    0.62222222 0.76388889 1.         0.90833333 0.90833333
 0.85       1.         0.88392857 0.88392857 1.         0.71111111
 0.90277778 0.94375    0.39940476 0.73125    1.         1.
 0.54375    0.88392857 0.90833333 0.51884921 0.81666667 1.
 1.         0.6672619  0.55178571 1.         0.94375    0.88392857
 1.         0.76388889 0.90277778 0.87083333 0.88392857 1.
 0.46111111 0.40555556]"	"[0.80555556 0.88888889 0.90151515 0.84848485 0.86616162 0.81818182
 0.76515152 0.86363636 0.9040404  0.86111111]"	"[0.875      0.5625     0.9375     0.93333333 0.8        0.75
 1.         1.         0.8        1.         0.9375     1.
 0.9375     0.66666667 0.86666667 1.         0.875      0.875
 0.86666667 1.         0.8125     0.8125     1.         0.8
 0.93333333 0.9375     0.375      0.75       1.         1.
 0.6875     0.8125     0.875      0.33333333 0.8        1.
 1.         0.625      0.46666667 1.         0.9375     0.8125
 1.         0.86666667 0.93333333 0.875      0.8125     1.
 0.73333333 0.73333333]"	0.5284975604116315	0.537734609909648	0.8403371911411133	0.8384444444444444	0.8522727272727273	0.8481666666666666
1	III14	precision_recall_auc	{'frequency': 3, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 10.0, 'dataselector__R1': 0.0001, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}}	"[0.54384833 0.60053256 0.39393939 0.59494221 0.64550223 0.4061812
 0.4411494  0.61408825 0.69751845 0.60053256]"	"[0.77459667 0.25819889 0.5        0.77459667 0.46666667 0.57735027
 0.77459667 0.57735027 0.46666667 0.77459667 0.25819889 0.77459667
 0.5        0.06666667 0.46666667 0.57735027 0.77459667 0.5
 0.6        0.74535599 0.77459667 0.77459667 0.77459667 0.6
 0.46666667 0.77459667 0.         0.         1.         0.
 0.5        0.25819889 0.5        0.48795004 0.48795004 0.77459667
 0.77459667 0.5        0.         0.74535599 0.77459667 0.77459667
 1.         0.46666667 0.46666667 0.5        0.57735027 1.
 0.1490712  0.74535599]"	"[0.81969559 0.89732982 0.83908808 0.84117905 0.81004608 0.80864101
 0.7967725  0.88221298 0.8820635  0.85350997]"	"[1.         0.72857143 0.94375    0.90277778 0.71111111 0.79315476
 1.         1.         0.76388889 1.         0.87083333 1.
 0.87083333 0.81666667 0.76388889 0.94375    0.94375    0.90833333
 0.85       1.         0.94375    1.         1.         0.85
 0.90277778 0.90833333 0.4625     0.73125    1.         1.
 0.94375    0.79583333 0.90833333 0.51884921 0.53234127 1.
 0.94375    0.87083333 0.71111111 1.         1.         0.90833333
 1.         0.76388889 0.90277778 0.87083333 0.83541667 1.
 0.71111111 0.90277778]"	"[0.83333333 0.88888889 0.85858586 0.86363636 0.88131313 0.81565657
 0.76262626 0.90656566 0.91161616 0.87373737]"	"[1.         0.5625     0.9375     0.93333333 0.8        0.6875
 1.         1.         0.86666667 1.         0.875      1.
 0.875      0.8        0.86666667 0.9375     0.9375     0.875
 0.86666667 1.         0.9375     1.         1.         0.86666667
 0.93333333 0.875      0.5625     0.75       1.         1.
 0.9375     0.75       0.875      0.33333333 0.4        1.
 0.9375     0.875      0.8        1.         1.         0.875
 1.         0.86666667 0.93333333 0.875      0.8125     1.
 0.8        0.93333333]"	0.5538234585188053	0.5571211406199147	0.8430538571692537	0.8745972222222222	0.8595959595959595	0.8749999999999999
2	III14	roc_auc	{'frequency': 6, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1.0, 'dataselector__R1': 0.0001, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}}	"[0.54494926 0.6969697  0.44525308 0.54494926 0.64550223 0.50442963
 0.54384833 0.61408825 0.69751845 0.64550223]"	"[0.77459667 0.25819889 0.5        0.77459667 0.48795004 0.5
 0.77459667 1.         0.46666667 0.77459667 0.25819889 0.
 0.5        1.         0.46666667 0.         0.77459667 0.5
 0.6        1.         0.77459667 0.77459667 0.77459667 0.6
 0.46666667 0.77459667 0.5        0.         1.         0.
 0.5        0.25819889 0.5        1.         0.48795004 0.77459667
 0.77459667 0.5        0.         0.74535599 0.77459667 0.77459667
 1.         0.46666667 0.46666667 0.5        0.57735027 1.
 0.6        0.74535599]"	"[0.81559243 0.90412873 0.8766482  0.87674725 0.8507152  0.83519861
 0.85509143 0.88221298 0.90465513 0.88236966]"	"[1.         0.72857143 0.94375    0.90277778 0.71111111 0.87083333
 1.         1.         0.76388889 1.         0.87083333 1.
 0.87083333 1.         0.76388889 1.         0.94375    0.90833333
 0.85       1.         0.94375    1.         1.         0.85
 0.90277778 0.90833333 0.54375    0.73125    1.         1.
 0.94375    0.79583333 0.90833333 1.         0.53234127 1.
 0.94375    0.87083333 0.71111111 1.         1.         0.90833333
 1.         0.76388889 0.90277778 0.87083333 0.87083333 1.
 0.71111111 0.90277778]"	"[0.82070707 0.92171717 0.8989899  0.89646465 0.89141414 0.84848485
 0.8510101  0.90656566 0.91919192 0.89393939]"	"[1.         0.5625     0.9375     0.93333333 0.8        0.875
 1.         1.         0.86666667 1.         0.875      1.
 0.875      1.         0.86666667 1.         0.9375     0.875
 0.86666667 1.         0.9375     1.         1.         0.86666667
 0.93333333 0.875      0.6875     0.75       1.         1.
 0.9375     0.75       0.875      1.         0.4        1.
 0.9375     0.875      0.8        1.         1.         0.875
 1.         0.86666667 0.93333333 0.875      0.875      1.
 0.8        0.93333333]"	0.5883010420824528	0.5904329805970425	0.8683359600965084	0.8928988095238095	0.884848484848485	0.9010833333333333
3	C-1	mcc	{'frequency': 5, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 0.001, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}}	"[0.49236596 0.54843158 0.44219444 0.49494949 0.49236596 0.54494926
 0.38978972 0.64550223 0.54384833 0.54384833]"	"[0.77459667 0.25819889 0.5        0.46666667 0.46666667 0.25819889
 0.77459667 0.57735027 0.46666667 0.77459667 0.77459667 0.77459667
 0.25819889 0.06666667 0.46666667 0.57735027 0.5        0.5
 0.4472136  0.74535599 0.77459667 0.25819889 0.77459667 0.25819889
 0.46666667 0.5        0.25819889 0.37796447 1.         0.77459667
 0.5        0.25819889 0.25819889 0.48795004 0.48795004 1.
 0.77459667 0.57735027 0.1490712  0.74535599 0.5        0.25819889
 0.77459667 0.46666667 0.74535599 0.5        0.57735027 1.
 0.25819889 0.46666667]"	"[0.81747263 0.69741701 0.88704842 0.87601865 0.90163322 0.84031339
 0.78894193 0.87104576 0.81549911 0.86617007]"	"[0.94375    0.77142857 0.94375    0.77678571 0.90277778 0.51934524
 1.         0.575      0.67777778 1.         0.94375    1.
 0.87083333 0.81666667 0.90277778 1.         0.86607143 0.90833333
 1.         1.         0.90833333 0.83541667 1.         0.85
 0.90277778 0.94375    0.54375    0.8110119  1.         1.
 0.57916667 0.90833333 0.88392857 0.58234127 0.62222222 1.
 0.90833333 0.76666667 0.56865079 1.         0.86607143 0.6422619
 1.         0.76388889 0.79365079 0.88392857 0.90833333 1.
 0.85       0.40555556]"	"[0.81818182 0.8030303  0.88636364 0.84848485 0.90656566 0.8459596
 0.75757576 0.8510101  0.81060606 0.86111111]"	"[0.9375     0.6875     0.9375     0.66666667 0.93333333 0.625
 1.         0.75       0.73333333 1.         0.9375     1.
 0.875      0.8        0.93333333 1.         0.75       0.875
 1.         1.         0.875      0.8125     1.         0.86666667
 0.93333333 0.9375     0.6875     0.75       1.         1.
 0.75       0.875      0.8125     0.53333333 0.66666667 1.
 0.875      0.8125     0.53333333 1.         0.75       0.5625
 1.         0.86666667 0.73333333 0.8125     0.875      1.
 0.86666667 0.73333333]"	0.5138245314989172	0.5331381463487154	0.8361560188251254	0.8429484126984127	0.8388888888888888	0.8472500000000001
4	C-1	precision_recall_auc	{'frequency': 3, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 10.0, 'dataselector__R1': 0.0001, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}}	"[0.60053256 0.64550223 0.49494949 0.54384833 0.75254898 0.47534332
 0.34054054 0.72374686 0.64550223 0.69751845]"	"[ 0.77459667  0.25819889  0.77459667  0.74535599  0.46666667  0.25819889
  0.77459667  1.          0.46666667  0.77459667  0.77459667  0.77459667
  0.5         0.06666667  0.46666667  0.57735027  0.5         0.5
  0.6         0.74535599  0.77459667  0.77459667  0.77459667  1.
  0.46666667  0.77459667  0.          0.37796447  1.          0.
  0.77459667  0.25819889  0.25819889  0.48795004 -0.06666667  1.
  0.77459667  0.77459667  0.          0.74535599  1.          0.57735027
  0.77459667  0.46666667  0.46666667  0.5         0.57735027  1.
  0.77459667  0.74535599]"	"[0.83755854 0.87172852 0.87532629 0.88796545 0.92242666 0.83178187
 0.80484464 0.91616731 0.89023053 0.89076349]"	"[0.94375    0.77142857 0.94375    0.77678571 0.85       0.79315476
 1.         1.         0.76388889 1.         0.88392857 1.
 0.87083333 0.62222222 0.90277778 0.90833333 0.86607143 0.94375
 1.         0.90277778 0.94375    0.94375    1.         1.
 0.90277778 0.90833333 0.4797619  0.8110119  1.         1.
 0.90833333 0.90833333 0.88392857 0.58234127 0.65555556 1.
 0.86607143 1.         0.71111111 1.         1.         0.83541667
 0.86666667 0.90277778 0.90277778 0.87083333 0.79583333 1.
 1.         0.90277778]"	"[0.81818182 0.86616162 0.87121212 0.86868687 0.92676768 0.82828283
 0.76010101 0.8989899  0.90151515 0.86111111]"	"[0.9375     0.6875     0.9375     0.66666667 0.86666667 0.6875
 1.         1.         0.86666667 1.         0.8125     1.
 0.875      0.66666667 0.93333333 0.875      0.75       0.9375
 1.         0.93333333 0.9375     0.9375     1.         1.
 0.93333333 0.875      0.5625     0.75       1.         1.
 0.875      0.875      0.8125     0.53333333 0.73333333 1.
 0.75       1.         0.8        1.         1.         0.8125
 0.875      0.93333333 0.93333333 0.875      0.75       1.
 1.         0.93333333]"	0.5920033000836162	0.5926226976932597	0.872879329867534	0.8865119047619048	0.8601010101010103	0.8784166666666665
5	C-1	roc_auc	{'frequency': 6, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1.0, 'dataselector__R1': 0.0001, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}}	"[0.65983288 0.74715612 0.55254298 0.49236596 0.75254898 0.52223297
 0.44780193 0.72374686 0.64550223 0.64550223]"	"[ 0.77459667  0.25819889  0.77459667  0.74535599  0.74535599  0.77459667
  0.77459667  1.          0.46666667  0.77459667  0.77459667  0.
  0.5         1.          0.46666667  0.          0.5         0.5
  0.6         1.          0.77459667  0.77459667  0.77459667  1.
  0.46666667  0.77459667  0.25819889  0.37796447  1.          0.
  0.77459667  0.25819889  0.25819889  1.         -0.06666667  1.
  0.77459667  0.77459667  0.          0.74535599  1.          0.57735027
  0.77459667  0.46666667  0.46666667  0.5         0.57735027  1.
  0.6         0.74535599]"	"[0.83716902 0.89416396 0.91560338 0.8996193  0.90681504 0.85645185
 0.85186107 0.91616731 0.90119154 0.89887615]"	"[0.94375    0.77142857 0.94375    0.77678571 0.81666667 0.94375
 1.         1.         0.76388889 1.         0.88392857 1.
 0.87083333 1.         0.90277778 1.         0.86607143 0.94375
 1.         1.         0.94375    0.94375    0.94375    1.
 0.90277778 0.90833333 0.83541667 0.8110119  1.         1.
 0.90833333 0.90833333 0.86607143 1.         0.65555556 1.
 0.86607143 1.         0.71111111 1.         1.         0.83541667
 0.86666667 0.90277778 0.90277778 0.87083333 0.79583333 1.
 1.         0.90277778]"	"[0.81060606 0.91414141 0.91414141 0.88131313 0.91161616 0.84848485
 0.83333333 0.8989899  0.90909091 0.88131313]"	"[0.9375     0.6875     0.9375     0.66666667 0.8        0.9375
 1.         1.         0.86666667 1.         0.8125     1.
 0.875      1.         0.93333333 1.         0.75       0.9375
 1.         1.         0.9375     0.9375     0.9375     1.
 0.93333333 0.875      0.8125     0.75       1.         1.
 0.875      0.875      0.75       1.         0.73333333 1.
 0.75       1.         0.8        1.         1.         0.8125
 0.875      0.93333333 0.93333333 0.875      0.75       1.
 1.         0.93333333]"	0.6189233150182213	0.6171580915284856	0.8877918618618876	0.9141746031746031	0.8803030303030303	0.9044166666666666
6	C28	mcc	{'frequency': 5, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 0.001, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}}	"[0.64874912 0.75254898 0.54384833 0.69751845 0.69751845 0.65983288
 0.49236596 0.85634884 0.85634884 0.81124574]"	"[0.77459667 0.77459667 0.5        1.         0.1490712  0.77459667
 0.77459667 1.         0.48795004 0.77459667 0.77459667 0.77459667
 0.5        0.25819889 0.46666667 0.57735027 0.77459667 0.5
 0.77459667 1.         0.77459667 0.77459667 0.77459667 0.77459667
 0.46666667 0.77459667 0.37796447 0.57735027 1.         0.77459667
 1.         0.25819889 0.25819889 0.48795004 0.48795004 1.
 1.         1.         0.48795004 0.74535599 0.77459667 0.77459667
 1.         0.74535599 1.         0.77459667 0.77459667 1.
 0.74535599 0.74535599]"	"[0.92651287 0.9741478  0.90003095 0.93027411 0.94412111 0.91373191
 0.86884591 0.95958354 0.95212363 0.97123867]"	"[1.         1.         0.94375    1.         0.76388889 1.
 1.         1.         1.         1.         0.90833333 1.
 0.90833333 0.65555556 0.90277778 1.         1.         0.94375
 1.         1.         1.         0.94375    1.         0.90277778
 0.90277778 0.94375    1.         1.         1.         1.
 1.         0.90833333 0.90833333 0.51884921 0.81666667 1.
 1.         1.         0.76388889 1.         0.86607143 0.94375
 1.         0.90277778 1.         1.         0.90833333 1.
 1.         1.        ]"	"[0.94191919 0.97727273 0.9040404  0.92676768 0.94949495 0.92676768
 0.85353535 0.95959596 0.93181818 0.96717172]"	"[1.         1.         0.9375     1.         0.86666667 1.
 1.         1.         1.         1.         0.875      1.
 0.875      0.73333333 0.93333333 1.         1.         0.9375
 1.         1.         1.         0.9375     1.         0.93333333
 0.93333333 0.9375     1.         1.         1.         1.
 1.         0.875      0.875      0.33333333 0.8        1.
 1.         1.         0.86666667 1.         0.75       0.9375
 1.         0.93333333 1.         1.         0.875      1.
 1.         1.        ]"	0.7016325600372604	0.7108045408789652	0.9340610490348326	0.9451289682539682	0.9338383838383837	0.9429166666666667
7	C28	precision_recall_auc	{'frequency': 3, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 10.0, 'dataselector__R1': 0.0001, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}}	"[0.76712278 0.80009469 0.64874912 0.69751845 0.75254898 0.5956834
 0.49236596 0.76712278 0.80009469 0.81124574]"	"[0.77459667 0.77459667 0.77459667 1.         0.48795004 0.77459667
 0.77459667 1.         0.74535599 0.77459667 0.77459667 0.77459667
 0.77459667 0.25819889 0.74535599 0.57735027 0.77459667 0.5
 0.77459667 1.         0.77459667 0.77459667 0.77459667 1.
 0.46666667 0.77459667 0.37796447 0.57735027 1.         0.
 0.77459667 0.25819889 0.25819889 0.48795004 0.74535599 1.
 0.77459667 1.         0.         0.74535599 1.         0.77459667
 1.         0.46666667 0.74535599 0.77459667 0.77459667 1.
 0.74535599 0.74535599]"	"[0.94030693 0.92199468 0.92742099 0.94691026 0.94216777 0.90737932
 0.86412814 0.94530636 0.96051974 0.94899145]"	"[1.         1.         1.         1.         0.77678571 0.86607143
 1.         1.         0.90277778 1.         0.90833333 1.
 0.94375    0.85       0.90277778 1.         1.         0.94375
 1.         1.         0.94375    1.         1.         1.
 0.90277778 0.94375    0.94375    1.         1.         1.
 1.         0.90833333 0.90833333 0.51884921 1.         1.
 1.         1.         0.76388889 1.         1.         1.
 1.         0.90277778 1.         0.94375    1.         1.
 1.         1.        ]"	"[0.92171717 0.90909091 0.92424242 0.9520202  0.94444444 0.91666667
 0.83838384 0.94949495 0.96464646 0.95959596]"	"[1.         1.         1.         1.         0.66666667 0.75
 1.         1.         0.93333333 1.         0.875      1.
 0.9375     0.86666667 0.93333333 1.         1.         0.9375
 1.         1.         0.9375     1.         1.         1.
 0.93333333 0.9375     0.9375     1.         1.         1.
 1.         0.875      0.875      0.33333333 1.         1.
 1.         1.         0.86666667 1.         1.         1.
 1.         0.93333333 1.         0.9375     1.         1.
 1.         1.        ]"	0.713254660547826	0.7085184083848202	0.9305125651976518	0.9554841269841269	0.9280303030303031	0.9493333333333334
8	C28	roc_auc	{'frequency': 6, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1.0, 'dataselector__R1': 0.0001, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}}	"[0.76712278 0.80009469 0.68088291 0.65983288 0.75254898 0.68088291
 0.5959596  0.76712278 0.80009469 0.69751845]"	"[0.77459667 0.77459667 0.77459667 1.         0.48795004 0.77459667
 0.77459667 1.         0.74535599 0.77459667 0.77459667 0.
 0.77459667 1.         0.74535599 0.         0.77459667 0.77459667
 0.77459667 1.         0.77459667 0.77459667 0.77459667 1.
 0.46666667 0.77459667 0.77459667 0.57735027 1.         0.
 0.77459667 0.25819889 0.25819889 1.         0.74535599 1.
 0.77459667 1.         0.         0.74535599 1.         0.77459667
 1.         0.46666667 0.74535599 0.77459667 0.57735027 1.
 0.6        0.74535599]"	"[0.94161933 0.93917657 0.9515566  0.9633398  0.93164723 0.90470209
 0.90147133 0.94530636 0.96635918 0.95162831]"	"[1.         1.         1.         1.         0.77678571 0.94375
 1.         1.         0.90277778 1.         0.90833333 1.
 0.94375    1.         0.90277778 1.         1.         0.94375
 1.         1.         1.         1.         0.94375    1.
 0.90277778 0.94375    0.94375    1.         1.         1.
 1.         0.90833333 0.90833333 1.         1.         1.
 1.         1.         0.76388889 1.         1.         1.
 1.         0.90277778 1.         0.94375    1.         1.
 1.         1.        ]"	"[0.92676768 0.94949495 0.9469697  0.96717172 0.92676768 0.91414141
 0.91161616 0.94949495 0.97222222 0.95454545]"	"[1.         1.         1.         1.         0.66666667 0.9375
 1.         1.         0.93333333 1.         0.875      1.
 0.9375     1.         0.93333333 1.         1.         0.9375
 1.         1.         1.         1.         0.9375     1.
 0.93333333 0.9375     0.9375     1.         1.         1.
 1.         0.875      0.875      1.         1.         1.
 1.         1.         0.86666667 1.         1.         1.
 1.         0.93333333 1.         0.9375     1.         1.
 1.         1.        ]"	0.7202060673343598	0.7131290205502084	0.9396806799107449	0.9696607142857142	0.9419191919191918	0.9690833333333333
