	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.926 ± 0.014515	0.869 ± 0.031513	0.10072 ± 0.016158	0.852 ± 0.036448	0.738 ± 0.063027	0.3360 ± 0.040526	0.802 ± 0.081607	0.769 ± 0.071585	0.833 ± 0.019459	0.969 ± 0.067508	0.925 ± 0.014884	0.906 ± 0.015846	0.761 ± 0.026836	0.977 ± 0.049097
precision_recall_auc	0.912 ± 0.038861	0.806 ± 0.065967	0.11472 ± 0.015542	0.752 ± 0.104588	0.612 ± 0.131933	0.3798 ± 0.075931	0.759 ± 0.059192	0.680 ± 0.100234	0.766 ± 0.064504	0.993 ± 0.021082	0.910 ± 0.040618	0.903 ± 0.033884	0.617 ± 0.137212	0.995 ± 0.014374
roc_auc	0.914 ± 0.026480	0.804 ± 0.048469	0.11458 ± 0.015911	0.759 ± 0.072935	0.607 ± 0.096938	0.3707 ± 0.057240	0.713 ± 0.087494	0.657 ± 0.090708	0.768 ± 0.042434	0.945 ± 0.062585	0.912 ± 0.027662	0.908 ± 0.022404	0.639 ± 0.087841	0.968 ± 0.037421
