	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.889, 1.000]	[0.705, 1.000]	[0.04472, 0.15218]	[0.621, 1.000]	[0.409, 1.000]	[0.1848, 0.4947]	[0.508, 1.000]	[0.456, 1.000]	[0.690, 1.000]	[0.818, 1.000]	[0.885, 1.000]	[0.886, 1.000]	[0.500, 1.000]	[0.909, 1.000]
precision_recall_auc	[0.868, 0.982]	[0.705, 0.894]	[0.06838, 0.15303]	[0.621, 0.882]	[0.409, 0.788]	[0.2375, 0.4978]	[0.508, 0.812]	[0.456, 0.800]	[0.690, 0.875]	[0.818, 1.000]	[0.863, 0.981]	[0.881, 0.985]	[0.500, 0.833]	[0.864, 1.000]
roc_auc	[0.917, 0.975]	[0.737, 0.949]	[0.08073, 0.12695]	[0.688, 0.944]	[0.475, 0.899]	[0.2786, 0.4566]	[0.516, 0.899]	[0.495, 0.899]	[0.731, 0.955]	[0.786, 1.000]	[0.914, 0.974]	[0.909, 0.975]	[0.611, 0.944]	[0.864, 1.000]
