	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.634, 0.807]	[0.669, 0.765]	[0.17719, 0.22650]	[0.629, 0.727]	[0.338, 0.530]	[0.5338, 0.7207]	[0.343, 0.560]	[0.341, 0.545]	[0.696, 0.760]	[0.647, 0.800]	[0.629, 0.801]	[0.699, 0.806]	[0.611, 0.667]	[0.727, 0.864]
precision_recall_auc	[0.627, 0.794]	[0.692, 0.765]	[0.18462, 0.22888]	[0.647, 0.727]	[0.384, 0.530]	[0.5528, 0.7159]	[0.396, 0.560]	[0.390, 0.545]	[0.708, 0.760]	[0.688, 0.800]	[0.624, 0.788]	[0.692, 0.785]	[0.611, 0.667]	[0.773, 0.864]
roc_auc	[0.651, 0.790]	[0.669, 0.765]	[0.18438, 0.22911]	[0.629, 0.727]	[0.338, 0.530]	[0.5629, 0.7214]	[0.343, 0.560]	[0.341, 0.545]	[0.696, 0.760]	[0.647, 0.800]	[0.633, 0.784]	[0.694, 0.787]	[0.611, 0.667]	[0.727, 0.864]
