	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.761 ± 0.045472	0.739 ± 0.032035	0.21394 ± 0.033968	0.703 ± 0.045085	0.478 ± 0.064070	0.8944 ± 0.452591	0.489 ± 0.054897	0.483 ± 0.059434	0.755 ± 0.040039	0.735 ± 0.022145	0.753 ± 0.046918	0.755 ± 0.065245	0.678 ± 0.073142	0.800 ± 0.023473
precision_recall_auc	0.775 ± 0.042747	0.720 ± 0.030102	0.20684 ± 0.029694	0.679 ± 0.043262	0.440 ± 0.060205	0.8952 ± 0.279651	0.456 ± 0.053692	0.448 ± 0.056376	0.734 ± 0.035165	0.722 ± 0.031948	0.768 ± 0.043628	0.762 ± 0.067647	0.644 ± 0.070273	0.795 ± 0.038629
roc_auc	0.771 ± 0.054222	0.717 ± 0.056044	0.21024 ± 0.042437	0.680 ± 0.072251	0.434 ± 0.112088	0.7631 ± 0.189346	0.444 ± 0.108634	0.439 ± 0.110209	0.739 ± 0.057691	0.705 ± 0.060734	0.764 ± 0.055517	0.777 ± 0.068210	0.661 ± 0.099553	0.773 ± 0.056692
