	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.744 ± 0.061018	0.714 ± 0.049060	0.21537 ± 0.045266	0.670 ± 0.066109	0.429 ± 0.098119	0.9525 ± 0.456902	0.444 ± 0.090190	0.437 ± 0.094138	0.730 ± 0.055816	0.715 ± 0.039403	0.733 ± 0.066287	0.743 ± 0.071207	0.633 ± 0.095150	0.795 ± 0.023957
precision_recall_auc	0.774 ± 0.037890	0.717 ± 0.049912	0.20715 ± 0.022940	0.673 ± 0.071201	0.434 ± 0.099825	0.8438 ± 0.271597	0.450 ± 0.092231	0.442 ± 0.095837	0.733 ± 0.052472	0.717 ± 0.047007	0.768 ± 0.038613	0.751 ± 0.054992	0.639 ± 0.098862	0.795 ± 0.032141
roc_auc	0.776 ± 0.050334	0.724 ± 0.048209	0.20444 ± 0.030482	0.679 ± 0.068879	0.448 ± 0.096418	0.7158 ± 0.143308	0.469 ± 0.089848	0.458 ± 0.092868	0.737 ± 0.054333	0.733 ± 0.050045	0.769 ± 0.051811	0.762 ± 0.064376	0.639 ± 0.102272	0.809 ± 0.046945
