	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.850 ± 0.053733	0.782 ± 0.036347	0.15673 ± 0.018223	0.744 ± 0.045825	0.563 ± 0.072693	0.5047 ± 0.038873	0.604 ± 0.075470	0.583 ± 0.073856	0.769 ± 0.030548	0.835 ± 0.048026	0.847 ± 0.057290	0.830 ± 0.031976	0.672 ± 0.048644	0.891 ± 0.031782
precision_recall_auc	0.874 ± 0.022772	0.789 ± 0.035398	0.15021 ± 0.011901	0.753 ± 0.043254	0.578 ± 0.070795	0.4896 ± 0.035522	0.623 ± 0.080691	0.600 ± 0.074897	0.774 ± 0.027588	0.849 ± 0.059137	0.872 ± 0.023588	0.844 ± 0.021659	0.678 ± 0.043823	0.900 ± 0.041770
roc_auc	0.867 ± 0.042857	0.786 ± 0.050283	0.15209 ± 0.017747	0.745 ± 0.063314	0.573 ± 0.100566	0.4912 ± 0.041283	0.639 ± 0.114363	0.605 ± 0.106781	0.763 ± 0.037630	0.875 ± 0.080747	0.865 ± 0.045192	0.839 ± 0.030781	0.650 ± 0.058853	0.923 ± 0.052705
