	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.928 ± 0.011636	0.853 ± 0.027843	0.10361 ± 0.012720	0.832 ± 0.032430	0.706 ± 0.055685	0.3334 ± 0.029669	0.756 ± 0.076350	0.730 ± 0.065145	0.826 ± 0.017630	0.930 ± 0.067495	0.926 ± 0.011876	0.915 ± 0.017729	0.756 ± 0.028689	0.950 ± 0.050023
precision_recall_auc	0.921 ± 0.015472	0.782 ± 0.061778	0.11052 ± 0.012649	0.716 ± 0.102566	0.563 ± 0.123557	0.3483 ± 0.034182	0.725 ± 0.068623	0.637 ± 0.098690	0.743 ± 0.055835	0.983 ± 0.036777	0.919 ± 0.015833	0.905 ± 0.026385	0.572 ± 0.122977	0.991 ± 0.019165
roc_auc	0.919 ± 0.015771	0.793 ± 0.046570	0.11253 ± 0.013245	0.739 ± 0.067320	0.586 ± 0.093140	0.3541 ± 0.036342	0.726 ± 0.070356	0.652 ± 0.080704	0.753 ± 0.043769	0.973 ± 0.042743	0.917 ± 0.016059	0.908 ± 0.028624	0.600 ± 0.086066	0.986 ± 0.021957
