	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.925 ± 0.015626	0.856 ± 0.024512	0.10940 ± 0.008768	0.840 ± 0.028711	0.712 ± 0.049024	0.3510 ± 0.027509	0.723 ± 0.049381	0.717 ± 0.048893	0.857 ± 0.024249	0.866 ± 0.035256	0.924 ± 0.015985	0.910 ± 0.022367	0.817 ± 0.037497	0.895 ± 0.030679
precision_recall_auc	0.909 ± 0.015550	0.750 ± 0.069956	0.11562 ± 0.010442	0.667 ± 0.120051	0.501 ± 0.139912	0.3704 ± 0.026464	0.662 ± 0.101230	0.573 ± 0.120569	0.720 ± 0.059554	0.943 ± 0.066402	0.906 ± 0.016304	0.898 ± 0.011615	0.528 ± 0.134179	0.973 ± 0.031782
roc_auc	0.919 ± 0.018156	0.777 ± 0.077725	0.11172 ± 0.009862	0.706 ± 0.129133	0.554 ± 0.155449	0.3538 ± 0.025651	0.710 ± 0.090721	0.625 ± 0.124817	0.743 ± 0.070242	0.967 ± 0.055500	0.917 ± 0.018764	0.913 ± 0.019820	0.572 ± 0.157244	0.982 ± 0.031782
