	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.653, 0.849]	[0.664, 0.775]	[0.17219, 0.26393]	[0.606, 0.757]	[0.328, 0.551]	[0.5049, 1.5347]	[0.346, 0.546]	[0.337, 0.548]	[0.680, 0.810]	[0.632, 0.769]	[0.641, 0.845]	[0.619, 0.851]	[0.556, 0.778]	[0.682, 0.864]
precision_recall_auc	[0.699, 0.845]	[0.631, 0.798]	[0.16330, 0.24426]	[0.533, 0.778]	[0.263, 0.596]	[0.5266, 1.2759]	[0.310, 0.596]	[0.285, 0.596]	[0.643, 0.818]	[0.667, 0.778]	[0.692, 0.840]	[0.679, 0.864]	[0.444, 0.778]	[0.773, 0.818]
roc_auc	[0.724, 0.859]	[0.664, 0.803]	[0.15014, 0.23648]	[0.600, 0.789]	[0.328, 0.606]	[0.4863, 1.1064]	[0.347, 0.600]	[0.337, 0.603]	[0.679, 0.850]	[0.667, 0.750]	[0.715, 0.854]	[0.702, 0.879]	[0.500, 0.833]	[0.773, 0.864]
