	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.858 ± 0.063229	0.807 ± 0.048548	0.15930 ± 0.018546	0.793 ± 0.047139	0.613 ± 0.097096	0.5256 ± 0.074025	0.611 ± 0.095795	0.612 ± 0.096430	0.844 ± 0.033485	0.767 ± 0.066681	0.852 ± 0.067851	0.860 ± 0.038243	0.822 ± 0.035136	0.791 ± 0.077850
precision_recall_auc	0.899 ± 0.030059	0.825 ± 0.043171	0.14643 ± 0.009160	0.809 ± 0.045245	0.649 ± 0.086342	0.4826 ± 0.035183	0.651 ± 0.085438	0.650 ± 0.085674	0.852 ± 0.040781	0.800 ± 0.060715	0.897 ± 0.031447	0.888 ± 0.020558	0.822 ± 0.057378	0.827 ± 0.067079
roc_auc	0.889 ± 0.043392	0.824 ± 0.035136	0.14857 ± 0.010145	0.808 ± 0.038021	0.648 ± 0.070273	0.4935 ± 0.039618	0.650 ± 0.070260	0.649 ± 0.070000	0.848 ± 0.036290	0.802 ± 0.049981	0.886 ± 0.046155	0.882 ± 0.024216	0.817 ± 0.052705	0.832 ± 0.052705
