	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.785 ± 0.064462	0.711 ± 0.049887	0.19329 ± 0.025692	0.651 ± 0.061969	0.422 ± 0.099774	0.8385 ± 0.369795	0.472 ± 0.115707	0.446 ± 0.106137	0.709 ± 0.039226	0.764 ± 0.085910	0.777 ± 0.071728	0.767 ± 0.051821	0.572 ± 0.069537	0.850 ± 0.067929
precision_recall_auc	0.780 ± 0.071733	0.693 ± 0.039540	0.19859 ± 0.036748	0.629 ± 0.047441	0.386 ± 0.079080	0.8381 ± 0.287563	0.434 ± 0.104172	0.409 ± 0.090374	0.694 ± 0.026971	0.740 ± 0.082821	0.771 ± 0.078033	0.760 ± 0.065618	0.550 ± 0.048644	0.836 ± 0.064993
roc_auc	0.786 ± 0.067237	0.702 ± 0.040140	0.20366 ± 0.041262	0.643 ± 0.052690	0.404 ± 0.080280	0.7966 ± 0.249228	0.446 ± 0.095056	0.424 ± 0.085713	0.705 ± 0.035608	0.741 ± 0.072847	0.779 ± 0.069955	0.764 ± 0.069476	0.572 ± 0.069537	0.832 ± 0.056894
