	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.794 ± 0.044475	0.728 ± 0.031921	0.20126 ± 0.031756	0.696 ± 0.040084	0.456 ± 0.063842	0.6878 ± 0.238598	0.463 ± 0.062447	0.459 ± 0.062982	0.750 ± 0.031349	0.713 ± 0.040875	0.788 ± 0.046100	0.761 ± 0.055195	0.683 ± 0.058853	0.773 ± 0.047913
precision_recall_auc	0.821 ± 0.017405	0.733 ± 0.034092	0.18678 ± 0.013038	0.697 ± 0.040177	0.467 ± 0.068185	0.6375 ± 0.147422	0.479 ± 0.070793	0.473 ± 0.069327	0.746 ± 0.029797	0.733 ± 0.045062	0.817 ± 0.017489	0.785 ± 0.031181	0.667 ± 0.045361	0.800 ± 0.038331
roc_auc	0.803 ± 0.035971	0.722 ± 0.042769	0.20504 ± 0.029072	0.693 ± 0.044139	0.443 ± 0.085538	0.7037 ± 0.192533	0.447 ± 0.089561	0.445 ± 0.087461	0.748 ± 0.035526	0.700 ± 0.059747	0.798 ± 0.036976	0.774 ± 0.046383	0.689 ± 0.046849	0.755 ± 0.064993
