	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.583, 0.870]	[0.561, 0.712]	[0.16309, 0.25799]	[0.571, 0.714]	[0.121, 0.424]	[0.4754, 0.8565]	[0.125, 0.438]	[0.123, 0.431]	[0.625, 0.812]	[0.500, 0.625]	[0.564, 0.866]	[0.669, 0.859]	[0.667, 0.833]	[0.455, 0.636]
precision_recall_auc	[0.629, 0.816]	[0.689, 0.785]	[0.17450, 0.21033]	[0.698, 0.780]	[0.379, 0.571]	[0.5588, 0.7583]	[0.400, 0.578]	[0.389, 0.574]	[0.778, 0.882]	[0.600, 0.696]	[0.602, 0.810]	[0.758, 0.836]	[0.778, 0.889]	[0.545, 0.682]
roc_auc	[0.634, 0.819]	[0.662, 0.808]	[0.16100, 0.20722]	[0.667, 0.800]	[0.323, 0.616]	[0.5142, 0.7927]	[0.333, 0.616]	[0.328, 0.616]	[0.750, 0.889]	[0.583, 0.727]	[0.607, 0.813]	[0.760, 0.846]	[0.778, 0.889]	[0.545, 0.727]
