	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.913, 0.966]	[0.788, 0.922]	[0.06810, 0.11942]	[0.750, 0.914]	[0.576, 0.843]	[0.2649, 0.3925]	[0.626, 0.880]	[0.601, 0.856]	[0.769, 0.913]	[0.857, 1.000]	[0.911, 0.966]	[0.904, 0.955]	[0.667, 0.889]	[0.909, 1.000]
precision_recall_auc	[0.859, 0.952]	[0.593, 0.889]	[0.08449, 0.14095]	[0.400, 0.875]	[0.187, 0.778]	[0.3127, 0.4443]	[0.320, 0.846]	[0.245, 0.811]	[0.606, 0.846]	[0.714, 1.000]	[0.855, 0.951]	[0.866, 0.927]	[0.278, 0.778]	[0.864, 1.000]
roc_auc	[0.828, 0.943]	[0.682, 0.843]	[0.09538, 0.16403]	[0.593, 0.824]	[0.364, 0.687]	[0.3078, 0.4893]	[0.429, 0.733]	[0.395, 0.698]	[0.677, 0.833]	[0.733, 1.000]	[0.823, 0.941]	[0.836, 0.942]	[0.444, 0.778]	[0.818, 1.000]
