	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.705 ± 0.039805	0.711 ± 0.032278	0.20091 ± 0.014068	0.666 ± 0.042936	0.422 ± 0.064555	0.5984 ± 0.044036	0.439 ± 0.063060	0.431 ± 0.063771	0.722 ± 0.029204	0.717 ± 0.035633	0.688 ± 0.046801	0.760 ± 0.033091	0.622 ± 0.051052	0.800 ± 0.023473
precision_recall_auc	0.692 ± 0.022416	0.707 ± 0.033242	0.20346 ± 0.011096	0.663 ± 0.037721	0.413 ± 0.066484	0.6021 ± 0.031935	0.430 ± 0.071009	0.422 ± 0.068368	0.719 ± 0.027191	0.711 ± 0.048906	0.673 ± 0.034480	0.749 ± 0.024791	0.622 ± 0.043823	0.791 ± 0.048862
roc_auc	0.716 ± 0.055009	0.705 ± 0.042580	0.20338 ± 0.016464	0.664 ± 0.044393	0.410 ± 0.085161	0.6030 ± 0.046637	0.426 ± 0.099346	0.418 ± 0.091809	0.719 ± 0.029875	0.707 ± 0.073220	0.702 ± 0.060701	0.752 ± 0.040367	0.628 ± 0.037497	0.782 ± 0.067079
