	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.671 ± 0.071016	0.643 ± 0.040471	0.22086 ± 0.019581	0.613 ± 0.052740	0.287 ± 0.080941	0.6392 ± 0.050924	0.288 ± 0.080280	0.287 ± 0.080598	0.686 ± 0.042238	0.601 ± 0.043398	0.661 ± 0.073675	0.706 ± 0.047259	0.628 ± 0.078785	0.659 ± 0.053569
precision_recall_auc	0.718 ± 0.047222	0.657 ± 0.038808	0.20738 ± 0.019928	0.624 ± 0.045798	0.314 ± 0.077617	0.6044 ± 0.050656	0.315 ± 0.078684	0.315 ± 0.078138	0.694 ± 0.041617	0.621 ± 0.042467	0.708 ± 0.050863	0.741 ± 0.044952	0.628 ± 0.064417	0.686 ± 0.045201
roc_auc	0.714 ± 0.048453	0.654 ± 0.041199	0.20856 ± 0.019484	0.625 ± 0.044297	0.307 ± 0.082399	0.6065 ± 0.046561	0.308 ± 0.085638	0.307 ± 0.083976	0.694 ± 0.035516	0.614 ± 0.054630	0.705 ± 0.050740	0.740 ± 0.037259	0.639 ± 0.053990	0.668 ± 0.064461
