	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.894, 0.932]	[0.816, 0.871]	[0.09852, 0.12614]	[0.788, 0.857]	[0.631, 0.742]	[0.3239, 0.4105]	[0.667, 0.752]	[0.649, 0.747]	[0.800, 0.870]	[0.833, 0.882]	[0.891, 0.930]	[0.876, 0.924]	[0.722, 0.833]	[0.864, 0.909]
precision_recall_auc	[0.877, 0.931]	[0.639, 0.861]	[0.10260, 0.13327]	[0.435, 0.839]	[0.278, 0.722]	[0.3278, 0.4255]	[0.508, 0.815]	[0.418, 0.767]	[0.629, 0.815]	[0.818, 1.000]	[0.873, 0.929]	[0.869, 0.929]	[0.278, 0.722]	[0.909, 1.000]
roc_auc	[0.883, 0.926]	[0.667, 0.806]	[0.10785, 0.12477]	[0.500, 0.759]	[0.333, 0.611]	[0.3468, 0.3921]	[0.600, 0.759]	[0.464, 0.681]	[0.647, 0.759]	[0.900, 1.000]	[0.880, 0.924]	[0.886, 0.929]	[0.333, 0.611]	[0.955, 1.000]
