	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.753 ± 0.052710	0.804 ± 0.020517	0.17111 ± 0.013033	0.782 ± 0.022944	0.608 ± 0.041034	0.5475 ± 0.060087	0.613 ± 0.042432	0.610 ± 0.041693	0.815 ± 0.017459	0.798 ± 0.027290	0.743 ± 0.058979	0.802 ± 0.035158	0.767 ± 0.023424	0.841 ± 0.023957
precision_recall_auc	0.772 ± 0.032102	0.811 ± 0.012474	0.16458 ± 0.011913	0.790 ± 0.013693	0.622 ± 0.024948	0.5277 ± 0.047310	0.629 ± 0.026754	0.626 ± 0.025717	0.820 ± 0.010720	0.809 ± 0.021609	0.756 ± 0.038212	0.814 ± 0.030481	0.772 ± 0.017568	0.850 ± 0.021957
roc_auc	0.784 ± 0.033408	0.809 ± 0.012601	0.16336 ± 0.014269	0.788 ± 0.013658	0.618 ± 0.025202	0.5208 ± 0.056799	0.624 ± 0.027523	0.621 ± 0.026220	0.819 ± 0.010533	0.804 ± 0.022924	0.776 ± 0.037026	0.821 ± 0.036323	0.772 ± 0.017568	0.845 ± 0.023473
