	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.729 ± 0.041645	0.788 ± 0.029866	0.16305 ± 0.012362	0.769 ± 0.032195	0.575 ± 0.059732	0.6214 ± 0.293368	0.574 ± 0.059453	0.575 ± 0.059455	0.821 ± 0.035607	0.753 ± 0.037503	0.712 ± 0.045299	0.824 ± 0.028795	0.789 ± 0.051052	0.786 ± 0.043122
precision_recall_auc	0.744 ± 0.039772	0.797 ± 0.016463	0.16620 ± 0.012755	0.778 ± 0.016286	0.593 ± 0.032925	0.5548 ± 0.070066	0.594 ± 0.036998	0.594 ± 0.034785	0.824 ± 0.018917	0.770 ± 0.039101	0.722 ± 0.047209	0.826 ± 0.023617	0.789 ± 0.035136	0.805 ± 0.048152
roc_auc	0.737 ± 0.053685	0.781 ± 0.027365	0.16669 ± 0.013567	0.759 ± 0.027286	0.561 ± 0.054731	0.6268 ± 0.245165	0.563 ± 0.058581	0.562 ± 0.056563	0.804 ± 0.019856	0.759 ± 0.044935	0.718 ± 0.061248	0.823 ± 0.030249	0.761 ± 0.026836	0.800 ± 0.048862
