	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.665 ± 0.098245	0.613 ± 0.053314	0.24434 ± 0.032243	0.650 ± 0.042999	0.226 ± 0.106628	0.7356 ± 0.130387	0.281 ± 0.123283	0.252 ± 0.113443	0.752 ± 0.089841	0.529 ± 0.039029	0.650 ± 0.104736	0.698 ± 0.070909	0.844 ± 0.073142	0.382 ± 0.096305
precision_recall_auc	0.740 ± 0.062799	0.684 ± 0.056266	0.20995 ± 0.028339	0.697 ± 0.047102	0.367 ± 0.112532	0.6291 ± 0.085844	0.402 ± 0.107358	0.384 ± 0.109248	0.806 ± 0.061858	0.596 ± 0.061895	0.727 ± 0.067129	0.771 ± 0.059476	0.844 ± 0.063072	0.523 ± 0.109783
roc_auc	0.757 ± 0.075008	0.684 ± 0.054765	0.20716 ± 0.021074	0.698 ± 0.044291	0.368 ± 0.109530	0.6409 ± 0.081545	0.399 ± 0.101929	0.383 ± 0.105610	0.806 ± 0.053643	0.594 ± 0.052584	0.744 ± 0.082334	0.793 ± 0.046904	0.850 ± 0.037497	0.518 ± 0.088866
