	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.771 ± 0.062131	0.735 ± 0.024936	0.19182 ± 0.027646	0.678 ± 0.039546	0.471 ± 0.049873	0.6995 ± 0.213916	0.535 ± 0.061795	0.501 ± 0.050722	0.725 ± 0.025479	0.810 ± 0.060709	0.759 ± 0.071363	0.764 ± 0.048135	0.589 ± 0.065210	0.882 ± 0.048862
precision_recall_auc	0.784 ± 0.039301	0.718 ± 0.056580	0.18449 ± 0.023543	0.637 ± 0.092201	0.436 ± 0.113160	0.6331 ± 0.111256	0.535 ± 0.111778	0.482 ± 0.111543	0.703 ± 0.045488	0.832 ± 0.077054	0.776 ± 0.041829	0.777 ± 0.036147	0.522 ± 0.102104	0.914 ± 0.045201
roc_auc	0.791 ± 0.048664	0.735 ± 0.039334	0.18821 ± 0.027150	0.679 ± 0.052336	0.471 ± 0.078668	0.6440 ± 0.130810	0.533 ± 0.089870	0.500 ± 0.081920	0.724 ± 0.030491	0.808 ± 0.070341	0.783 ± 0.052214	0.780 ± 0.043577	0.589 ± 0.059720	0.882 ± 0.053354
