	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.945 ± 0.033574	0.881 ± 0.036846	0.09010 ± 0.026515	0.866 ± 0.045269	0.761 ± 0.073692	0.2973 ± 0.070931	0.798 ± 0.073189	0.779 ± 0.071609	0.862 ± 0.040973	0.936 ± 0.065649	0.943 ± 0.034685	0.942 ± 0.028570	0.811 ± 0.070273	0.950 ± 0.054419
precision_recall_auc	0.943 ± 0.029968	0.850 ± 0.050381	0.09668 ± 0.028354	0.825 ± 0.068903	0.700 ± 0.100763	0.3166 ± 0.092425	0.763 ± 0.086336	0.730 ± 0.089146	0.827 ± 0.052728	0.936 ± 0.081503	0.941 ± 0.030773	0.939 ± 0.033587	0.750 ± 0.105572	0.950 ± 0.065870
roc_auc	0.943 ± 0.027688	0.852 ± 0.055685	0.09803 ± 0.027666	0.831 ± 0.070497	0.704 ± 0.111371	0.3082 ± 0.085733	0.747 ± 0.111300	0.724 ± 0.108628	0.836 ± 0.051669	0.911 ± 0.088570	0.941 ± 0.028430	0.945 ± 0.026506	0.772 ± 0.092407	0.932 ± 0.068601
