	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.859, 0.919]	[0.742, 0.848]	[0.12048, 0.15093]	[0.706, 0.833]	[0.485, 0.697]	[0.3792, 0.4699]	[0.500, 0.708]	[0.492, 0.698]	[0.750, 0.864]	[0.737, 0.875]	[0.855, 0.917]	[0.851, 0.914]	[0.667, 0.833]	[0.773, 0.909]
precision_recall_auc	[0.840, 0.924]	[0.793, 0.848]	[0.12441, 0.15245]	[0.765, 0.833]	[0.586, 0.697]	[0.4005, 0.4576]	[0.596, 0.697]	[0.595, 0.697]	[0.792, 0.864]	[0.778, 0.833]	[0.840, 0.923]	[0.854, 0.909]	[0.722, 0.833]	[0.818, 0.864]
roc_auc	[0.843, 0.911]	[0.770, 0.848]	[0.12453, 0.16161]	[0.743, 0.833]	[0.540, 0.697]	[0.3917, 0.4965]	[0.547, 0.708]	[0.544, 0.698]	[0.783, 0.864]	[0.765, 0.875]	[0.839, 0.909]	[0.836, 0.899]	[0.722, 0.833]	[0.818, 0.909]
