	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.650, 0.804]	[0.583, 0.694]	[0.19874, 0.27559]	[0.585, 0.711]	[0.167, 0.389]	[0.5743, 0.8724]	[0.169, 0.439]	[0.168, 0.413]	[0.647, 0.846]	[0.522, 0.593]	[0.638, 0.798]	[0.626, 0.801]	[0.667, 0.889]	[0.409, 0.500]
precision_recall_auc	[0.725, 0.853]	[0.667, 0.803]	[0.16904, 0.24933]	[0.682, 0.789]	[0.333, 0.606]	[0.4944, 0.8313]	[0.363, 0.600]	[0.348, 0.603]	[0.750, 0.875]	[0.577, 0.750]	[0.718, 0.849]	[0.712, 0.854]	[0.722, 0.889]	[0.500, 0.773]
roc_auc	[0.706, 0.842]	[0.639, 0.740]	[0.17753, 0.23449]	[0.651, 0.744]	[0.278, 0.480]	[0.5099, 0.7189]	[0.293, 0.507]	[0.285, 0.493]	[0.733, 0.867]	[0.560, 0.684]	[0.676, 0.838]	[0.712, 0.818]	[0.722, 0.889]	[0.500, 0.727]
