	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.642, 0.807]	[0.581, 0.788]	[0.15985, 0.26274]	[0.467, 0.750]	[0.162, 0.576]	[0.5248, 0.8010]	[0.190, 0.626]	[0.175, 0.601]	[0.607, 0.769]	[0.583, 0.857]	[0.632, 0.797]	[0.622, 0.836]	[0.389, 0.722]	[0.682, 0.909]
precision_recall_auc	[0.538, 0.787]	[0.548, 0.682]	[0.16875, 0.28106]	[0.370, 0.600]	[0.096, 0.364]	[0.5617, 0.9926]	[0.136, 0.429]	[0.114, 0.395]	[0.581, 0.679]	[0.556, 0.750]	[0.510, 0.773]	[0.597, 0.831]	[0.278, 0.500]	[0.773, 0.909]
roc_auc	[0.579, 0.788]	[0.636, 0.710]	[0.17550, 0.23592]	[0.563, 0.647]	[0.273, 0.419]	[0.5718, 0.9260]	[0.297, 0.473]	[0.284, 0.445]	[0.654, 0.708]	[0.643, 0.769]	[0.553, 0.781]	[0.699, 0.806]	[0.500, 0.611]	[0.727, 0.864]
