	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.867, 0.940]	[0.798, 0.876]	[0.10713, 0.15811]	[0.778, 0.865]	[0.596, 0.753]	[0.3533, 0.5166]	[0.596, 0.752]	[0.596, 0.750]	[0.818, 0.905]	[0.778, 0.882]	[0.863, 0.939]	[0.851, 0.929]	[0.778, 0.889]	[0.818, 0.909]
precision_recall_auc	[0.835, 0.941]	[0.687, 0.871]	[0.11145, 0.15007]	[0.621, 0.857]	[0.374, 0.742]	[0.3540, 0.5132]	[0.407, 0.752]	[0.390, 0.747]	[0.690, 0.870]	[0.714, 0.882]	[0.830, 0.940]	[0.841, 0.937]	[0.500, 0.833]	[0.818, 0.909]
roc_auc	[0.849, 0.936]	[0.770, 0.871]	[0.11200, 0.14881]	[0.743, 0.857]	[0.540, 0.742]	[0.3538, 0.4790]	[0.546, 0.752]	[0.544, 0.747]	[0.769, 0.870]	[0.737, 0.882]	[0.843, 0.934]	[0.859, 0.934]	[0.667, 0.833]	[0.773, 0.909]
