	time	scoring	top_params	ncv_mcc	test_mcc	ncv_precision_recall_auc	test_precision_recall_auc	ncv_roc_auc	test_roc_auc	mean_ncv_mcc	mean_test_mcc	mean_ncv_precision_recall_auc	mean_test_precision_recall_auc	mean_ncv_roc_auc	mean_test_roc_auc
0	III14	mcc	{'frequency': 13, 'parameters': {'svc__C': 100.0, 'svc__gamma': 0.001}}	"[0.54494926 0.33796318 0.55849454 0.44219444 0.64906123 0.50251891
 0.65912419 0.29292929 0.40201513 0.49494949]"	"[ 0.57735027  0.25819889  0.25819889  0.77459667  1.          0.57735027
  0.37796447  0.57735027 -0.06666667  0.6         0.57735027  0.77459667
  0.5         0.46666667  0.6         0.57735027  0.25819889  0.57735027
  0.4472136   0.74535599  0.77459667  0.5         0.77459667  0.6
  0.77459667  0.5         0.57735027  0.37796447  0.6         0.77459667
  0.77459667  0.57735027  1.          0.6         0.48795004  0.57735027
  0.25819889  0.25819889 -0.46666667  1.          0.77459667  0.25819889
  0.          0.77459667  0.25819889  0.5         0.57735027  0.77459667
  0.4472136   0.46666667]"	"[0.78512166 0.74525893 0.8860842  0.81014514 0.88300653 0.85368148
 0.78013526 0.77095677 0.81335162 0.82659411]"	"[0.87083333 0.54375    0.73125    0.90277778 1.         0.90833333
 0.65       0.94375    0.37222222 1.         0.92708333 0.94375
 0.94375    0.71111111 0.85       0.83541667 0.83541667 0.94375
 0.71111111 0.90277778 0.94375    0.94375    0.90833333 0.90277778
 1.         0.86607143 0.94375    0.90833333 1.         1.
 0.87083333 0.79583333 1.         0.90277778 0.55178571 1.
 0.87083333 0.70684524 0.51884921 1.         1.         0.77142857
 0.64940476 0.76388889 0.85       0.87083333 0.79315476 1.
 0.65555556 0.76388889]"	"[0.84343434 0.77146465 0.87752525 0.81060606 0.88383838 0.82575758
 0.8030303  0.76010101 0.81313131 0.83333333]"	"[0.875      0.6875     0.75       0.93333333 1.         0.875
 0.625      0.9375     0.6        1.         0.90625    0.9375
 0.9375     0.8        0.86666667 0.8125     0.8125     0.9375
 0.8        0.93333333 0.9375     0.9375     0.875      0.93333333
 1.         0.75       0.9375     0.875      1.         1.
 0.875      0.75       1.         0.93333333 0.46666667 1.
 0.875      0.6875     0.33333333 1.         1.         0.6875
 0.5625     0.86666667 0.86666667 0.875      0.6875     1.
 0.73333333 0.86666667]"	0.4884199663652547	0.5322104755706757	0.8154335691349607	0.8455952380952381	0.8222222222222223	0.8467916666666666
1	III14	precision_recall_auc	{'frequency': 10, 'parameters': {'svc__C': 1000.0, 'svc__gamma': 0.001}}	"[0.5959596  0.33796318 0.65912419 0.49494949 0.70352647 0.50251891
 0.61616162 0.29292929 0.31313131 0.54494926]"	"[ 0.77459667  0.5         0.25819889  0.77459667  0.77459667  0.57735027
  0.37796447  0.57735027 -0.06666667  0.6         0.57735027  0.77459667
  0.77459667  0.46666667  0.77459667  0.57735027  0.25819889  0.5
  0.4472136   1.          0.77459667  0.57735027  0.77459667  0.77459667
  0.77459667  0.5         0.57735027  0.37796447  1.          0.4472136
  0.57735027  0.57735027  1.          0.6         0.48795004  0.57735027
  0.5         0.25819889 -0.46666667  0.74535599  0.57735027  0.25819889
 -0.25819889  0.77459667  0.25819889  0.25819889  0.77459667  1.
  0.1490712   0.46666667]"	"[0.80134225 0.75654119 0.89268848 0.83914818 0.89418063 0.85405303
 0.77317854 0.75970294 0.800488   0.84153663]"	"[0.90833333 0.51934524 0.73125    0.90277778 1.         0.90833333
 0.65       0.94375    0.37222222 1.         0.92708333 0.94375
 0.87083333 0.90277778 1.         0.83541667 0.8110119  0.83541667
 1.         1.         0.94375    1.         1.         0.76388889
 1.         0.86607143 0.94375    0.90833333 1.         0.76388889
 0.87083333 0.79583333 1.         0.90277778 0.55178571 1.
 0.87083333 0.70684524 0.51884921 0.90277778 1.         0.77142857
 0.72857143 0.90277778 0.81666667 0.83541667 0.88392857 1.
 0.51388889 0.76388889]"	"[0.84090909 0.78535354 0.89772727 0.81818182 0.90909091 0.83333333
 0.81313131 0.74242424 0.78787879 0.86868687]"	"[0.875      0.625      0.75       0.93333333 1.         0.875
 0.625      0.9375     0.6        1.         0.90625    0.9375
 0.875      0.93333333 1.         0.8125     0.75       0.8125
 1.         1.         0.9375     1.         1.         0.86666667
 1.         0.75       0.9375     0.875      1.         0.86666667
 0.875      0.75       1.         0.93333333 0.46666667 1.
 0.875      0.6875     0.33333333 0.93333333 1.         0.6875
 0.5625     0.93333333 0.8        0.8125     0.8125     1.
 0.8        0.86666667]"	0.5061213326882633	0.5398478107204483	0.8212859854768071	0.851781746031746	0.8296717171717172	0.8522083333333333
2	III14	roc_auc	{'frequency': 11, 'parameters': {'svc__C': 10000.0, 'svc__gamma': 0.0001}}	"[0.54384833 0.33796318 0.65912419 0.49494949 0.74969087 0.50251891
 0.65912419 0.40201513 0.44780193 0.54494926]"	"[ 0.57735027  0.5         0.25819889  0.77459667  0.77459667  0.57735027
  0.37796447  0.57735027 -0.06666667  0.6         0.57735027  0.77459667
  0.77459667  0.46666667  0.77459667  0.57735027  0.25819889  0.57735027
  0.4472136   1.          0.77459667  0.77459667  0.77459667  0.77459667
  0.77459667  0.5         0.57735027  0.37796447  1.          0.4472136
  0.77459667  0.57735027  1.          0.6         0.48795004  0.57735027
  0.77459667  0.25819889 -0.46666667  1.          0.57735027  0.25819889
  0.57735027  0.77459667  0.25819889  0.25819889  0.77459667  1.
  0.1490712   0.46666667]"	"[0.7959283  0.75654119 0.89268848 0.81133365 0.87909093 0.85313652
 0.75764808 0.77876746 0.83861536 0.84153663]"	"[0.87083333 0.51934524 0.73125    0.90277778 1.         0.90833333
 0.65       0.94375    0.37222222 1.         0.92708333 0.94375
 0.87083333 0.90277778 1.         0.83541667 0.8110119  0.94375
 0.67777778 1.         0.94375    0.94375    1.         0.76388889
 1.         0.86607143 0.94375    0.90833333 1.         0.76388889
 0.87083333 0.79583333 1.         0.90277778 0.55178571 1.
 1.         0.70684524 0.51884921 1.         1.         0.77142857
 1.         0.76388889 0.81666667 0.83541667 0.88392857 1.
 0.51388889 0.76388889]"	"[0.83459596 0.78535354 0.89772727 0.80555556 0.9040404  0.83080808
 0.81313131 0.77272727 0.83838384 0.86868687]"	"[0.875      0.625      0.75       0.93333333 1.         0.875
 0.625      0.9375     0.6        1.         0.90625    0.9375
 0.875      0.93333333 1.         0.8125     0.75       0.9375
 0.73333333 1.         0.9375     0.9375     1.         0.86666667
 1.         0.75       0.9375     0.875      1.         0.86666667
 0.875      0.75       1.         0.93333333 0.46666667 1.
 1.         0.6875     0.33333333 1.         1.         0.6875
 1.         0.86666667 0.8        0.8125     0.8125     1.
 0.8        0.86666667]"	0.5341985489832706	0.5726355408188448	0.8205286591735522	0.8528075396825394	0.83510101010101	0.859375
3	C-1	mcc	{'frequency': 13, 'parameters': {'svc__C': 100.0, 'svc__gamma': 0.001}}	"[0.54494926 0.33796318 0.55849454 0.44219444 0.64906123 0.50251891
 0.65912419 0.29292929 0.40201513 0.49494949]"	"[ 0.57735027  0.25819889  0.25819889  0.77459667  1.          0.57735027
  0.37796447  0.57735027 -0.06666667  0.6         0.57735027  0.77459667
  0.5         0.46666667  0.6         0.57735027  0.25819889  0.57735027
  0.4472136   0.74535599  0.77459667  0.5         0.77459667  0.6
  0.77459667  0.5         0.57735027  0.37796447  0.6         0.77459667
  0.77459667  0.57735027  1.          0.6         0.48795004  0.57735027
  0.25819889  0.25819889 -0.46666667  1.          0.77459667  0.25819889
  0.          0.77459667  0.25819889  0.5         0.57735027  0.77459667
  0.4472136   0.46666667]"	"[0.78512166 0.74525893 0.8860842  0.81014514 0.88300653 0.85368148
 0.78013526 0.77095677 0.81335162 0.82659411]"	"[0.87083333 0.54375    0.73125    0.90277778 1.         0.90833333
 0.65       0.94375    0.37222222 1.         0.92708333 0.94375
 0.94375    0.71111111 0.85       0.83541667 0.83541667 0.94375
 0.71111111 0.90277778 0.94375    0.94375    0.90833333 0.90277778
 1.         0.86607143 0.94375    0.90833333 1.         1.
 0.87083333 0.79583333 1.         0.90277778 0.55178571 1.
 0.87083333 0.70684524 0.51884921 1.         1.         0.77142857
 0.64940476 0.76388889 0.85       0.87083333 0.79315476 1.
 0.65555556 0.76388889]"	"[0.84343434 0.77146465 0.87752525 0.81060606 0.88383838 0.82575758
 0.8030303  0.76010101 0.81313131 0.83333333]"	"[0.875      0.6875     0.75       0.93333333 1.         0.875
 0.625      0.9375     0.6        1.         0.90625    0.9375
 0.9375     0.8        0.86666667 0.8125     0.8125     0.9375
 0.8        0.93333333 0.9375     0.9375     0.875      0.93333333
 1.         0.75       0.9375     0.875      1.         1.
 0.875      0.75       1.         0.93333333 0.46666667 1.
 0.875      0.6875     0.33333333 1.         1.         0.6875
 0.5625     0.86666667 0.86666667 0.875      0.6875     1.
 0.73333333 0.86666667]"	0.4884199663652547	0.5322104755706757	0.8154335691349607	0.8455952380952381	0.8222222222222223	0.8467916666666666
4	C-1	precision_recall_auc	{'frequency': 10, 'parameters': {'svc__C': 1000.0, 'svc__gamma': 0.001}}	"[0.5959596  0.33796318 0.65912419 0.49494949 0.70352647 0.50251891
 0.61616162 0.29292929 0.31313131 0.54494926]"	"[ 0.77459667  0.5         0.25819889  0.77459667  0.77459667  0.57735027
  0.37796447  0.57735027 -0.06666667  0.6         0.57735027  0.77459667
  0.77459667  0.46666667  0.77459667  0.57735027  0.25819889  0.5
  0.4472136   1.          0.77459667  0.57735027  0.77459667  0.77459667
  0.77459667  0.5         0.57735027  0.37796447  1.          0.4472136
  0.57735027  0.57735027  1.          0.6         0.48795004  0.57735027
  0.5         0.25819889 -0.46666667  0.74535599  0.57735027  0.25819889
 -0.25819889  0.77459667  0.25819889  0.25819889  0.77459667  1.
  0.1490712   0.46666667]"	"[0.80134225 0.75654119 0.89268848 0.83914818 0.89418063 0.85405303
 0.77317854 0.75970294 0.800488   0.84153663]"	"[0.90833333 0.51934524 0.73125    0.90277778 1.         0.90833333
 0.65       0.94375    0.37222222 1.         0.92708333 0.94375
 0.87083333 0.90277778 1.         0.83541667 0.8110119  0.83541667
 1.         1.         0.94375    1.         1.         0.76388889
 1.         0.86607143 0.94375    0.90833333 1.         0.76388889
 0.87083333 0.79583333 1.         0.90277778 0.55178571 1.
 0.87083333 0.70684524 0.51884921 0.90277778 1.         0.77142857
 0.72857143 0.90277778 0.81666667 0.83541667 0.88392857 1.
 0.51388889 0.76388889]"	"[0.84090909 0.78535354 0.89772727 0.81818182 0.90909091 0.83333333
 0.81313131 0.74242424 0.78787879 0.86868687]"	"[0.875      0.625      0.75       0.93333333 1.         0.875
 0.625      0.9375     0.6        1.         0.90625    0.9375
 0.875      0.93333333 1.         0.8125     0.75       0.8125
 1.         1.         0.9375     1.         1.         0.86666667
 1.         0.75       0.9375     0.875      1.         0.86666667
 0.875      0.75       1.         0.93333333 0.46666667 1.
 0.875      0.6875     0.33333333 0.93333333 1.         0.6875
 0.5625     0.93333333 0.8        0.8125     0.8125     1.
 0.8        0.86666667]"	0.5061213326882633	0.5398478107204483	0.8212859854768071	0.851781746031746	0.8296717171717172	0.8522083333333333
5	C-1	roc_auc	{'frequency': 11, 'parameters': {'svc__C': 10000.0, 'svc__gamma': 0.0001}}	"[0.54384833 0.33796318 0.65912419 0.49494949 0.74969087 0.50251891
 0.65912419 0.40201513 0.44780193 0.54494926]"	"[ 0.57735027  0.5         0.25819889  0.77459667  0.77459667  0.57735027
  0.37796447  0.57735027 -0.06666667  0.6         0.57735027  0.77459667
  0.77459667  0.46666667  0.77459667  0.57735027  0.25819889  0.57735027
  0.4472136   1.          0.77459667  0.77459667  0.77459667  0.77459667
  0.77459667  0.5         0.57735027  0.37796447  1.          0.4472136
  0.77459667  0.57735027  1.          0.6         0.48795004  0.57735027
  0.77459667  0.25819889 -0.46666667  1.          0.57735027  0.25819889
  0.57735027  0.77459667  0.25819889  0.25819889  0.77459667  1.
  0.1490712   0.46666667]"	"[0.7959283  0.75654119 0.89268848 0.81133365 0.87909093 0.85313652
 0.75764808 0.77876746 0.83861536 0.84153663]"	"[0.87083333 0.51934524 0.73125    0.90277778 1.         0.90833333
 0.65       0.94375    0.37222222 1.         0.92708333 0.94375
 0.87083333 0.90277778 1.         0.83541667 0.8110119  0.94375
 0.67777778 1.         0.94375    0.94375    1.         0.76388889
 1.         0.86607143 0.94375    0.90833333 1.         0.76388889
 0.87083333 0.79583333 1.         0.90277778 0.55178571 1.
 1.         0.70684524 0.51884921 1.         1.         0.77142857
 1.         0.76388889 0.81666667 0.83541667 0.88392857 1.
 0.51388889 0.76388889]"	"[0.83459596 0.78535354 0.89772727 0.80555556 0.9040404  0.83080808
 0.81313131 0.77272727 0.83838384 0.86868687]"	"[0.875      0.625      0.75       0.93333333 1.         0.875
 0.625      0.9375     0.6        1.         0.90625    0.9375
 0.875      0.93333333 1.         0.8125     0.75       0.9375
 0.73333333 1.         0.9375     0.9375     1.         0.86666667
 1.         0.75       0.9375     0.875      1.         0.86666667
 0.875      0.75       1.         0.93333333 0.46666667 1.
 1.         0.6875     0.33333333 1.         1.         0.6875
 1.         0.86666667 0.8        0.8125     0.8125     1.
 0.8        0.86666667]"	0.5341985489832706	0.5726355408188448	0.8205286591735522	0.8528075396825394	0.83510101010101	0.859375
