	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.797 ± 0.060910	0.756 ± 0.052026	0.17421 ± 0.026361	0.750 ± 0.050068	0.512 ± 0.104052	0.5505 ± 0.110631	0.516 ± 0.099493	0.514 ± 0.101671	0.836 ± 0.050243	0.679 ± 0.055829	0.789 ± 0.064945	0.826 ± 0.043716	0.839 ± 0.055246	0.673 ± 0.073606
precision_recall_auc	0.789 ± 0.070780	0.752 ± 0.046837	0.16745 ± 0.025132	0.748 ± 0.040409	0.504 ± 0.093674	0.5190 ± 0.101152	0.509 ± 0.085277	0.506 ± 0.089483	0.836 ± 0.031528	0.673 ± 0.056572	0.778 ± 0.077971	0.833 ± 0.043641	0.844 ± 0.023424	0.659 ± 0.080887
roc_auc	0.822 ± 0.068818	0.783 ± 0.041468	0.15181 ± 0.024372	0.772 ± 0.039820	0.565 ± 0.082935	0.4838 ± 0.117357	0.565 ± 0.078592	0.565 ± 0.080723	0.844 ± 0.040246	0.721 ± 0.052767	0.813 ± 0.076127	0.858 ± 0.042011	0.833 ± 0.052378	0.732 ± 0.072506
